player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Carlton Carrington,player_points,PrizePicks,Under,8.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Cade Cunningham,player_rebounds,PrizePicks,Over,6.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Cade Cunningham,player_rebounds,PrizePicks,Under,6.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Kyle Kuzma,player_rebounds,PrizePicks,Over,6.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Kyle Kuzma,player_rebounds,PrizePicks,Under,6.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Jaden Ivey,player_rebounds,PrizePicks,Over,4.0,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Jaden Ivey,player_rebounds,PrizePicks,Under,4.0,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Jalen Duren,player_rebounds,PrizePicks,Over,11.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Jalen Duren,player_rebounds,PrizePicks,Under,11.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Bilal Coulibaly,player_rebounds,PrizePicks,Over,5.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Bilal Coulibaly,player_rebounds,PrizePicks,Under,5.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Tobias Harris,player_rebounds,PrizePicks,Over,7.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Tobias Harris,player_rebounds,PrizePicks,Under,7.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Alex Sarr,player_rebounds,PrizePicks,Over,5.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Alex Sarr,player_rebounds,PrizePicks,Under,5.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Carlton Carrington,player_rebounds,PrizePicks,Over,4.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Carlton Carrington,player_rebounds,PrizePicks,Under,4.5,-137,Washington Wizards,Detroit Pistons,68e4a684137c1d8d8cdb617dc70e2740,2024-11-17T23:10:00Z
Karl-Anthony Towns,player_assists,Underdog,Over,2.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_assists,Underdog,Under,2.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_assists,Underdog,Over,3.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_assists,Underdog,Under,3.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_assists,Underdog,Over,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_assists,Underdog,Under,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_assists,Underdog,Over,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_assists,Underdog,Under,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Jalen Brunson,player_points,Underdog,Over,27.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Jalen Brunson,player_points,Underdog,Under,27.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_points,Underdog,Over,25.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_points,Underdog,Under,25.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cam Thomas,player_points,Underdog,Over,23.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cam Thomas,player_points,Underdog,Under,23.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_points,Underdog,Over,15.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_points,Underdog,Under,15.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_points,Underdog,Over,17.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_points,Underdog,Under,17.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dorian Finney-Smith,player_points,Underdog,Over,8.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dorian Finney-Smith,player_points,Underdog,Under,8.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cameron Johnson,player_points,Underdog,Over,14.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cameron Johnson,player_points,Underdog,Under,14.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_points,Underdog,Over,12.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_points,Underdog,Under,12.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_points,Underdog,Over,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_points,Underdog,Under,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_rebounds,Underdog,Over,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_rebounds,Underdog,Under,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_rebounds,Underdog,Over,4.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_rebounds,Underdog,Under,4.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_rebounds,Underdog,Over,9.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_rebounds,Underdog,Under,9.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_rebounds,Underdog,Over,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_rebounds,Underdog,Under,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Jalen Brunson,player_assists,PrizePicks,Over,7.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Jalen Brunson,player_assists,PrizePicks,Under,7.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_assists,PrizePicks,Over,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_assists,PrizePicks,Under,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_assists,PrizePicks,Over,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_assists,PrizePicks,Under,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_assists,PrizePicks,Over,2.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_assists,PrizePicks,Under,2.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_assists,PrizePicks,Over,3.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_assists,PrizePicks,Under,3.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dennis Schroder,player_assists,PrizePicks,Over,5.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dennis Schroder,player_assists,PrizePicks,Under,5.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Jalen Brunson,player_points,PrizePicks,Over,27.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Jalen Brunson,player_points,PrizePicks,Under,27.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_points,PrizePicks,Over,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_points,PrizePicks,Under,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_points,PrizePicks,Over,12.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_points,PrizePicks,Under,12.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cam Thomas,player_points,PrizePicks,Over,23.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cam Thomas,player_points,PrizePicks,Under,23.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_points,PrizePicks,Over,25.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_points,PrizePicks,Under,25.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cameron Johnson,player_points,PrizePicks,Over,14.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Cameron Johnson,player_points,PrizePicks,Under,14.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_points,PrizePicks,Over,17.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_points,PrizePicks,Under,17.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dennis Schroder,player_points,PrizePicks,Over,15.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dennis Schroder,player_points,PrizePicks,Under,15.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_points,PrizePicks,Over,16.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_points,PrizePicks,Under,16.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dorian Finney-Smith,player_points,PrizePicks,Over,8.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dorian Finney-Smith,player_points,PrizePicks,Under,8.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_rebounds,PrizePicks,Over,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Ben Simmons,player_rebounds,PrizePicks,Under,6.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_rebounds,PrizePicks,Over,9.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Josh Hart,player_rebounds,PrizePicks,Under,9.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_rebounds,PrizePicks,Over,11.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Karl-Anthony Towns,player_rebounds,PrizePicks,Under,11.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_rebounds,PrizePicks,Over,4.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Mikal Bridges,player_rebounds,PrizePicks,Under,4.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_rebounds,PrizePicks,Over,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
OG Anunoby,player_rebounds,PrizePicks,Under,5.5,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dorian Finney-Smith,player_rebounds,PrizePicks,Over,5.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Dorian Finney-Smith,player_rebounds,PrizePicks,Under,5.0,-137,New York Knicks,Brooklyn Nets,08f615a23f6087399bb05e8a2c3c42c3,2024-11-18T00:10:00Z
Alperen Sengun,player_assists,Underdog,Over,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Alperen Sengun,player_assists,Underdog,Under,4.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_assists,Underdog,Over,3.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Zach LaVine,player_assists,Underdog,Under,3.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
Jalen Green,player_assists,Underdog,Over,3.5,-137,Chicago Bulls,Houston Rockets,3fd9e6f1140a0057fc6a783a4e93ad6a,2024-11-18T00:10:00Z
