player,prop,line,proj,side,diff
Aaron Holiday,Reb+Ast,2.5,2.9,over,0.4
Al Horford,Reb+Ast,8.5,7.2,under,-0.3
Stephen Curry,Reb+Ast,9.5,9.8,over,0.3
Shai Gilgeous-Alexander,Reb+Ast,10.5,10.7,over,0.2
Aaron Wiggins,Reb+Ast,5.5,5.3,under,-0.2
Kevin Durant,Reb+Ast,9.5,9.6,over,0.1
Cason Wallace,Reb+Ast,5.5,5.6,over,0.1
Deandre Ayton,Reb+Ast,11.5,11.6,over,0.1
Reed Sheppard,Pts+Reb+Ast,13.5,16.9,over,3.4
Shai Gilgeous-Alexander,Pts+Reb+Ast,43.5,41.9,under,-2.6
Tari Eason,Pts+Reb+Ast,17.5,19.9,over,2.4
Jarred Vanderbilt,Pts+Reb+Ast,10.5,12.9,over,2.4
Jonathan Kuminga,Pts+Reb+Ast,20.5,22.9,over,2.4
Jabari Smith Jr.,Pts+Reb+Ast,19.5,21.7,over,2.2
Jake LaRavia,Pts+Reb+Ast,10.5,12.6,over,2.1
Draymond Green,Pts+Reb+Ast,19.5,21.5,over,2
Clint Capela,Pts+Reb+Ast,9.5,11.1,over,1.6
Stephen Curry,Pts+Reb+Ast,35.5,33.9,under,-1.6
Kevin Durant,Pts+Reb+Ast,35.5,33,under,-1.5
Amen Thompson,Pts+Reb+Ast,27.5,28.9,over,1.4
Cason Wallace,Pts+Reb+Ast,12.5,13.9,over,1.4
Marcus Smart,Pts+Reb+Ast,12.5,13.8,over,1.3
Al Horford,Pts+Reb+Ast,13.5,14.4,over,0.9
Brandin Podziemski,Pts+Reb+Ast,21.5,20.8,under,-0.7
Chet Holmgren,Pts+Reb+Ast,25.5,26.1,over,0.6
Luguentz Dort,Pts+Reb+Ast,15.5,15.9,over,0.4
Alperen Sengun,Pts+Reb+Ast,33.5,33.9,over,0.4
Alex Caruso,Pts+Reb+Ast,15.5,15.3,under,-0.2
Isaiah Hartenstein,Pts+Reb+Ast,22.5,22.6,over,0.1
Aaron Wiggins,Pts+Reb+Ast,16.5,16.6,over,0.1
Jaylin Williams,Pts+Reb+Ast,12.5,10.4,under,-0.1
Deandre Ayton,Pts+Reb+Ast,26.5,26.6,over,0.1
Rui Hachimura,Pts+Reb+Ast,18.5,18.4,under,-0.1
Chet Holmgren,Steals,1.5,2.5,over,1
Isaiah Hartenstein,Steals,0.5,1.4,over,0.9
Kevin Durant,Steals,0.5,1.1,over,0.6
Shai Gilgeous-Alexander,Steals,0.5,1.1,over,0.6
Deandre Ayton,Steals,0.5,1,over,0.5
Alex Caruso,Steals,0.5,0.9,over,0.4
Draymond Green,Steals,0.5,0.9,over,0.4
Alperen Sengun,Steals,0.5,0.8,over,0.3
Jabari Smith Jr.,Steals,0.5,0.8,over,0.3
Tari Eason,Steals,0.5,0.8,over,0.3
Amen Thompson,Steals,1.5,1.2,under,-0.3
Brandin Podziemski,Steals,0.5,0.2,under,-0.3
