NAME,LINE,L-5,L-10,L-15,BASELINE_LAMBDA,ADJUSTED_LAMBDA,COMBINED_FACTOR,OVER%,UNDER%,IMPLIED_ODDS
Andrew Wiggins,18.5,0.6,0.5,0.33,17.82,26.94,1.51,0.954,0.046,1.048
Cam Spencer,8.5,0.8,0.5,0.33,9.09,12.88,1.42,0.895,0.105,1.118
Tari Eason,11.5,0.6,0.5,0.33,11.44,16.35,1.43,0.889,0.111,1.125
Norman Powell,23.5,0.4,0.4,0.27,24.5,29.48,1.2,0.867,0.133,1.154
Russell Westbrook,12.5,0.6,0.5,0.33,15.0,16.83,1.12,0.856,0.144,1.168
Andre Drummond,8.5,0.4,0.2,0.13,6.89,11.39,1.65,0.8,0.2,1.249
Svi Mykhailiuk,8.5,0.6,0.6,0.4,9.3,11.13,1.2,0.78,0.22,1.282
Landry Shamet,7.5,0.6,0.5,0.33,7.0,9.71,1.39,0.753,0.247,1.328
Jalen Duren,19.5,0.6,0.6,0.4,19.36,22.83,1.18,0.751,0.249,1.331
Josh Hart,9.5,0.8,0.4,0.27,8.25,11.91,1.44,0.75,0.25,1.334
Peyton Watson,7.5,0.6,0.4,0.27,6.78,9.66,1.43,0.748,0.252,1.338
Davion Mitchell,10.5,0.4,0.3,0.27,9.36,12.6,1.35,0.712,0.288,1.404
Isaiah Jackson,9.5,0.6,0.3,0.2,7.9,11.19,1.42,0.68,0.32,1.47
Terance Mann,9.5,0.4,0.5,0.33,9.8,11.09,1.13,0.669,0.331,1.495
Amen Thompson,17.5,0.4,0.4,0.27,17.56,19.42,1.11,0.657,0.343,1.523
