,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,AWAY_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
14,Juan Toscano-Anderson,1629308,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,12,6,1,3,2,3,0.667,1,2,0.5,1,2,0.5,0,3,0,0,1,1,7,10.1,1.546,,126.7,106.9,19.8,0.0,0.2,0.097,0.111,1.0,0.139,0.773,119.54,114.35,0.104,95.29,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
15,Andrew Wiggins,203952,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,26,12,1,7,5,10,0.5,2,5,0.4,0,0,,1,6,1,0,2,3,-5,22.9,1.2,F,95.3,100.0,-4.7,0.029,0.207,0.111,0.067,0.5,0.164,0.6,120.01,121.24,0.093,101.04,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
16,Draymond Green,203110,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,30,6,6,8,2,5,0.4,0,0,,2,4,0.5,3,5,1,0,5,3,-2,22.6,0.888,F,98.6,101.4,-2.7,0.083,0.161,0.119,0.261,1.2,0.145,0.444,116.78,117.04,0.05,97.53,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
17,Anthony Davis,203076,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,39,33,2,11,15,26,0.577,1,5,0.2,2,7,0.286,2,9,1,2,0,0,-2,58.2,1.135,F,107.8,107.6,0.2,0.047,0.209,0.128,0.083,0.0,0.296,0.567,115.0,112.24,0.19,93.53,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
18,Avery Bradley,202340,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,8,6,1,1,2,3,0.667,2,3,0.667,0,0,,1,0,0,0,1,2,1,7.7,2.0,,141.2,135.3,5.9,0.143,0.0,0.083,0.143,1.0,0.211,1.0,98.64,99.11,0.093,82.59,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
19,Stephen Curry,201939,GSW @ LAL,GSW,1610612744,LAL,0,1,0022100002,2021-10-19,W,36,21,10,10,5,21,0.238,2,8,0.25,9,9,1.0,1,9,3,0,4,1,4,53.0,0.841,G,109.2,105.8,3.4,0.024,0.22,0.122,0.385,2.5,0.283,0.421,117.14,114.75,0.141,95.62,"OCT 19, 2021",240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,105.95446584938703,7.0,4.0,45.0,0.47368421052631576,1610612747,105.95446584938703,114.2,114.78000000000002,115.36
20,DeAndre Jordan,201599,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,13,2,1,2,1,1,1.0,0,0,,0,0,,0,2,1,0,0,3,2,8.9,2.0,C,103.2,96.8,6.5,0.0,0.118,0.069,0.083,0.0,0.032,1.0,112.82,115.2,0.057,96.0,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
21,Rajon Rondo,200765,LAL vs. GSW,LAL,1610612747,GSW,1,0,0022100002,2021-10-19,L,20,3,5,0,1,4,0.25,1,3,0.333,0,0,,0,0,2,0,3,2,1,13.5,0.75,,95.8,93.8,2.1,0.0,0.0,0.0,0.294,1.67,0.13,0.375,121.79,116.27,0.028,96.89,"OCT 19, 2021",240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,98.82108183079058,9.0,2.0,50.0,0.44086021505376344,1610612744,98.82108183079058,115.36,114.78000000000002,114.2
22,Georgios Kalaitzakis,1630686,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,1,0,0,2,0,2,0.0,0,0,,0,0,,2,0,0,0,0,0,2,2.4,0.0,,100.0,0.0,100.0,0.667,0.0,0.4,0.0,0.0,0.4,0.0,94.74,75.79,0.4,63.16,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
23,Thanasis Antetokounmpo,203648,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,12,6,1,4,2,3,0.667,0,0,,2,2,1.0,1,3,0,1,0,1,8,15.3,1.546,,130.8,92.9,37.9,0.067,0.176,0.125,0.091,0.0,0.129,0.773,106.14,104.52,0.178,87.1,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
24,Jordan Nwora,1629670,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,26,15,1,6,6,13,0.462,3,6,0.5,0,0,,0,6,1,1,1,3,6,28.7,1.154,,115.5,103.4,12.1,0.0,0.222,0.103,0.05,1.0,0.209,0.577,109.43,106.1,0.108,88.41,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
25,LaMarcus Aldridge,200746,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,16,1,1,3,0,2,0.0,0,0,,1,4,0.25,0,3,0,1,1,2,2,8.1,0.266,,111.8,105.9,5.9,0.0,0.176,0.097,0.077,1.0,0.135,0.133,105.54,103.95,-0.04,86.62,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
26,Paul Millsap,200794,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,5,0,0,3,0,0,,0,0,,0,0,,1,2,0,1,1,0,-1,5.6,0.0,,100.0,116.7,-16.7,0.2,0.286,0.25,0.0,0.0,0.071,0.0,109.86,115.02,0.073,95.85,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
27,Kevin Durant,201142,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,30,32,4,11,13,25,0.52,3,7,0.429,3,6,0.5,0,11,0,2,1,2,-20,56.2,1.158,F,98.4,123.9,-25.4,0.0,0.306,0.162,0.364,4.0,0.426,0.579,105.58,103.93,0.233,86.61,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
28,George Hill,201588,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,23,1,3,5,0,3,0.0,0,2,0.0,1,2,0.5,2,3,0,1,1,5,-6,13.5,0.258,,107.7,112.7,-5.0,0.074,0.125,0.098,0.143,3.0,0.091,0.129,108.75,109.98,-0.014,91.65,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
29,Blake Griffin,201933,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,23,6,0,5,2,5,0.4,0,1,0.0,2,2,1.0,1,4,1,0,1,1,-6,14.0,1.02,F,106.0,113.5,-7.5,0.048,0.138,0.1,0.0,0.0,0.137,0.51,105.26,106.51,0.061,88.76,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
30,Jrue Holiday,201950,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,18,12,1,1,5,7,0.714,2,4,0.5,0,0,,1,0,1,0,0,0,17,17.7,1.714,G,148.6,108.6,40.1,0.043,0.0,0.024,0.067,0.0,0.149,0.857,100.03,97.54,0.145,81.28,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
31,Khris Middleton,203114,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,31,20,3,9,8,17,0.471,1,4,0.25,3,4,0.75,0,9,1,0,1,3,20,37.3,1.066,F,119.1,92.4,26.7,0.0,0.257,0.125,0.143,3.0,0.237,0.533,106.2,103.91,0.157,86.59,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
32,DeAndre' Bembry,1627761,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,4,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,-9,0.0,0.0,,37.5,150.0,-112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.26,102.4,0.0,85.33,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
33,Grayson Allen,1628960,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,28,10,6,4,3,10,0.3,3,10,0.3,1,1,1.0,0,4,2,0,0,0,23,29.8,0.958,G,132.8,93.1,39.7,0.0,0.148,0.066,0.231,0.0,0.145,0.479,101.14,100.44,0.12,83.7,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
34,Bruce Brown,1628971,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,4,0,0,1,0,0,,0,0,,0,0,,0,1,0,1,0,0,-9,4.2,0.0,,37.5,150.0,-112.5,0.0,0.25,0.1,0.0,0.0,0.0,0.0,107.26,102.4,0.158,85.33,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
35,Jevon Carter,1628975,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,19,0,0,2,0,3,0.0,0,2,0.0,0,0,,0,2,0,0,1,1,-29,1.4,0.0,,72.5,148.7,-76.2,0.0,0.1,0.044,0.0,0.0,0.093,0.0,105.98,100.05,-0.043,83.38,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
36,Justin Robinson,1629620,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,4,3,0,0,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,11,3.0,1.5,,166.7,40.0,126.7,0.0,0.0,0.0,0.0,0.0,0.167,0.75,119.26,113.53,0.235,94.61,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
37,Cam Thomas,1630560,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,4,2,0,0,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,1,0,-9,1.0,0.694,,37.5,150.0,-112.5,0.0,0.0,0.0,0.0,0.0,0.5,0.347,107.26,102.4,-0.105,85.33,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
38,Sandro Mamukelashvili,1630572,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,7,0,1,1,0,1,0.0,0,0,,0,0,,0,1,0,0,0,0,9,2.7,0.0,,164.3,93.3,71.0,0.0,0.167,0.067,0.111,0.0,0.053,0.0,110.29,98.96,0.032,82.46,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
39,Brook Lopez,201572,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,28,8,0,5,3,9,0.333,2,4,0.5,0,0,,2,3,1,3,0,3,0,26.0,0.889,C,117.2,115.3,2.0,0.057,0.12,0.083,0.0,0.0,0.129,0.444,97.61,99.69,0.044,83.08,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
40,James Harden,201935,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,31,20,8,8,6,16,0.375,4,8,0.5,4,4,1.0,3,5,1,2,4,3,-20,46.6,1.126,G,103.0,132.8,-29.9,0.1,0.125,0.114,0.4,2.0,0.31,0.563,105.17,104.98,0.124,87.49,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
41,James Johnson,201949,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,21,1,2,0,0,2,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,3,-6,7.0,0.347,,93.2,114.6,-21.5,0.0,0.0,0.0,0.154,0.0,0.061,0.174,101.85,98.47,-0.035,82.06,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
42,Patty Mills,201988,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,29,21,2,2,7,11,0.636,7,7,1.0,0,0,,0,2,1,1,0,1,7,32.4,1.909,,116.9,106.2,10.8,0.0,0.061,0.031,0.095,0.0,0.153,0.955,106.7,106.24,0.155,88.54,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
43,Giannis Antetokounmpo,203507,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,31,32,7,14,12,25,0.48,1,4,0.25,7,9,0.778,5,9,1,2,4,4,25,64.3,1.105,F,121.7,88.1,33.7,0.128,0.265,0.192,0.35,1.75,0.395,0.552,105.46,105.46,0.219,87.88,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
44,Joe Harris,203925,BKN @ MIL,BKN,1610612751,MIL,0,1,0022100001,2021-10-19,L,31,9,2,2,3,9,0.333,3,5,0.6,0,0,,0,2,0,0,2,1,0,12.4,1.0,G,113.8,115.6,-1.8,0.0,0.05,0.03,0.083,1.0,0.162,0.5,101.25,100.63,0.03,83.86,"OCT 19, 2021",240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,102.84810126582278,8.0,9.0,54.0,0.45714285714285713,1610612749,102.84810126582278,101.12,104.02000000000002,106.92
45,Pat Connaughton,1626192,MIL vs. BKN,MIL,1610612749,BKN,1,0,0022100001,2021-10-19,W,30,20,2,3,8,13,0.615,4,9,0.444,0,0,,0,3,1,1,0,0,0,32.6,1.538,,110.6,107.4,3.3,0.0,0.088,0.045,0.1,0.0,0.186,0.769,106.87,107.32,0.154,89.43,"OCT 19, 2021",240,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,118.78039655817435,3.0,9.0,44.0,0.44047619047619047,1610612751,118.78039655817435,106.92,104.02000000000002,101.12
