,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,AWAY_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
28,Gary Payton II,1627780,GSW vs. PHX,GSW,1610612744,PHX,1,0,0022300062,2023-10-24,L,22,1,2,2,0,5,0.0,0,2,0.0,1,2,0.5,0,2,3,0,0,1,15,15.4,0.17,,104.3,69.4,34.9,0.0,0.067,0.033,0.125,0.0,0.1,0.085,108.32,106.33,0.016,88.61,"OCT 24, 2023",240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,97.81790820165538,5.0,7.0,60.0,0.4421052631578947,1610612756,97.81790820165538,106.32,105.40000000000002,104.48
29,Jusuf Nurkić,203994,PHX @ GSW,PHX,1610612756,GSW,0,1,0022300062,2023-10-24,W,28,14,3,14,5,8,0.625,1,2,0.5,3,3,1.0,3,11,0,1,1,5,2,37.3,1.502,C,122.4,119.0,3.4,0.103,0.324,0.222,0.136,3.0,0.139,0.751,103.82,99.92,0.19,83.27,"OCT 24, 2023",240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,103.36906584992343,11.0,6.0,49.0,0.3564356435643564,1610612744,103.36906584992343,104.48,105.40000000000002,106.32
30,Chris Paul,101108,GSW vs. PHX,GSW,1610612744,PHX,1,0,0022300062,2023-10-24,L,34,14,9,6,4,15,0.267,0,6,0.0,6,7,0.857,1,5,2,0,1,0,5,39.7,0.774,G,107.0,98.6,8.4,0.019,0.135,0.067,0.409,9.0,0.194,0.387,103.56,100.3,0.156,83.58,"OCT 24, 2023",240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,97.81790820165538,5.0,7.0,60.0,0.4421052631578947,1610612756,97.81790820165538,106.32,105.40000000000002,104.48
31,Devin Booker,1626164,PHX @ GSW,PHX,1610612756,GSW,0,1,0022300062,2023-10-24,W,37,32,8,6,13,21,0.619,3,8,0.375,3,3,1.0,1,5,1,0,6,4,5,48.2,1.434,G,116.5,108.8,7.7,0.024,0.102,0.067,0.364,1.33,0.292,0.717,106.86,103.23,0.199,86.02,"OCT 24, 2023",240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,103.36906584992343,11.0,6.0,49.0,0.3564356435643564,1610612744,103.36906584992343,104.48,105.40000000000002,106.32
32,Cory Joseph,202709,GSW vs. PHX,GSW,1610612744,PHX,1,0,0022300062,2023-10-24,L,4,0,1,1,0,0,,0,0,,0,0,,1,0,0,0,0,0,-12,2.7,0.0,,37.5,187.5,-150.0,0.167,0.0,0.167,1.0,0.0,0.0,0.0,102.23,103.78,0.091,86.49,"OCT 24, 2023",240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,97.81790820165538,5.0,7.0,60.0,0.4421052631578947,1610612756,97.81790820165538,106.32,105.40000000000002,104.48
33,Nassir Little,1629642,PHX @ GSW,PHX,1610612756,GSW,0,1,0022300062,2023-10-24,W,3,3,0,1,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,1,-3,7.2,3.0,,100.0,125.0,-25.0,0.0,0.5,0.125,0.0,0.0,0.1,1.5,131.18,124.86,0.308,104.05,"OCT 24, 2023",240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,103.36906584992343,11.0,6.0,49.0,0.3564356435643564,1610612744,103.36906584992343,104.48,105.40000000000002,106.32
34,Stephen Curry,201939,GSW vs. PHX,GSW,1610612744,PHX,1,0,0022300062,2023-10-24,L,31,27,1,5,8,20,0.4,4,14,0.286,7,7,1.0,1,4,1,0,2,5,-9,35.5,1.17,G,102.9,117.9,-15.0,0.026,0.121,0.069,0.059,0.5,0.313,0.585,106.21,105.37,0.127,87.81,"OCT 24, 2023",240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,97.81790820165538,5.0,7.0,60.0,0.4421052631578947,1610612756,97.81790820165538,106.32,105.40000000000002,104.48
35,Kevin Durant,201142,PHX @ GSW,PHX,1610612756,GSW,0,1,0022300062,2023-10-24,W,37,18,3,11,7,22,0.318,1,2,0.5,3,5,0.6,2,9,0,1,2,1,0,36.7,0.744,F,109.3,106.5,2.8,0.05,0.191,0.126,0.125,1.5,0.292,0.372,102.91,99.18,0.085,82.65,"OCT 24, 2023",240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,103.36906584992343,11.0,6.0,49.0,0.3564356435643564,1610612744,103.36906584992343,104.48,105.40000000000002,106.32
36,Drew Eubanks,1629234,PHX @ GSW,PHX,1610612756,GSW,0,1,0022300062,2023-10-24,W,19,4,2,7,1,3,0.333,0,0,,2,4,0.5,2,5,0,3,3,3,-2,21.4,0.84,,76.7,83.3,-6.6,0.083,0.172,0.132,0.154,0.67,0.16,0.42,107.11,106.07,0.067,88.39,"OCT 24, 2023",240,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,108,103.36906584992343,11.0,6.0,49.0,0.3564356435643564,1610612744,103.36906584992343,104.48,105.40000000000002,106.32
37,Jonathan Kuminga,1630228,GSW vs. PHX,GSW,1610612744,PHX,1,0,0022300062,2023-10-24,L,20,12,1,6,4,8,0.5,0,0,,4,6,0.667,3,3,2,1,2,5,4,27.7,1.128,,106.5,100.0,6.5,0.115,0.125,0.12,0.083,0.5,0.232,0.564,111.7,108.5,0.102,90.42,"OCT 24, 2023",240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,97.81790820165538,5.0,7.0,60.0,0.4421052631578947,1610612756,97.81790820165538,106.32,105.40000000000002,104.48
