NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Cade Cunningham,26.5,0.4,0.5,0.6,0.617,0.383
Kris Dunn,7.5,0.6,0.6,0.53,0.607,0.393
Tyrese Maxey,28.5,0.6,0.4,0.53,0.605,0.395
Donte DiVincenzo,11.5,0.6,0.6,0.6,0.602,0.398
Cason Wallace,7.5,0.4,0.6,0.47,0.601,0.399
Myles Turner,12.5,0.2,0.4,0.53,0.599,0.401
Tobias Harris,13.5,0.6,0.5,0.4,0.597,0.403
Jalen Brunson,28.5,0.6,0.6,0.53,0.591,0.409
Jaden McDaniels,13.5,0.6,0.4,0.53,0.589,0.411
Nicolas Batum,3.5,0.6,0.6,0.67,0.572,0.428
Julius Randle,20.5,0.8,0.5,0.53,0.567,0.433
Shai Gilgeous-Alexander,31.5,0.6,0.6,0.53,0.563,0.437
Pascal Siakam,23.5,0.6,0.6,0.6,0.558,0.442
Anthony Black,15.0,0.2,0.3,0.4,0.554,0.446
Peyton Watson,12.0,0.2,0.5,0.4,0.542,0.458
Jericho Sims,3.5,0.4,0.5,0.33,0.54,0.46
Josh Giddey,20.5,0.4,0.4,0.47,0.539,0.461
Onyeka Okongwu,16.5,0.4,0.6,0.6,0.535,0.465
Sam Hauser,7.5,0.4,0.5,0.33,0.524,0.476
Trey Murphy III,21.5,0.6,0.5,0.53,0.519,0.481
Jeremiah Fears,15.0,0.6,0.5,0.6,0.508,0.492
Tre Jones,12.5,0.6,0.6,0.53,0.499,0.501
Zaccharie Risacher,10.5,0.4,0.4,0.6,0.497,0.503
Jaylon Tyson,15.5,0.6,0.3,0.4,0.492,0.508
Kevin Porter Jr.,21.5,0.6,0.3,0.2,0.491,0.509
Coby White,22.5,0.4,0.4,0.27,0.49,0.51
Cameron Johnson,14.0,0.4,0.5,0.4,0.486,0.514
Kevin Durant,25.5,0.6,0.5,0.47,0.471,0.529
Ivica Zubac,14.5,0.6,0.5,0.53,0.469,0.531
Luke Kennard,6.5,0.4,0.5,0.53,0.468,0.532
Tre Johnson,11.5,0.4,0.3,0.4,0.464,0.536
Josh Minott,6.5,0.4,0.5,0.47,0.454,0.546
Keegan Murray,16.5,0.2,0.4,0.27,0.439,0.561
Jalen Duren,18.5,0.2,0.4,0.53,0.435,0.565
Anfernee Simons,11.5,0.8,0.6,0.53,0.421,0.579
Jalen Suggs,17.5,0.6,0.5,0.4,0.416,0.584
Jerami Grant,21.0,0.2,0.3,0.27,0.404,0.596
Donovan Mitchell,30.5,0.4,0.5,0.47,0.403,0.597
Sion James,6.5,0.4,0.4,0.4,0.401,0.599
Toumani Camara,13.5,0.6,0.5,0.4,0.389,0.611
Dean Wade,5.5,0.4,0.2,0.27,0.389,0.611
Ausar Thompson,11.5,0.4,0.3,0.47,0.388,0.612
OG Anunoby,14.5,0.2,0.6,0.53,0.388,0.612
Naz Reid,14.5,0.8,0.6,0.53,0.387,0.613
Maxime Raynaud,11.5,0.8,0.5,0.33,0.375,0.625
Karl-Anthony Towns,21.5,0.6,0.5,0.53,0.357,0.643
Kris Murray,6.5,0.4,0.4,0.27,0.354,0.646
Ryan Rollins,18.5,0.2,0.4,0.47,0.339,0.661
Josh Okogie,6.0,0.4,0.3,0.47,0.331,0.669
Jaden Ivey,7.5,0.6,0.5,0.33,0.327,0.673
Bennedict Mathurin,21.5,0.4,0.3,0.4,0.323,0.677
Derik Queen,16.0,0.4,0.4,0.4,0.321,0.679
Matas Buzelis,14.5,0.6,0.3,0.4,0.294,0.706
Miles Bridges,22.5,0.4,0.3,0.33,0.293,0.707
Bruce Brown,8.5,0.4,0.5,0.4,0.277,0.723
Darius Garland,16.5,0.4,0.4,0.27,0.274,0.726
Jalen Williams,19.5,0.4,0.2,0.13,0.273,0.727
Shaedon Sharpe,23.5,0.2,0.4,0.33,0.261,0.739
Malik Monk,14.5,0.4,0.5,0.47,0.26,0.74
Marvin Bagley III,11.5,0.6,0.3,0.27,0.244,0.756
Kon Knueppel,18.5,0.4,0.5,0.53,0.223,0.777
Bobby Portis,13.5,0.2,0.4,0.33,0.21,0.79
Justin Champagnie,9.5,0.6,0.3,0.27,0.208,0.792
Russell Westbrook,17.5,0.2,0.3,0.2,0.205,0.795
