name,pos,age
Rocco Zikarsky,C,19.0
Xavier Tillman Sr.,C,27.0
Isaiah Crawford,SF,24.0
Brooks Barnhizer,SG,23.0
Markelle Fultz,PG,27.0
Nigel Hayes-Davis,SF,31.0
Kyle Lowry,PG,39.0
Amari Williams,PF,24.0
Isaac Jones,PF,25.0
Thanasis Antetokounmpo,SF,33.0
Javonte Cooke,SG,26.0
Pacôme Dadiet,SG,20.0
Dillon Jones,SF,24.0
David Roddy,PF,24.0
Hunter Sallis,SG,22.0
Dario Šarić,C,31.0
Olivier Sarr,C,26.0
Stanley Umude,SG,26.0
Bismack Biyombo,C,33.0
Johni Broome,C,23.0
N'Faly Dante,C,24.0
Vladislav Goldin,C,24.0
Joe Ingles,SF,38.0
Trey Jemison,C,26.0
Drew Peterson,PF,26.0
Max Shulga,SG,23.0
Garrett Temple,SG,39.0
John Tonje,SG,24.0
Chris Mañon,SG,24.0
Jahmyl Telfort,PF,24.0
Darius Brown II,SG,26.0
Noa Essengue,PF,19.0
Tosan Evbuomwan,SF,24.0
Enrique Freeman,PF,25.0
Chucky Hepburn,PG,22.0
Trevor Keels,SG,22.0
League Average,,
Damian Lillard,PG,30.0
Kyrie Irving,PG,28.0
Malcolm Brogdon,PG,28.0
Christian Wood,C,25.0
John Wall,PG,30.0
Terry Rozier,SG,26.0
Victor Oladipo,SG,28.0
Malik Beasley,SG,24.0
Gordon Hayward,SF,30.0
Fred VanVleet,SG,26.0
Kemba Walker,PG,30.0
Evan Fournier,SF,28.0
Bojan Bogdanović,SF,31.0
Khyri Thomas,SG,24.0
Elijah Bryant,SG,25.0
Terrence Ross,SG,29.0
T.J. Warren,SF,27.0
Devonte' Graham,PG,25.0
Derrick Rose,PG,32.0
Kendrick Nunn,PG,25.0
Ben Simmons,PG,24.0
Richaun Holmes,C,27.0
Joe Harris,SF,29.0
Darius Bazley,PF,20.0
LaMarcus Aldridge,C,35.0
Montrezl Harrell,C,27.0
Carmelo Anthony,PF,36.0
Goran Dragić,PG,34.0
Josh Jackson,SG,23.0
Marcus Morris,PF,31.0
Danilo Gallinari,PF,32.0
Tyrese Haliburton,PG,20.0
Shake Milton,SG,24.0
Will Barton,SF,30.0
Alec Burks,SG,29.0
Eric Bledsoe,SG,31.0
Josh Richardson,SG,27.0
Thaddeus Young,PF,32.0
Hamidou Diallo,SF,22.0
Dāvis Bertāns,PF,28.0
Rudy Gay,PF,34.0
Lou Williams,PG,34.0
Armoni Brooks,SG,22.0
Enes Freedom,C,28.0
Cam Reddish,SF,21.0
Lonnie Walker IV,SG,22.0
Serge Ibaka,C,31.0
Blake Griffin,PF,31.0
Dwayne Bacon,SG,25.0
Oshae Brissett,SF,22.0
Reggie Bullock,SF,29.0
Patty Mills,PG,32.0
Cameron Oliver,SF,24.0
Reggie Jackson,SG,30.0
Justin Holiday,SG,31.0
Cedi Osman,SF,25.0
Delon Wright,PG,28.0
Jae Crowder,PF,30.0
Jeremy Lamb,SG,28.0
Théo Maledon,PG,19.0
Elfrid Payton,PG,26.0
Bryn Forbes,SG,27.0
Frank Jackson,PG,22.0
Otto Porter Jr.,SF,27.0
Mike Muscala,C,29.0
Daniel Theis,C,28.0
Wayne Ellington,SG,33.0
Danny Green,SF,33.0
Eric Paschall,PF,24.0
Trevor Ariza,SF,35.0
Cody Zeller,C,28.0
KJ Martin,SF,20.0
David Nwaba,SF,28.0
Furkan Korkmaz,SG,23.0
Talen Horton-Tucker,SG,20.0
Robin Lopez,C,32.0
Paul Millsap,PF,35.0
Jaylen Nowell,SG,21.0
DeMarcus Cousins,C,30.0
Michael Carter-Williams,SG,29.0
Danuel House Jr.,SF,27.0
Jay Scrubb,SG,20.0
George Hill,PG,34.0
Terence Davis,SG,23.0
Raul Neto,PG,28.0
Isaiah Roby,PF,22.0
Moses Brown,C,21.0
Ricky Rubio,PG,30.0
Robert Covington,PF,30.0
Gabriel Deck,PF,25.0
James Ennis III,SF,30.0
Cory Joseph,PG,29.0
Sterling Brown,SG,25.0
Aleksej Pokusevski,PF,19.0
JaMychal Green,PF,30.0
Hassan Whiteside,C,31.0
Austin Rivers,SG,28.0
Willy Hernangómez,C,26.0
Chuma Okeke,PF,22.0
D.J. Augustin,PG,33.0
Ben McLemore,SG,27.0
PJ Dozier,SG,24.0
Mike James,PG,30.0
Tomáš Satoranský,SG,29.0
Isaiah Thomas,PG,31.0
Tristan Thompson,C,29.0
Patrick Beverley,PG,32.0
Henry Ellenson,PF,24.0
Malachi Flynn,PG,22.0
Edmond Sumner,SG,25.0
JJ Redick,SG,36.0
Jalen Harris,SG,22.0
Jalen McDaniels,SF,23.0
JaVale McGee,C,33.0
Louis King,SF,21.0
Khem Birch,C,28.0
James Johnson,PF,33.0
Justin Jackson,SF,25.0
Kent Bazemore,SF,31.0
Juancho Hernangómez,PF,25.0
Dewayne Dedmon,C,31.0
Ignas Brazdeikis,SF,22.0
Dwight Howard,C,35.0
R.J. Hampton,SG,19.0
Georges Niang,PF,27.0
Gorgui Dieng,C,31.0
Justise Winslow,SF,24.0
Dennis Smith Jr.,PG,23.0
Jeff Teague,PG,32.0
Spencer Dinwiddie,SG,27.0
Damyean Dotson,SG,26.0
Markieff Morris,PF,31.0
Abdel Nader,SF,27.0
Ish Smith,PG,32.0
Alex Len,C,27.0
Trey Burke,PG,28.0
Frank Kaminsky,C,27.0
Nemanja Bjelica,PF,32.0
Marquese Chriss,PF,23.0
Damion Lee,SG,28.0
Chasson Randle,PG,27.0
Denzel Valentine,SG,27.0
Avery Bradley,SG,30.0
Kira Lewis Jr.,PG,19.0
Timothé Luwawu-Cabarrot,SF,25.0
Frank Mason III,PG,26.0
Chimezie Metu,C,23.0
Aron Baynes,C,34.0
Facundo Campazzo,PG,29.0
Robert Franks,PF,24.0
Jaylen Hoard,SF,21.0
Dakota Mathias,SG,25.0
DeAndre' Bembry,SF,26.0
Rodney McGruder,SG,29.0
Jordan Nwora,SF,22.0
Juan Toscano-Anderson,SG,27.0
Yogi Ferrell,PG,27.0
Freddie Gillespie,PF,23.0
Donta Hall,PF,23.0
Saben Lee,PG,21.0
Mychal Mulder,PG,26.0
Torrey Craig,SF,30.0
Brad Wanamaker,PG,31.0
Jabari Parker,PF,25.0
