PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
Payton Pritchard,player_points,PTS,8.5,9,Mike Conley,player_points,PTS,10.0,11,OVER/OVER,-10.86,0.2971,0.2936
Payton Pritchard,player_points,PTS,8.5,9,D'Angelo Russell,player_points,PTS,15.5,18,OVER/OVER,-5.65,0.3145,0.3111
Payton Pritchard,player_points,PTS,8.5,9,Rudy Gobert,player_points,PTS,12.5,13,OVER/OVER,-15.32,0.2823,0.2787
Payton Pritchard,player_points,PTS,8.5,9,LeBron James,player_points,PTS,24.5,25,OVER/OVER,-15.54,0.2815,0.2779
Payton Pritchard,player_points,PTS,8.5,9,D'Angelo Russell,player_points,PTS,16.0,18,OVER/OVER,-5.81,0.314,0.3105
Payton Pritchard,player_points,PTS,8.5,9,Rudy Gobert,player_points,PTS,13.0,13,OVER/OVER,-21.23,0.2626,0.2589
Payton Pritchard,player_points,PTS,8.5,9,Anthony Davis,player_points,PTS,25.0,23,OVER/UNDER,-7.07,0.3098,0.3063
Payton Pritchard,player_points,PTS,8.5,9,Jaxson Hayes,player_points,PTS,4.5,3,OVER/UNDER,2.63,0.3421,0.3388
Payton Pritchard,player_points,PTS,8.5,9,Austin Reaves,player_points,PTS,15.5,15,OVER/UNDER,-14.75,0.2842,0.2806
Payton Pritchard,player_points,PTS,8.5,9,Naz Reid,player_points,PTS,11.5,12,OVER/OVER,-16.05,0.2798,0.2762
Payton Pritchard,player_points,PTS,8.5,9,Gabe Vincent,player_points,PTS,3.5,2,OVER/UNDER,8.63,0.3621,0.3589
Payton Pritchard,player_points,PTS,8.5,9,Jaden McDaniels,player_points,PTS,9.5,10,OVER/OVER,-18.07,0.2731,0.2695
Sam Hauser,player_points,PTS,6.5,10,Naz Reid,player_points,PTS,12.0,12,OVER/OVER,8.46,0.3615,0.3583
Sam Hauser,player_points,PTS,6.5,10,Anthony Edwards,player_points,PTS,26.5,23,OVER/UNDER,36.42,0.4547,0.452
Sam Hauser,player_points,PTS,6.5,10,Anthony Edwards,player_points,PTS,0.5,23,OVER/OVER,114.28,0.7143,0.7128
Sam Hauser,player_points,PTS,6.5,10,Anthony Davis,player_points,PTS,24.5,23,OVER/UNDER,23.06,0.4102,0.4073
Sam Hauser,player_points,PTS,6.5,10,Nickeil Alexander-Walker,player_points,PTS,5.5,8,OVER/OVER,46.32,0.4877,0.4852
Sam Hauser,player_points,PTS,6.5,10,Rui Hachimura,player_points,PTS,12.0,12,OVER/UNDER,7.32,0.3577,0.3545
Sam Hauser,player_points,PTS,6.5,10,Austin Reaves,player_points,PTS,14.5,15,OVER/OVER,17.27,0.3909,0.3879
Sam Hauser,player_points,PTS,6.5,10,Jaden McDaniels,player_points,PTS,9.0,10,OVER/OVER,22.9,0.4097,0.4067
Sam Hauser,player_points,PTS,6.5,10,Mike Conley,player_points,PTS,10.0,11,OVER/OVER,22.53,0.4084,0.4055
Sam Hauser,player_points,PTS,6.5,10,D'Angelo Russell,player_points,PTS,15.5,18,OVER/OVER,33.3,0.4443,0.4416
Sam Hauser,player_points,PTS,6.5,10,Rudy Gobert,player_points,PTS,12.5,13,OVER/OVER,17.14,0.3905,0.3874
Sam Hauser,player_points,PTS,6.5,10,LeBron James,player_points,PTS,24.5,25,OVER/OVER,14.11,0.3804,0.3773
Sam Hauser,player_points,PTS,6.5,10,D'Angelo Russell,player_points,PTS,16.0,18,OVER/OVER,27.13,0.4238,0.4209
Sam Hauser,player_points,PTS,6.5,10,Rudy Gobert,player_points,PTS,13.0,13,OVER/OVER,9.15,0.3638,0.3606
Sam Hauser,player_points,PTS,6.5,10,Austin Reaves,player_points,PTS,15.5,15,OVER/UNDER,15.19,0.384,0.3809
Sam Hauser,player_points,PTS,6.5,10,Anthony Davis,player_points,PTS,25.0,23,OVER/UNDER,28.55,0.4285,0.4256
Sam Hauser,player_points,PTS,6.5,10,Jaxson Hayes,player_points,PTS,4.5,3,OVER/UNDER,38.66,0.4622,0.4595
Sam Hauser,player_points,PTS,6.5,10,Naz Reid,player_points,PTS,11.5,12,OVER/OVER,13.18,0.3773,0.3741
Sam Hauser,player_points,PTS,6.5,10,Gabe Vincent,player_points,PTS,3.5,2,OVER/UNDER,47.19,0.4906,0.4881
Sam Hauser,player_points,PTS,6.5,10,Jaden McDaniels,player_points,PTS,9.5,10,OVER/OVER,12.92,0.3764,0.3733
Naz Reid,player_points,PTS,12.0,12,Anthony Davis,player_points,PTS,24.5,23,UNDER/UNDER,-13.99,0.2867,0.2831
Naz Reid,player_points,PTS,12.0,12,Rui Hachimura,player_points,PTS,12.0,12,UNDER/UNDER,-24.8,0.2507,0.2469
Naz Reid,player_points,PTS,12.0,12,D'Angelo Russell,player_points,PTS,15.5,18,UNDER/OVER,-7.63,0.3079,0.3045
Naz Reid,player_points,PTS,12.0,12,Austin Reaves,player_points,PTS,14.5,15,OVER/OVER,-18.66,0.2711,0.2675
Naz Reid,player_points,PTS,12.0,12,Anthony Davis,player_points,PTS,25.0,23,UNDER/UNDER,-10.32,0.2989,0.2954
Naz Reid,player_points,PTS,12.0,12,LeBron James,player_points,PTS,24.5,25,UNDER/OVER,-18.37,0.2721,0.2685
Naz Reid,player_points,PTS,12.0,12,D'Angelo Russell,player_points,PTS,16.0,18,OVER/OVER,-11.24,0.2959,0.2924
Naz Reid,player_points,PTS,12.0,12,Austin Reaves,player_points,PTS,15.5,15,UNDER/UNDER,-18.0,0.2733,0.2697
Naz Reid,player_points,PTS,12.0,12,Jaxson Hayes,player_points,PTS,4.5,3,UNDER/UNDER,-3.78,0.3207,0.3173
Naz Reid,player_points,PTS,12.0,12,Gabe Vincent,player_points,PTS,3.5,2,UNDER/UNDER,3.08,0.3436,0.3403
Anthony Edwards,player_points,PTS,26.5,23,Anthony Davis,player_points,PTS,24.5,23,UNDER/UNDER,9.87,0.3662,0.3631
Anthony Edwards,player_points,PTS,26.5,23,Rui Hachimura,player_points,PTS,12.0,12,UNDER/OVER,-3.6,0.3213,0.3179
Anthony Edwards,player_points,PTS,26.5,23,Austin Reaves,player_points,PTS,14.5,15,UNDER/OVER,4.33,0.3478,0.3445
Anthony Edwards,player_points,PTS,26.5,23,D'Angelo Russell,player_points,PTS,15.5,18,UNDER/OVER,16.37,0.3879,0.3848
Anthony Edwards,player_points,PTS,26.5,23,LeBron James,player_points,PTS,24.5,25,UNDER/OVER,3.73,0.3458,0.3425
Anthony Edwards,player_points,PTS,26.5,23,D'Angelo Russell,player_points,PTS,16.0,18,UNDER/OVER,13.51,0.3784,0.3753
Anthony Edwards,player_points,PTS,26.5,23,Anthony Davis,player_points,PTS,25.0,23,UNDER/UNDER,14.18,0.3806,0.3775
Anthony Edwards,player_points,PTS,26.5,23,Austin Reaves,player_points,PTS,15.5,15,UNDER/UNDER,2.88,0.3429,0.3396
Anthony Edwards,player_points,PTS,26.5,23,Gabe Vincent,player_points,PTS,3.5,2,UNDER/UNDER,30.91,0.4364,0.4335
Anthony Edwards,player_points,PTS,26.5,23,Jaxson Hayes,player_points,PTS,4.5,3,UNDER/UNDER,21.91,0.4064,0.4034
Anthony Edwards,player_points,PTS,0.5,23,Anthony Davis,player_points,PTS,24.5,23,OVER/UNDER,68.82,0.5627,0.5606
Anthony Edwards,player_points,PTS,0.5,23,Rui Hachimura,player_points,PTS,12.0,12,OVER/OVER,49.15,0.4972,0.4946
Anthony Edwards,player_points,PTS,0.5,23,Austin Reaves,player_points,PTS,14.5,15,OVER/OVER,58.42,0.5281,0.5257
Anthony Edwards,player_points,PTS,0.5,23,D'Angelo Russell,player_points,PTS,15.5,18,OVER/OVER,84.52,0.6151,0.6131
Anthony Edwards,player_points,PTS,0.5,23,LeBron James,player_points,PTS,24.5,25,OVER/OVER,57.39,0.5246,0.5223
Anthony Edwards,player_points,PTS,0.5,23,Anthony Davis,player_points,PTS,25.0,23,OVER/UNDER,74.99,0.5833,0.5812
Anthony Edwards,player_points,PTS,0.5,23,D'Angelo Russell,player_points,PTS,16.0,18,OVER/OVER,73.26,0.5775,0.5754
Anthony Edwards,player_points,PTS,0.5,23,Jaxson Hayes,player_points,PTS,4.5,3,OVER/UNDER,87.01,0.6234,0.6215
Anthony Edwards,player_points,PTS,0.5,23,Austin Reaves,player_points,PTS,15.5,15,OVER/UNDER,58.51,0.5284,0.526
Anthony Edwards,player_points,PTS,0.5,23,Gabe Vincent,player_points,PTS,3.5,2,OVER/UNDER,102.81,0.676,0.6744
Anthony Davis,player_points,PTS,24.5,23,Nickeil Alexander-Walker,player_points,PTS,5.5,8,UNDER/OVER,16.62,0.3887,0.3857
Anthony Davis,player_points,PTS,24.5,23,Jaden McDaniels,player_points,PTS,9.0,10,UNDER/OVER,-2.09,0.3264,0.323
Anthony Davis,player_points,PTS,24.5,23,Mike Conley,player_points,PTS,10.0,11,UNDER/OVER,-2.92,0.3236,0.3202
Anthony Davis,player_points,PTS,24.5,23,Rudy Gobert,player_points,PTS,12.5,13,UNDER/OVER,-8.2,0.306,0.3025
Anthony Davis,player_points,PTS,24.5,23,Rudy Gobert,player_points,PTS,13.0,13,UNDER/OVER,-14.11,0.2863,0.2827
Anthony Davis,player_points,PTS,24.5,23,Jaden McDaniels,player_points,PTS,9.5,10,UNDER/OVER,-8.78,0.3041,0.3006
Anthony Davis,player_points,PTS,24.5,23,Naz Reid,player_points,PTS,11.5,12,UNDER/OVER,-8.9,0.3037,0.3002
Nickeil Alexander-Walker,player_points,PTS,5.5,8,Rui Hachimura,player_points,PTS,12.0,12,OVER/UNDER,2.88,0.3429,0.3397
Nickeil Alexander-Walker,player_points,PTS,5.5,8,D'Angelo Russell,player_points,PTS,15.5,18,OVER/OVER,25.59,0.4186,0.4157
Nickeil Alexander-Walker,player_points,PTS,5.5,8,Austin Reaves,player_points,PTS,14.5,15,OVER/OVER,8.19,0.3606,0.3574
Nickeil Alexander-Walker,player_points,PTS,5.5,8,LeBron James,player_points,PTS,24.5,25,OVER/OVER,9.19,0.364,0.3608
