PLAYER_ID,POSITION
1641931,Forward
1641793,Guard
1629678,Forward
1630207,Guard-Forward
1630608,Guard
1641735,Guard
1641778,Forward
1641806,Guard
1629623,Guard
1641771,Forward
1629716,Center
1630587,Forward
1641926,Guard
1630547,Guard
1629718,Guard
1631262,Guard
1630535,Forward
1629875,Guard
1641877,Center
1641754,Guard-Forward
1630586,Forward
1630563,Guard
1630606,Guard
1631376,Center
1630641,Center
1629007,Center-Forward
1628977,Guard
1631241,Guard
1630284,Guard
1630562,Forward
1630204,Guard-Forward
1631173,Guard
1631338,Forward
1630622,Guard
1629647,Forward
1630186,Guard
1631167,Guard
1630929,Forward
1630610,Guard
1641847,Guard
1631205,Forward
1641970,Forward
1628391,Forward
1628424,Guard
1630285,Guard
1642013,Center
1631298,Forward
1641851,Forward
1630564,Forward
1628432,Guard
203943,Forward
1629676,Forward
200752,Forward-Guard
1631211,Guard
1630195,Forward
202322,Guard
203585,Guard
1631309,Guard
1631113,Guard
1629033,Guard-Forward
1630250,Center
1630593,Guard
1630613,Guard
1628416,Guard
1630792,Forward
1630225,Forward
203521,Guard
1631320,Forward
1630648,Guard
1631219,Forward
1630176,Center
1631160,Guard
1630701,Forward
1626169,Forward-Guard
1629662,Center
1630580,Guard-Forward
1629653,Guard
1630637,Guard
1629126,Guard-Forward
1629735,Forward
1630620,Forward
1630270,Forward
203487,Guard
1641645,Forward
1628402,Guard
1631495,Guard
1628221,Guard
1629663,Forward
1628435,Center
202340,Guard
200746,Center-Forward
1629620,Guard
1627761,Guard-Forward
203145,Guard-Forward
203090,Forward-Guard
203107,Guard
1630686,Forward
1630565,Forward
1627774,Forward
201571,Guard
1630190,Guard
1628021,Guard-Forward
1628367,Guard-Forward
1629649,Forward
203087,Guard-Forward
1630466,Forward
1630612,Guard
1630536,Guard
202339,Guard
1627756,Guard
202954,Guard
1627782,Guard
1630698,Guard
203918,Guard-Forward
1627822,Forward
1630691,Forward
1630555,Guard
202334,Center-Forward
1626155,Forward
1630525,Guard
1629681,Forward-Center
