PLAYER_ID,POSITION,HEIGHT,WEIGHT
1626166,Guard,6-3,183.0
203503,Guard,6-6,213.0
1630214,Forward,6-7,245.0
1630217,Guard,6-5,215.0
203954,Center-Forward,7-0,280.0
203497,Center,7-1,258.0
204060,Forward-Guard,6-8,220.0
203457,Center-Forward,6-10,220.0
203458,Center,7-0,250.0
203493,Guard-Forward,6-6,205.0
1626145,Guard,6-1,196.0
101150,Guard,6-2,175.0
1630193,Guard,6-2,190.0
203484,Guard,6-5,204.0
1626164,Guard,6-6,206.0
1626149,Forward-Center,6-7,240.0
1630168,Forward-Center,6-10,240.0
203471,Guard,6-1,175.0
1626220,Forward,6-6,226.0
203903,Guard,6-3,194.0
203083,Center,6-11,279.0
1627788,Guard-Forward,6-7,202.0
203937,Forward-Guard,6-9,230.0
1627777,Forward,6-7,230.0
203109,Forward,6-6,235.0
203552,Guard,6-1,185.0
1630167,Forward,6-9,220.0
2730,Center-Forward,6-10,265.0
203944,Forward-Center,6-9,250.0
203526,Guard,6-2,180.0
1629604,Forward-Guard,6-6,200.0
1627732,Guard-Forward,6-10,240.0
1630241,Guard,6-4,205.0
1629091,Guard,6-5,210.0
202357,Forward,6-9,234.0
1629626,Center-Forward,7-3,220.0
1629622,Guard-Forward,6-5,215.0
1629216,Guard,6-2,200.0
1628427,Forward,6-8,236.0
1629603,Forward,6-9,228.0
1627884,Forward,6-6,210.0
1630173,Forward,6-8,243.0
1629670,Forward,6-8,225.0
1628388,Forward,6-10,222.0
1626178,Forward,6-6,217.0
1626253,Guard-Forward,6-7,210.0
1628385,Forward-Center,6-10,240.0
1627885,Guard,6-4,195.0
1629644,Forward-Guard,6-8,215.0
1629642,Forward-Guard,6-6,220.0
1630192,Forward-Center,6-9,240.0
1629035,Guard,5-11,200.0
1627789,Guard-Forward,6-7,215.0
1628436,Center-Forward,7-1,250.0
1628455,Guard,6-1,175.0
202693,Forward,6-9,245.0
204020,Guard,6-3,186.0
1628400,Forward,6-6,240.0
1628993,Forward,6-8,212.0
1629641,Guard-Forward,6-5,216.0
201188,Center,6-11,255.0
203118,Forward,6-7,237.0
1629617,Forward-Center,6-8,250.0
1630194,Forward,6-9,210.0
1630198,Guard,6-3,165.0
1628990,Forward-Guard,6-6,210.0
1628378,Guard,6-3,215.0
201229,Forward,6-8,240.0
1629726,Guard,6-6,215.0
1630216,Guard,6-1,185.0
1630264,Forward,6-8,230.0
1629067,Guard,6-8,180.0
201952,Guard,6-3,195.0
203463,Guard,6-3,195.0
203524,Forward,6-6,226.0
1626163,Forward-Center,7-0,240.0
1627812,Guard,6-0,178.0
1629599,Guard-Forward,6-7,210.0
1629833,Guard,6-4,200.0
201580,Center-Forward,7-0,270.0
1629634,Forward,6-8,215.0
1628382,Forward,6-8,220.0
203504,Guard,6-0,185.0
1629605,Center,7-6,311.0
1630233,Forward-Center,6-8,253.0
1630219,Guard,6-3,205.0
1629185,Guard,5-11,175.0
1628995,Forward,6-8,215.0
1630187,Center,6-8,240.0
1627739,Guard,6-3,205.0
1626246,Center,7-4,290.0
1630182,Guard,6-5,200.0
1628379,Guard,6-5,206.0
1628035,Forward,6-7,215.0
1630188,Forward-Center,6-9,215.0
1628975,Guard,6-1,200.0
204038,Guard,6-1,200.0
201162,Forward,6-6,237.0
1629714,Forward,6-5,250.0
1629723,Guard,6-5,210.0
1629730,Guard,6-3,209.0
1629752,Forward,6-7,232.0
1629744,Guard,6-3,190.0
1630235,Guard,6-4,210.0
1626159,Forward-Guard,6-6,222.0
203648,Forward,6-7,219.0
202326,Center,6-10,270.0
203115,Guard,6-5,181.0
1630206,Guard,6-5,220.0
101141,Forward,6-9,235.0
1628981,Forward-Center,6-9,240.0
1628962,Center-Forward,6-11,270.0
1629629,Forward-Guard,6-7,217.0
1627846,Forward,6-5,225.0
1630234,Guard,6-3,195.0
1630201,Guard,6-1,185.0
1628449,Forward,6-9,200.0
201152,Forward,6-8,225.0
1630183,Forward,6-9,185.0
1628384,Forward-Guard,6-7,240.0
1627832,Guard,6-0,197.0
1627863,Forward-Guard,6-6,220.0
1629675,Center-Forward,6-9,264.0
202691,Guard,6-5,220.0
1629673,Guard,6-4,194.0
201939,Guard,6-2,185.0
1629717,Guard,6-3,195.0
1630162,Guard,6-4,225.0
1629308,Forward,6-6,209.0
1629162,Guard,6-0,185.0
1629139,Guard-Forward,6-9,215.0
1629020,Forward,6-8,214.0
202355,Center,7-0,265.0
1629018,Guard,6-5,204.0
203110,Forward,6-6,230.0
1626172,Forward,6-9,222.0
1627823,Forward,6-9,214.0
1630533,Forward,6-9,185.0
1630228,Forward,6-7,225.0
1626157,Center-Forward,7-0,248.0
1630541,Guard,6-5,211.0
1626156,Guard,6-3,193.0
203500,Center,6-11,265.0
203952,Forward,6-7,197.0
1630567,Forward-Guard,6-7,237.0
1630625,Forward,6-8,203.0
203920,Center,6-8,233.0
203915,Guard,6-5,215.0
1627736,Guard,6-4,187.0
1630538,Guard,6-2,169.0
1627814,Guard-Forward,6-6,210.0
1627783,Forward,6-8,245.0
203490,Forward,6-8,230.0
1627780,Guard,6-2,195.0
