name,pos,age,name_s26
Kon Knueppel,SF,20.0,Kon Knueppel
RJ Barrett,SF,25.0,RJ Barrett
CJ McCollum,PG,34.0,C.J. McCollum
De'Aaron Fox,PG,28.0,De'Aaron Fox
Bennedict Mathurin,SF,23.0,Bennedict Mathurin
Jerami Grant,PF,31.0,Jerami Grant
Scottie Barnes,PF,24.0,Scottie Barnes
DeMar DeRozan,PF,36.0,DeMar DeRozan
Jalen Green,SG,23.0,Jalen Green
Evan Mobley,PF,24.0,Evan Mobley
Trae Young,PG,27.0,Trae Young
Amen Thompson,PG,23.0,Amen Thompson
Coby White,SG,25.0,Coby White
Saddiq Bey,SF,26.0,Saddiq Bey
Josh Giddey,PG,23.0,Josh Giddey
Kevin Porter Jr.,PG,25.0,Kevin Porter Jr.
Grayson Allen,SG,30.0,Grayson Allen
Dejounte Murray,PG,29.0,Dejounte Murray
Jalen Williams,SG,24.0,Jalen Williams
Miles Bridges,PF,27.0,Miles Bridges
Chet Holmgren,PF,23.0,Chet Holmgren
Kristaps Porziņģis,C,30.0,Kristaps Porzingis
Derrick White,SG,31.0,Derrick White
Andrew Nembhard,PG,26.0,Andrew Nembhard
Ryan Rollins,PG,23.0,Ryan Rollins
Payton Pritchard,PG,28.0,Payton Pritchard
Immanuel Quickley,PG,26.0,Immanuel Quickley
OG Anunoby,PF,28.0,OG Anunoby
Paul George,PF,35.0,Paul George
Stephon Castle,PG,21.0,Stephon Castle
Aaron Gordon,PF,30.0,Aaron Gordon
Matas Buzelis,PF,21.0,Matas Buzelis
Alex Sarr,C,20.0,Alex Sarr
VJ Edgecombe,SG,20.0,VJ Edgecombe
Jrue Holiday,PG,35.0,Jrue Holiday
Domantas Sabonis,C,29.0,Domantas Sabonis
Nikola Vučević,C,35.0,Nikola Vucevic
Andrew Wiggins,SF,30.0,Andrew Wiggins
Naji Marshall,SF,28.0,Naji Marshall
Jabari Smith Jr.,PF,22.0,Jabari Smith Jr
Jarrett Allen,C,27.0,Jarrett Allen
Anthony Black,PG,22.0,Anthony Black
Onyeka Okongwu,C,25.0,Onyeka Okongwu
Russell Westbrook,SF,37.0,Russell Westbrook
Collin Sexton,SG,27.0,Collin Sexton
Jaime Jaquez Jr.,SF,24.0,Jaime Jaquez Jr
Peyton Watson,SF,23.0,Peyton Watson
Kyshawn George,SF,22.0,Kyshawn George
Jaden McDaniels,PF,25.0,Jaden McDaniels
Mikal Bridges,SF,29.0,Mikal Bridges
Kennedy Chandler,PG,23.0,Kennedy Chandler
Ayo Dosunmu,SG,26.0,Ayo Dosunmu
Kelly Oubre Jr.,SF,30.0,Kelly Oubre Jr.
Walker Kessler,C,24.0,Walker Kessler
Anfernee Simons,SG,26.0,Anfernee Simons
Brice Sensabaugh,SF,22.0,Brice Sensabaugh
Devin Vassell,SG,25.0,Devin Vassell
Ivica Zubac,C,28.0,Ivica Zubac
Ajay Mitchell,SG,23.0,Ajay Mitchell
P.J. Washington,PF,27.0,P.J. Washington
Santi Aldama,PF,25.0,Santi Aldama
Keegan Murray,PF,25.0,Keegan Murray
Quentin Grimes,SG,25.0,Quentin Grimes
Tim Hardaway Jr.,SG,33.0,Tim Hardaway Jr
Aaron Nesmith,SF,26.0,Aaron Nesmith
De'Andre Hunter,SF,28.0,De'Andre Hunter
Scoot Henderson,PG,21.0,Scoot Henderson
Bobby Portis,PF,30.0,Bobby Portis
Jalen Suggs,PG,24.0,Jalen Suggs
Zach Edey,C,23.0,Zach Edey
Naz Reid,C,26.0,Naz Reid
Cam Thomas,SG,24.0,Cam Thomas
Ace Bailey,SF,19.0,Ace Bailey
Cedric Coward,SG,22.0,Cedric Coward
Reed Sheppard,SG,21.0,Reed Sheppard
Tobias Harris,PF,33.0,Tobias Harris
John Collins,PF,28.0,John Collins
Jordan Poole,PG,26.0,Jordan Poole
Tre Jones,PG,26.0,Tre Jones
Brandin Podziemski,SG,22.0,Brandin Podziemski
Collin Gillespie,PG,26.0,Collin Gillespie
Kyle Kuzma,PF,30.0,Kyle Kuzma
Jaylon Tyson,SG,23.0,Jaylon Tyson
Jeremiah Fears,PG,19.0,Jeremiah Fears
Keldon Johnson,SF,26.0,Keldon Johnson
De'Anthony Melton,PG,27.0,De'Anthony Melton
Sam Merrill,SG,29.0,Sam Merrill
Toumani Camara,PF,25.0,Toumani Camara
Miles McBride,SG,25.0,Miles McBride
Brandon Williams,PG,26.0,Brandon Williams
Malik Monk,SG,27.0,Malik Monk
Max Strus,SF,29.0,Max Strus
Jaylen Wells,SG,22.0,Jaylen Wells
Max Christie,SG,22.0,Max Christie
Donte DiVincenzo,SG,29.0,Donte DiVincenzo
Deandre Ayton,C,27.0,Deandre Ayton
Donovan Clingan,C,21.0,Donovan Clingan
Noah Clowney,PF,21.0,Noah Clowney
Tre Johnson,SG,19.0,Tre Johnson
Josh Hart,SF,30.0,Josh Hart
Moses Moody,SG,23.0,Moses Moody
Jonathan Kuminga,PF,23.0,Jonathan Kuminga
GG Jackson II,PF,21.0,GG Jackson
Maxime Raynaud,C,22.0,Maxime Raynaud
Julian Reese,PF,22.0,Julian Reese
Wendell Carter Jr.,C,26.0,Wendell Carter Jr.
Cameron Johnson,SF,29.0,Cameron Johnson
Duncan Robinson,SF,31.0,Duncan Robinson
Myles Turner,C,29.0,Myles Turner
Nic Claxton,C,26.0,Nicolas Claxton
Klay Thompson,SF,35.0,Klay Thompson
Isaiah Collier,PG,21.0,Isaiah Collier
Dyson Daniels,SG,22.0,Dyson Daniels
Christian Braun,SG,24.0,Christian Braun
Mark Williams,C,24.0,Mark Williams
Bilal Coulibaly,SG,21.0,Bilal Coulibaly
Dylan Harper,SG,19.0,Dylan Harper
Jarace Walker,PF,22.0,Jarace Walker
Scotty Pippen Jr.,PG,25.0,Scotty Pippen Jr.
Derik Queen,C,21.0,Derik Queen
Julian Champagnie,SF,24.0,Julian Champagnie
Rudy Gobert,C,33.0,Rudy Gobert
Rui Hachimura,PF,27.0,Rui Hachimura
Cam Spencer,SG,25.0,Cam Spencer
Kel'el Ware,C,21.0,Kel'el Ware
Dennis Schröder,PG,32.0,Dennis Schroder
Pelle Larsson,SG,24.0,Pelle Larsson
Caleb Love,SG,24.0,Caleb Love
Sandro Mamukelashvili,C,26.0,Sandro Mamukelashvili
Alondes Williams,SG,26.0,Alondes Williams
Kyle Filipowski,C,22.0,Kyle Filipowski
Isaiah Joe,SG,26.0,Isaiah Joe
Jusuf Nurkić,C,31.0,Jusuf Nurkic
Khris Middleton,SF,34.0,Khris Middleton
Derrick Jones Jr.,SF,28.0,Derrick Jones Jr.
Jock Landale,C,30.0,Jock Landale
Blake Hinson,SF,26.0,Blake Hinson
Jakob Poeltl,C,30.0,Jakob Poeltl
Daeqwon Plowden,SG,27.0,Daeqwon Plowden
Marvin Bagley III,PF,26.0,Marvin Bagley III
Bub Carrington,PG,20.0,Carlton Carrington
Egor Dёmin,PG,19.0,Egor Dëmin
Tari Eason,PF,24.0,Tari Eason
Ziaire Williams,SF,24.0,Ziaire Williams
Tyler Burton,SF,25.0,Tyler Burton
D'Angelo Russell,PG,29.0,D'Angelo Russell
Jalen Smith,C,25.0,Jalen Smith
Harrison Barnes,PF,33.0,Harrison Barnes
Obi Toppin,PF,27.0,Obi Toppin
Tristan Da Silva,SF,24.0,Tristan da Silva
Royce O'Neale,SF,32.0,Royce O'Neale
Zaccharie Risacher,SF,20.0,Zaccharie Risacher
Isaiah Stewart,C,24.0,Isaiah Stewart II
Ausar Thompson,SF,23.0,Ausar Thompson
Kevin Huerter,SG,27.0,Kevin Huerter
Neemias Queta,C,26.0,Neemias Queta
Aaron Wiggins,SG,27.0,Aaron Wiggins
Zach Collins,C,28.0,Zach Collins
Jordan Miller,SF,26.0,Jordan Miller
Landry Shamet,SG,28.0,Landry Shamet
Precious Achiuwa,C,26.0,Precious Achiuwa
Daniel Gafford,C,27.0,Daniel Gafford
A.J. Green,SG,26.0,AJ Green
Isaiah Hartenstein,C,27.0,Isaiah Hartenstein
Olivier-Maxence Prosper,PF,23.0,Olivier-Maxence Prosper
Marcus Smart,SG,31.0,Marcus Smart
Jay Huff,C,27.0,Jay Huff
T.J. McConnell,PG,33.0,T.J. McConnell
Will Riley,SF,19.0,Will Riley
Svi Mykhailiuk,SF,28.0,Svi Mykhailiuk
Isaac Okoro,SG,25.0,Isaac Okoro
Javon Small,PG,23.0,Javon Small
Cam Whitmore,SF,21.0,Cam Whitmore
Jaden Hardy,SG,23.0,Jaden Hardy
Corey Kispert,SF,26.0,Corey Kispert
Jordan Clarkson,SG,33.0,Jordan Clarkson
Herbert Jones,SF,27.0,Herbert Jones
Davion Mitchell,PG,27.0,Davion Mitchell
Sam Hauser,PF,28.0,Sam Hauser
Micah Potter,C,27.0,Micah Potter
Gui Santos,PF,23.0,Gui Santos
Danny Wolf,PF,21.0,Danny Wolf
Jordan Goodwin,PG,27.0,Jordan Goodwin
Daniss Jenkins,PG,24.0,Daniss Jenkins
Day'Ron Sharpe,C,24.0,Day'Ron Sharpe
Tristan Vukcevic,C,22.0,Tristan Vukcevic
Vít Krejčí,PG,25.0,Vit Krejci
Simone Fontecchio,SF,30.0,Simone Fontecchio
Cason Wallace,SG,22.0,Cason Wallace
Jaden Ivey,SG,23.0,Jaden Ivey
Leaky Black,SF,26.0,Leaky Black
Draymond Green,PF,35.0,Draymond Green
DaQuan Jeffries,SG,28.0,DaQuan Jeffries
Jared McCain,SG,21.0,Jared McCain
Kentavious Caldwell-Pope,SG,32.0,Kentavious Caldwell-Pope
Luguentz Dort,SF,26.0,Luguentz Dort
Al Horford,C,39.0,Al Horford
Quenton Jackson,PG,27.0,Quenton Jackson
Jake LaRavia,PF,24.0,Jake LaRavia
Kadary Richmond,SG,24.0,Kadary Richmond
Nolan Traoré,PG,19.0,Nolan Traore
Jonas Valančiūnas,C,33.0,Jonas Valanciunas
Bradley Beal,SG,32.0,Bradley Beal
Justin Champagnie,SF,24.0,Justin Champagnie
Ron Holland,SF,20.0,Ronald Holland II
MarJon Beauchamp,SF,25.0,MarJon Beauchamp
Moussa Diabaté,C,24.0,Moussa Diabate
Brook Lopez,C,37.0,Brook Lopez
Bryce McGowens,SG,23.0,Bryce McGowens
Luke Kennard,SG,29.0,Luke Kennard
Dominick Barlow,PF,22.0,Dominick Barlow
Bones Hyland,PG,25.0,Bones Hyland
DeJon Jarreau,SG,28.0,DeJon Jarreau
LJ Cryer,PG,24.0,LJ Cryer
Collin Murray-Boyles,PF,20.0,Collin Murray-Boyles
Cameron Payne,PG,31.0,Cameron Payne
Cody Williams,SG,21.0,Cody Williams
Ryan Kalkbrenner,C,24.0,Ryan Kalkbrenner
Quinten Post,PF,25.0,Quinten Post
Gary Trent Jr.,SG,27.0,Gary Trent Jr
Bruce Brown,SG,29.0,Bruce Brown
Nique Clifford,SG,23.0,Nique Clifford
Luka Garza,C,27.0,Luka Garza
Vince Williams Jr.,SG,25.0,Vince Williams Jr.
Devin Carter,PG,23.0,Devin Carter
Kris Dunn,PG,31.0,Kris Dunn
Chaney Johnson,SF,23.0,Chaney Johnson
Jaylin Williams,PF,23.0,Jaylin Williams
Walter Clayton,PG,22.0,Walter Clayton Jr.
Nikola Jović,PF,22.0,Nikola Jovic
Moritz Wagner,C,28.0,Moritz Wagner
Buddy Hield,SG,33.0,Buddy Hield
Bogdan Bogdanović,SG,33.0,Bogdan Bogdanovic
Caris LeVert,SG,31.0,Caris LeVert
Taylor Hendricks,PF,22.0,Taylor Hendricks
Sharife Cooper,PG,24.0,Sharife Cooper
Terance Mann,SG,29.0,Terance Mann
Gary Payton II,SG,33.0,Gary Payton II
Paul Reed,C,26.0,Paul Reed
Ja'Kobe Walter,SG,21.0,Ja'Kobe Walter
Josh Minott,PF,23.0,Josh Minott
Jose Alvarado,PG,27.0,Jose Alvarado
Jaxson Hayes,C,25.0,Jaxson Hayes
Kobe Sanders,SG,23.0,Kobe Sanders
Lawson Lovering,C,22.0,Lawson Lovering
Ben Sheppard,SG,24.0,Ben Sheppard
Malachi Smith,SG,26.0,Malachi Smith
Will Richard,SG,23.0,Will Richard
Pat Spencer,PG,29.0,Pat Spencer
Seth Curry,SG,35.0,Seth Curry
Javonte Green,SG,32.0,Javonte Green
Elijah Harkless,SG,25.0,Elijah Harkless
Trendon Watford,PF,25.0,Trendon Watford
Grant Williams,PF,27.0,Grant Williams
Nate Williams,SG,26.0,Nate Williams
Patrick Williams,PF,24.0,Patrick Williams
Robert Williams,C,28.0,Robert Williams
Isaiah Jackson,C,24.0,Isaiah Jackson
Cole Anthony,PG,25.0,Cole Anthony
Kevin Love,PF,37.0,Kevin Love
Ben Saraf,SG,19.0,Ben Saraf
Jevon Carter,PG,30.0,Jevon Carter
Julian Strawther,SG,23.0,Julian Strawther
Oso Ighodaro,PF,23.0,Oso Ighodaro
Luke Kornet,C,30.0,Luke Kornet
Jamal Shead,PG,23.0,Jamal Shead
Kenrich Williams,PF,31.0,Kenrich Williams
Keon Ellis,SG,26.0,Keon Ellis
Tyrese Martin,SG,26.0,Tyrese Martin
Alex Caruso,SG,31.0,Alex Caruso
Andre Drummond,C,32.0,Andre Drummond
Taurean Prince,SF,31.0,Taurean Prince
Ousmane Dieng,C,22.0,Ousmane Dieng
Kyle Anderson,SF,32.0,Kyle Anderson
Jalen Slawson,SF,26.0,Jalen Slawson
Jamir Watkins,SG,24.0,Jamir Watkins
Gradey Dick,SG,22.0,Gradey Dick
Justin Edwards,SF,22.0,Justin Edwards
Ryan Nembhard,PG,22.0,Ryan Nembhard
Tidjane Salaün,PF,20.0,Tidjane Salaun
Kasparas Jakučionis,PG,19.0,Kasparas Jakučionis
Drake Powell,SG,20.0,Drake Powell
Leonard Miller,SF,22.0,Leonard Miller
Thomas Bryant,C,28.0,Thomas Bryant
Oscar Tshiebwe,C,26.0,Oscar Tshiebwe
Ryan Dunn,SF,23.0,Ryan Dunn
Tyson Etienne,PG,26.0,Tyson Etienne
Tre Mann,PG,24.0,Tre Mann
Nick Richards,C,28.0,Nick Richards
Mac McClung,SG,27.0,Mac McClung
Steven Adams,C,32.0,Steven Adams
Kris Murray,SF,25.0,Kris Murray
Dru Smith,SG,28.0,Dru Smith
Nick Smith Jr.,SG,21.0,Nick Smith Jr.
Dean Wade,PF,29.0,Dean Wade
Jalen Wilson,PF,25.0,Jalen Wilson
Goga Bitadze,C,26.0,Goga Bitadze
Karlo Matković,PF,24.0,Karlo Matković
Jamaree Bouyea,PG,26.0,Jamaree Bouyea
Spencer Jones,SF,24.0,Spencer Jones
Sidy Cissoko,SF,21.0,Sidy Cissoko
Eric Gordon,SG,37.0,Eric Gordon
Haywood Highsmith,SF,29.0,Haywood Highsmith
Aaron Holiday,PG,29.0,Aaron Holiday
Yves Missi,C,21.0,Yves Missi
Mitchell Robinson,C,27.0,Mitchell Robinson
Nae'Qwan Tomlin,PF,25.0,Nae'Qwan Tomlin
Rob Dillingham,PG,21.0,Rob Dillingham
Jett Howard,SF,22.0,Jett Howard
Jahmai Mashack,SG,23.0,Jahmai Mashack
Marcus Sasser,PG,25.0,Marcus Sasser
Sion James,SG,23.0,Sion James
Doug McDermott,SF,34.0,Doug McDermott
Matisse Thybulle,SG,28.0,Matisse Thybulle
Jordan Walsh,PF,21.0,Jordan Walsh
Blake Wesley,SG,22.0,Blake Wesley
KJ Simpson,PG,23.0,KJ Simpson
Drew Eubanks,C,28.0,Drew Eubanks
Andersson Garcia,SF,25.0,Andersson Garcia
Garrison Mathews,SG,29.0,Garrison Mathews
Guerschon Yabusele,C,30.0,Guerschon Yabusele
Dylan Cardwell,C,24.0,Dylan Cardwell
Johnny Furphy,SG,21.0,Johnny Furphy
Killian Hayes,PG,24.0,Killian Hayes
Jalen Pickett,SG,26.0,Jalen Pickett
Ethan Thompson,SG,26.0,Ethan Thompson
Asa Newell,PF,20.0,Asa Newell
John Poulakidas,SG,22.0,John Poulakidas
Kobe Brown,PF,26.0,Kobe Brown
Baylor Scheierman,SG,25.0,Baylor Scheierman
Ochai Agbaji,SG,25.0,Ochai Agbaji
Adem Bona,C,22.0,Adem Bona
Bez Mbeng,SG,22.0,Bez Mbeng
Josh Green,SG,25.0,Josh Green
Pete Nance,PF,25.0,Pete Nance
Josh Okogie,SG,27.0,Josh Okogie
Tyrese Proctor,PG,21.0,Tyrese Proctor
Jase Richardson,SG,20.0,Jase Richardson
Lonzo Ball,PG,28.0,Lonzo Ball
Malaki Branham,SG,22.0,Malaki Branham
Branden Carlson,C,26.0,Branden Carlson
Anthony Gill,PF,33.0,Anthony Gill
Mouhamed Gueye,PF,23.0,Mouhamed Gueye
Jeremiah Robinson-Earl,PF,25.0,Jeremiah Robinson-Earl
PJ Hall,C,23.0,PJ Hall
Jabari Walker,PF,23.0,Jabari Walker
Gabe Vincent,PG,29.0,Gabe Vincent
Jamal Cain,SF,26.0,Jamal Cain
DeAndre Jordan,C,37.0,DeAndre Jordan
Tyler Kolek,PG,24.0,Tyler Kolek
Craig Porter Jr.,PG,25.0,Craig Porter Jr.
Jarred Vanderbilt,PF,26.0,Jarred Vanderbilt
Rayan Rupert,SG,21.0,Rayan Rupert
Yanic Konan Niederhäuser,C,22.0,Yanic Konan Niederhäuser
Skal Labissière,PF,29.0,Skal Labissiere
Dereck Lively II,C,21.0,Dereck Lively II
Grant Nelson,PF,23.0,Grant Nelson
Jericho Sims,C,27.0,Jericho Sims
DaRon Holmes,PF,23.0,DaRon Holmes II
Dalton Knecht,SF,24.0,Dalton Knecht
Liam McNeeley,SF,20.0,Liam McNeeley
Noah Penda,SF,21.0,Noah Penda
Nicolas Batum,PF,37.0,Nicolas Batum
Mike Conley,PG,38.0,Mike Conley
Kam Jones,SG,23.0,Kam Jones
Terrence Shannon Jr.,SG,25.0,Terrence Shannon Jr.
RayJ Dennis,PG,24.0,RayJ Dennis
Tony Bradley,C,28.0,Tony Bradley
Carter Bryant,PF,20.0,Carter Bryant
Brandon Clarke,PF,29.0,Brandon Clarke
Rasheer Fleming,PF,21.0,Rasheer Fleming
Taj Gibson,C,40.0,Taj Gibson
Hugo González,SF,19.0,Hugo González
John Konchar,SG,29.0,John Konchar
Jaylen Clark,SG,24.0,Jaylen Clark
Myron Gardner,SF,24.0,Myron Gardner
Jordan Hawkins,SG,23.0,Jordan Hawkins
Caleb Martin,SF,30.0,Caleb Martin
Micah Peavy,SG,24.0,Micah Peavy
Taelon Peter,SG,23.0,Taelon Peter
Patrick Baldwin Jr.,SF,23.0,Patrick Baldwin Jr.
Dalen Terry,SG,23.0,Dalen Terry
Clint Capela,C,31.0,Clint Capela
Moussa Cisse,C,23.0,Moussa Cisse
Keshad Johnson,SF,24.0,Keshad Johnson
Zeke Nnaji,PF,25.0,Zeke Nnaji
Mohamed Diawara,SF,20.0,Mohamed Diawara
Keaton Wallace,PG,26.0,Keaton Wallace
Trayce Jackson-Davis,C,25.0,Trayce Jackson-Davis
Tolu Smith,PF,25.0,Tolu Smith
Jeremy Sochan,PF,22.0,Jeremy Sochan
Ron Harper Jr.,SF,25.0,Ron Harper Jr.
Drew Timme,PF,25.0,Drew Timme
Jamison Battle,SF,24.0,Jamison Battle
A.J. Lawson,SG,25.0,A.J. Lawson
Larry Nance Jr.,PF,33.0,Larry Nance Jr.
Sean Pedulla,PG,23.0,Sean Pedulla
Dwight Powell,C,34.0,Dwight Powell
Isaiah Stevens,PG,25.0,Isaiah Stevens
James Wiseman,C,24.0,James Wiseman
Riley Minix,SF,25.0,Riley Minix
Kelly Olynyk,C,34.0,Kelly Olynyk
Nikola Topić,PG,20.0,Nikola Topić
Cam Christie,SG,20.0,Cam Christie
Dorian Finney-Smith,PF,32.0,Dorian Finney-Smith
Miles Kelly,PG,23.0,Miles Kelly
Mark Sears,PG,23.0,Mark Sears
Adama-Alpha Bal,,22.0,Adama Bal
Kobe Bufkin,SG,22.0,Kobe Bufkin
Yuki Kawamura,PG,24.0,Yuki Kawamura
Chris Livingston,SF,22.0,Chris Livingston
Emanuel Miller,PF,25.0,Emanuel Miller
Monte Morris,PG,30.0,Monte Morris
Antonio Reeves,SG,25.0,Antonio Reeves
Amir Coffey,SG,28.0,Amir Coffey
Tyus Jones,PG,29.0,Tyus Jones
Joan Beringer,PF,19.0,Joan Beringer
Pat Connaughton,SG,33.0,Pat Connaughton
David Jones García,SF,24.0,David Jones Garcia
Kevon Looney,C,29.0,Kevon Looney
Chris Paul,PG,40.0,Chris Paul
Duop Reath,C,29.0,Duop Reath
Trey Alexander,SG,22.0,Trey Alexander
AJ Johnson,SG,21.0,AJ Johnson
Koby Brea,SG,23.0,Koby Brea
Khaman Maluach,C,19.0,Khaman Maluach
Norchad Omier,PF,24.0,Norchad Omier
Charles Bassey,C,25.0,Charles Bassey
Christian Koloko,C,25.0,Christian Koloko
Julian Phillips,SF,22.0,Julian Phillips
Gary Harris,SG,31.0,Gary Harris
Jonathan Isaac,PF,28.0,Jonathan Isaac
Chaz Lanier,SG,24.0,Chaz Lanier
Jae'Sean Tate,SF,30.0,Jae'Sean Tate
Mo Bamba,C,27.0,Mo Bamba
Jayson Kent,SF,23.0,Jayson Kent
Malevy Leons,SF,26.0,Malevy Leons
E.J. Liddell,PF,25.0,E.J. Liddell
Alijah Martin,SG,24.0,Alijah Martin
Lindy Waters III,SG,28.0,Lindy Waters III
Omer Yurtseven,C,27.0,Omer Yurtseven
Chris Boucher,PF,33.0,Chris Boucher
Jeff Green,PF,39.0,Jeff Green
Cormac Ryan,SG,27.0,Cormac Ryan
Luke Travers,SG,24.0,Luke Travers
Chris Youngblood,SG,23.0,Chris Youngblood
JD Davison,PG,23.0,JD Davison
Tristan Enaruna,SF,24.0,Tristan Enaruna
Yang Hansen,C,20.0,Yang Hansen
Tyler Smith,PF,21.0,Tyler Smith
Hunter Tyson,PF,25.0,Hunter Tyson
Bronny James,SG,21.0,Bronny James
Maxi Kleber,PF,34.0,Maxi Kleber
TyTy Washington Jr.,PG,24.0,TyTy Washington Jr.
Dalano Banton,PG,26.0,Dalano Banton
Colin Castleton,C,25.0,Colin Castleton
Hunter Dickinson,C,25.0,Hunter Dickinson
Trentyn Flowers,SF,20.0,Trentyn Flowers
Keshon Gilbert,PG,22.0,Keshon Gilbert
CJ Huntley,SF,24.0,CJ Huntley
Colby Jones,SG,23.0,Colby Jones
Johnny Juzang,SG,24.0,Johnny Juzang
Jordan McLaughlin,PG,29.0,Jordan McLaughlin
Wendell Moore Jr.,SG,24.0,Wendell Moore Jr.
Alex Morales,PG,28.0,Alex Morales
Zyon Pullin,SG,24.0,Zyon Pullin
Payton Sandfort,SF,23.0,Payton Sandfort
Caleb Houstan,SF,23.0,Caleb Houstan
Ariel Hukporti,C,23.0,Ariel Hukporti
Harrison Ingram,SF,23.0,Harrison Ingram
Bobi Klintman,SF,22.0,Bobi Klintman
Isaiah Livers,PF,27.0,Isaiah Livers
Cody Martin,SF,30.0,Cody Martin
Kevin McCullar Jr.,SF,24.0,Kevin McCullar Jr.
Orlando Robinson,C,25.0,Orlando Robinson
Jahmir Young,PG,25.0,Jahmir Young
Andre Jackson Jr.,SG,24.0,Andre Jackson Jr.
Mason Plumlee,C,35.0,Mason Plumlee
Lachlan Olbrich,C,22.0,Lachlan Olbrich
Jacob Toppin,SF,25.0,Jacob Toppin
Buddy Boeheim,SF,26.0,Buddy Boeheim
Curtis Jones,SG,24.0,Curtis Jones
Jonathan Mogbo,PF,24.0,Jonathan Mogbo
Adou Thiero,SF,21.0,Adou Thiero
Rocco Zikarsky,C,19.0,Rocco Zikarsky
Xavier Tillman Sr.,C,27.0,Xavier Tillman
Isaiah Crawford,SF,24.0,Isaiah Crawford
Brooks Barnhizer,SG,23.0,Brooks Barnhizer
Markelle Fultz,PG,27.0,Markelle Fultz
Nigel Hayes-Davis,SF,31.0,Nigel Hayes-Davis
Kyle Lowry,PG,39.0,Kyle Lowry
Amari Williams,PF,24.0,Amari Williams
Isaac Jones,PF,25.0,Isaac Jones
Thanasis Antetokounmpo,SF,33.0,Thanasis Antetokounmpo
Javonte Cooke,SG,26.0,Javonte Cooke
Pacôme Dadiet,SG,20.0,Pacôme Dadiet
Dillon Jones,SF,24.0,Dillon Jones
David Roddy,PF,24.0,David Roddy
Hunter Sallis,SG,22.0,Hunter Sallis
Dario Šarić,C,31.0,Dario Saric
Olivier Sarr,C,26.0,Olivier Sarr
Stanley Umude,SG,26.0,Stanley Umude
Bismack Biyombo,C,33.0,Bismack Biyombo
Johni Broome,C,23.0,Johni Broome
N'Faly Dante,C,24.0,N'Faly Dante
Vladislav Goldin,C,24.0,Vladislav Goldin
Joe Ingles,SF,38.0,Joe Ingles
Trey Jemison,C,26.0,Trey Jemison III
Drew Peterson,PF,26.0,Drew Peterson
Max Shulga,SG,23.0,Max Shulga
Garrett Temple,SG,39.0,Garrett Temple
John Tonje,SG,24.0,John Tonje
Chris Mañon,SG,24.0,Chris Mañon
Jahmyl Telfort,PF,24.0,Jahmyl Telfort
Darius Brown II,SG,26.0,Darius Brown II
Noa Essengue,PF,19.0,Noa Essengue
Tosan Evbuomwan,SF,24.0,Tosan Evbuomwan
Enrique Freeman,PF,25.0,Enrique Freeman
