name,pos,age
Dennis Schröder,PG,30
Rudy Gobert,C,31
Scoot Henderson,PG,19
Caris LeVert,SG,29
Aaron Gordon,PF,28
Norman Powell,SG,30
Jalen Duren,C,20
Bobby Portis,PF,28
Saddiq Bey,SF,24
Jabari Smith Jr.,PF,20
Gary Trent Jr.,SG,25
Rui Hachimura,PF,25
Grayson Allen,SG,28
Naz Reid,PF,24
Cameron Johnson,PF,27
Corey Kispert,SF,24
Andrew Wiggins,SF,28
Keyonte George,PG,20
P.J. Washington,PF,25
Scotty Pippen Jr.,PG,23
Duncan Robinson,SF,29
Dillon Brooks,SF,28
Mark Williams,C,22
Jalen Suggs,SG,22
Jrue Holiday,PG,33
Brook Lopez,C,35
Josh Giddey,SG,21
Cam Whitmore,SF,19
Harrison Barnes,PF,31
Ayo Dosunmu,SG,24
Javonte Green,SF,30
Aaron Nesmith,SF,24
Max Strus,SF,27
Jonas Valančiūnas,C,31
Buddy Hield,SF,31
Tyus Jones,PG,27
Jaime Jaquez Jr.,SF,22
Nic Claxton,C,24
Marvin Bagley III,C,24
Ivica Zubac,C,26
Cole Anthony,PG,23
Jeremy Sochan,PF,20
Clint Capela,C,29
Mike Conley,PG,36
Malik Beasley,SG,27
Brandon Clarke,PF,27
Zach Collins,C,26
De'Anthony Melton,SG,25
Jakob Poeltl,C,28
Russell Westbrook,PG,35
Daniel Gafford,C,25
Wendell Carter Jr.,C,24
Eric Gordon,SG,35
Herbert Jones,SF,25
Luke Kennard,SG,27
Luguentz Dort,SF,24
Jusuf Nurkić,C,29
Isaiah Stewart,PF,22
Moritz Wagner,C,26
Bruce Brown,SG,27
Jake LaRavia,PF,22
Santi Aldama,PF,23
Simone Fontecchio,SF,28
Spencer Dinwiddie,PG,30
Jaden McDaniels,SF,23
Alec Burks,SG,32
Dalano Banton,PG,24
Grant Williams,PF,25
Obi Toppin,PF,25
Kevin Huerter,SG,25
Reggie Jackson,PG,33
T.J. McConnell,PG,31
Onyeka Okongwu,C,23
Kentavious Caldwell-Pope,SG,30
Alex Caruso,SG,29
Talen Horton-Tucker,PG,23
Tre Jones,PG,24
Caleb Martin,SF,28
Patrick Williams,PF,22
Vince Williams Jr.,SG,23
Josh Richardson,SG,30
Jalen Smith,C,23
Gordon Hayward,SF,33
Kelly Olynyk,C,32
Tari Eason,PF,22
Nick Richards,C,26
Lonnie Walker IV,SG,25
Payton Pritchard,PG,26
Amen Thompson,SF,21
Josh Hart,SF,28
Georges Niang,PF,30
Isaac Okoro,SF,23
Tre Mann,PG,22
Malaki Branham,PG,20
Andrew Nembhard,PG,24
