name,pos,age,name_s26
CJ McCollum,PG,31.0,C.J. McCollum
Jordan Clarkson,SG,30.0,Jordan Clarkson
Karl-Anthony Towns,PF,27.0,Karl-Anthony Towns
Tyrese Haliburton,PG,22.0,Tyrese Haliburton
Jerami Grant,PF,28.0,Jerami Grant
Dejounte Murray,SG,26.0,Dejounte Murray
Bam Adebayo,C,25.0,Bam Adebayo
Jordan Poole,PG,23.0,Jordan Poole
Tyrese Maxey,SG,22.0,Tyrese Maxey
Kelly Oubre Jr.,SF,27.0,Kelly Oubre Jr.
Mikal Bridges,SG,26.0,Mikal Bridges
Tyler Herro,SG,23.0,Tyler Herro
Paolo Banchero,PF,20.0,Paolo Banchero
Louis King,PF,23.0,Louis King
Jamal Murray,PG,25.0,Jamal Murray
Cade Cunningham,PG,21.0,Cade Cunningham
RJ Barrett,SG,22.0,RJ Barrett
Jrue Holiday,PG,32.0,Jrue Holiday
Fred VanVleet,PG,28.0,Fred VanVleet
Kevin Porter Jr.,PG,22.0,Kevin Porter Jr.
Domantas Sabonis,C,26.0,Domantas Sabonis
Jaren Jackson Jr.,C,23.0,Jaren Jackson Jr
Franz Wagner,SF,21.0,Franz Wagner
Devin Vassell,SG,22.0,Devin Vassell
Deandre Ayton,C,24.0,Deandre Ayton
Myles Turner,C,26.0,Myles Turner
D'Angelo Russell,PG,26.0,D'Angelo Russell
Nikola Vučević,C,32.0,Nikola Vucevic
Michael Porter Jr.,SF,24.0,Michael Porter Jr
Gary Trent Jr.,SG,24.0,Gary Trent Jr
Spencer Dinwiddie,SG,29.0,Spencer Dinwiddie
Andrew Wiggins,SF,27.0,Andrew Wiggins
Norman Powell,SG,29.0,Norman Powell
OG Anunoby,SF,25.0,OG Anunoby
Buddy Hield,SF,30.0,Buddy Hield
Bennedict Mathurin,SG,20.0,Bennedict Mathurin
Josh Giddey,PF,20.0,Josh Giddey
Christian Wood,C,27.0,Christian Wood
Aaron Gordon,PF,27.0,Aaron Gordon
Jaden Ivey,SG,20.0,Jaden Ivey
Evan Mobley,PF,21.0,Evan Mobley
RaiQuan Gray,PF,23.0,RaiQuan Gray
Brook Lopez,C,34.0,Brook Lopez
Russell Westbrook,PG,34.0,Russell Westbrook
P.J. Washington,PF,24.0,P.J. Washington
Cameron Johnson,PF,26.0,Cameron Johnson
De'Andre Hunter,SF,25.0,De'Andre Hunter
Scottie Barnes,SF,21.0,Scottie Barnes
Skylar Mays,PG,25.0,Skylar Mays
Wendell Carter Jr.,C,23.0,Wendell Carter Jr.
Kevin Huerter,SG,24.0,Kevin Huerter
Khris Middleton,SF,31.0,Khris Middleton
Harrison Barnes,PF,30.0,Harrison Barnes
Malcolm Brogdon,PG,30.0,Malcolm Brogdon
Immanuel Quickley,SG,23.0,Immanuel Quickley
Alperen Şengün,C,20.0,Alperen Sengun
Tobias Harris,SF,30.0,Tobias Harris
Gordon Hayward,SF,32.0,Gordon Hayward
Trey Murphy III,SF,22.0,Trey Murphy III
Tim Hardaway Jr.,SF,30.0,Tim Hardaway Jr
Jarrett Allen,C,24.0,Jarrett Allen
Dillon Brooks,SF,27.0,Dillon Brooks
Collin Sexton,PG,24.0,Collin Sexton
Bobby Portis,PF,27.0,Bobby Portis
Jonas Valančiūnas,C,30.0,Jonas Valanciunas
Jalen Williams,SG,21.0,Jalen Williams
Bogdan Bogdanović,SG,30.0,Bogdan Bogdanovic
Markelle Fultz,PG,24.0,Markelle Fultz
Chris Paul,PG,37.0,Chris Paul
Saddiq Bey,SF,23.0,Saddiq Bey
Luguentz Dort,SF,23.0,Luguentz Dort
Malik Monk,SG,24.0,Malik Monk
Rudy Gobert,C,30.0,Rudy Gobert
Jusuf Nurkić,C,28.0,Jusuf Nurkic
Kris Dunn,PG,28.0,Kris Dunn
John Collins,PF,25.0,John Collins
Cole Anthony,PG,22.0,Cole Anthony
Austin Reaves,SG,24.0,Austin Reaves
Tre Jones,PG,23.0,Tre Jones
Alec Burks,SG,31.0,Alec Burks
Jabari Smith Jr.,PF,19.0,Jabari Smith Jr
Malik Beasley,SG,26.0,Malik Beasley
KJ Martin,SF,22.0,KJ Martin
Nic Claxton,C,23.0,Nicolas Claxton
Dennis Schröder,PG,29.0,Dennis Schroder
Jakob Poeltl,C,27.0,Jakob Poeltl
Mac McClung,SG,24.0,Mac McClung
Kelly Olynyk,C,31.0,Kelly Olynyk
Eric Gordon,SG,34.0,Eric Gordon
Derrick White,SG,28.0,Derrick White
Keegan Murray,SF,22.0,Keegan Murray
Caris LeVert,SG,28.0,Caris LeVert
Jaden McDaniels,SF,22.0,Jaden McDaniels
Marvin Bagley III,C,23.0,Marvin Bagley III
Clint Capela,C,28.0,Clint Capela
Mike Conley,PG,35.0,Mike Conley
Bones Hyland,PG,22.0,Bones Hyland
Lonnie Walker IV,SG,24.0,Lonnie Walker IV
Zach Collins,C,25.0,Zach Collins
Bruce Brown,SF,26.0,Bruce Brown
Naz Reid,C,23.0,Naz Reid
Marcus Smart,PG,28.0,Marcus Smart
Max Strus,SF,26.0,Max Strus
John Wall,PG,32.0,John Wall
Quentin Grimes,SG,22.0,Quentin Grimes
Isaiah Stewart,C,21.0,Isaiah Stewart II
Rui Hachimura,PF,24.0,Rui Hachimura
Kyle Lowry,PG,36.0,Kyle Lowry
Marcus Morris,PF,33.0,Marcus Morris Sr.
Corey Kispert,SF,23.0,Corey Kispert
Jeremy Sochan,PF,19.0,Jeremy Sochan
Mason Plumlee,C,32.0,Mason Plumlee
Kentavious Caldwell-Pope,SG,29.0,Kentavious Caldwell-Pope
Jaylen Nowell,SG,23.0,Jaylen Nowell
Ivica Zubac,C,25.0,Ivica Zubac
Talen Horton-Tucker,SG,22.0,Talen Horton-Tucker
Victor Oladipo,SG,30.0,Victor Oladipo
Cam Thomas,SG,21.0,Cam Thomas
Nate Williams,SG,23.0,Nate Williams
Moritz Wagner,C,25.0,Moritz Wagner
Grayson Allen,SG,27.0,Grayson Allen
Killian Hayes,PG,21.0,Killian Hayes
Tyus Jones,PG,26.0,Tyus Jones
Monte Morris,PG,27.0,Monte Morris
Cameron Payne,PG,28.0,Cameron Payne
Reggie Jackson,PG,32.0,Reggie Jackson
Malaki Branham,SG,19.0,Malaki Branham
Doug McDermott,SF,31.0,Doug McDermott
Patrick Williams,PF,21.0,Patrick Williams
Josh Richardson,SG,29.0,Josh Richardson
De'Anthony Melton,SG,24.0,De'Anthony Melton
Aaron Nesmith,SF,23.0,Aaron Nesmith
James Wiseman,C,21.0,James Wiseman
Brandon Clarke,PF,26.0,Brandon Clarke
Jonathan Kuminga,PF,20.0,Jonathan Kuminga
Onyeka Okongwu,C,22.0,Onyeka Okongwu
Luka Šamanić,PF,23.0,Luka Samanic
Shaedon Sharpe,SG,19.0,Shaedon Sharpe
Jalen Suggs,SG,21.0,Jalen Suggs
Thomas Bryant,C,25.0,Thomas Bryant
Josh Hart,SF,27.0,Josh Hart
Al Horford,C,36.0,Al Horford
Herbert Jones,PF,24.0,Herbert Jones
Julian Champagnie,SF,21.0,Julian Champagnie
Cam Reddish,SF,23.0,Cam Reddish
Keita Bates-Diop,PF,27.0,Keita Bates-Diop
Coby White,SG,22.0,Coby White
Caleb Martin,SF,27.0,Caleb Martin
Isaiah Joe,SG,23.0,Isaiah Joe
Andrew Nembhard,SG,23.0,Andrew Nembhard
Jalen McDaniels,SF,25.0,Jalen McDaniels
Kyle Anderson,PF,29.0,Kyle Anderson
Chris Boucher,PF,30.0,Chris Boucher
Donte DiVincenzo,SG,26.0,Donte DiVincenzo
Jalen Smith,C,22.0,Jalen Smith
Gabe Vincent,PG,26.0,Gabe Vincent
Luke Kennard,SG,26.0,Luke Kennard
Hamidou Diallo,SF,24.0,Hamidou Diallo
Tari Eason,PF,21.0,Tari Eason
Precious Achiuwa,C,23.0,Precious Achiuwa
Deni Avdija,SF,22.0,Deni Avdija
Seth Curry,SG,32.0,Seth Curry
Walker Kessler,C,21.0,Walker Kessler
Bol Bol,PF,23.0,Bol Bol
Jalen Duren,C,19.0,Jalen Duren
Josh Green,SG,22.0,Josh Green
Naji Marshall,SF,25.0,Naji Marshall
Taurean Prince,PF,28.0,Taurean Prince
Jae'Sean Tate,SF,27.0,Jae'Sean Tate
Santi Aldama,PF,22.0,Santi Aldama
Jose Alvarado,PG,24.0,Jose Alvarado
Daniel Gafford,C,24.0,Daniel Gafford
Mark Williams,C,21.0,Mark Williams
AJ Griffin,SF,19.0,AJ Griffin
Jaden Hardy,SG,20.0,Jaden Hardy
Shaquille Harrison,SG,29.0,Shaquille Harrison
Terance Mann,SG,26.0,Terance Mann
Royce O'Neale,SF,29.0,Royce O'Neale
Dennis Smith Jr.,PG,25.0,Dennis Smith Jr.
Jordan Nwora,SF,24.0,Jordan Nwora
T.J. McConnell,PG,30.0,T.J. McConnell
Cedi Osman,SF,27.0,Cedi Osman
Landry Shamet,SG,25.0,Landry Shamet
Steven Adams,C,29.0,Steven Adams
Ayo Dosunmu,SG,23.0,Ayo Dosunmu
Draymond Green,PF,32.0,Draymond Green
Shake Milton,SG,26.0,Shake Milton
Dorian Finney-Smith,PF,29.0,Dorian Finney-Smith
Terrence Ross,SG,31.0,Terrence Ross
Gary Harris,SG,28.0,Gary Harris
Kevin Love,PF,34.0,Kevin Love
Damion Lee,SG,30.0,Damion Lee
Georges Niang,PF,29.0,Georges Niang
Nick Richards,C,25.0,Nick Richards
Aleksej Pokusevski,PF,21.0,Aleksej Pokusevski
Grant Williams,PF,24.0,Grant Williams
Jevon Carter,PG,27.0,Jevon Carter
Kemba Walker,PG,32.0,Kemba Walker
Kenrich Williams,PF,28.0,Kenrich Williams
Robert Williams,C,25.0,Robert Williams
Gabe York,SG,29.0,Gabe York
Jarred Vanderbilt,PF,23.0,Jarred Vanderbilt
Ochai Agbaji,SG,22.0,Ochai Agbaji
Chris Duarte,SF,25.0,Chris Duarte
Duane Washington Jr.,SG,22.0,Duane Washington Jr.
Jeff Green,PF,36.0,Jeff Green
Tre Mann,PG,21.0,Tre Mann
Pat Connaughton,SF,30.0,Pat Connaughton
Joe Harris,SF,31.0,Joe Harris
Trey Lyles,PF,27.0,Trey Lyles
T.J. Warren,PF,29.0,T.J. Warren
Devonte' Graham,PG,27.0,Devonte' Graham
Torrey Craig,PF,32.0,Torrey Craig
Mitchell Robinson,C,24.0,Mitchell Robinson
Obi Toppin,PF,24.0,Obi Toppin
Trendon Watford,PF,22.0,Trendon Watford
Delon Wright,PG,30.0,Delon Wright
Jay Huff,C,24.0,Jay Huff
Josh Okogie,SG,24.0,Josh Okogie
Reggie Bullock,SF,31.0,Reggie Bullock Jr.
Isaiah Jackson,C,21.0,Isaiah Jackson
Kendrick Nunn,SG,27.0,Kendrick Nunn
Troy Brown Jr.,SF,23.0,Troy Brown Jr.
Edmond Sumner,SG,27.0,Edmond Sumner
Lindell Wigginton,PG,24.0,Lindell Wigginton
Eugene Omoruyi,SF,25.0,Eugene Omoruyi
Chance Comanche,C,26.0,Chance Comanche
Kevon Looney,C,26.0,Kevon Looney
Joshua Primo,SG,20.0,Joshua Primo
Daniel Theis,C,30.0,Daniel Theis
Xavier Tillman Sr.,C,24.0,Xavier Tillman
Svi Mykhailiuk,SF,25.0,Svi Mykhailiuk
Jae Crowder,PF,32.0,Jae Crowder
Willy Hernangómez,C,28.0,Willy Hernangomez
Joe Ingles,SF,35.0,Joe Ingles
Ty Jerome,SG,25.0,Ty Jerome
Cory Joseph,PG,31.0,Cory Joseph
Romeo Langford,SG,23.0,Romeo Langford
Ben Simmons,PG,26.0,Ben Simmons
Will Barton,SG,32.0,Will Barton
Larry Nance Jr.,C,30.0,Larry Nance Jr.
Jeremiah Robinson-Earl,PF,22.0,Jeremiah Robinson-Earl
Aaron Wiggins,SG,24.0,Aaron Wiggins
Justise Winslow,PF,26.0,Justise Winslow
Terence Davis,SG,25.0,Terence Davis
Anthony Lamb,SF,25.0,Anthony Lamb
Isaiah Livers,PF,24.0,Isaiah Livers
Théo Maledon,PG,21.0,Theo Maledon
Dwight Powell,C,31.0,Dwight Powell
David Roddy,PF,21.0,David Roddy
Kevin Knox,SF,23.0,Kevin Knox II
Mo Bamba,C,24.0,Mo Bamba
Drew Eubanks,C,25.0,Drew Eubanks
Jordan Goodwin,PG,24.0,Jordan Goodwin
Jock Landale,C,27.0,Jock Landale
Nassir Little,SF,22.0,Nassir Little
Brandon Boston Jr.,SF,21.0,Brandon Boston
Luka Garza,C,24.0,Luka Garza
Jay Scrubb,SG,22.0,Jay Scrubb
Cody Zeller,C,30.0,Cody Zeller
Dario Šarić,C,28.0,Dario Saric
R.J. Hampton,SG,21.0,R.J. Hampton
JaMychal Green,PF,32.0,JaMychal Green
Sam Hauser,SF,25.0,Sam Hauser
Isaac Okoro,SF,22.0,Isaac Okoro
Duncan Robinson,SF,28.0,Duncan Robinson
Goran Dragić,PG,36.0,Goran Dragic
Simone Fontecchio,SF,27.0,Simone Fontecchio
Patrick Beverley,SG,34.0,Patrick Beverley
Nickeil Alexander-Walker,SG,24.0,Nickeil Alexander-Walker
Jared Butler,PG,22.0,Jared Butler
Quenton Jackson,PG,24.0,Quenton Jackson
Patty Mills,PG,34.0,Patty Mills
Sandro Mamukelashvili,C,23.0,Sandro Mamukelashvili
Mike Muscala,C,31.0,Mike Muscala
Nicolas Batum,PF,34.0,Nicolas Batum
Oshae Brissett,PF,24.0,Oshae Brissett
Evan Fournier,SG,30.0,Evan Fournier
Saben Lee,PG,23.0,Saben Lee
Robert Covington,PF,32.0,Robert Covington
Andre Drummond,C,29.0,Andre Drummond
Maxi Kleber,PF,31.0,Maxi Kleber
Jaylin Williams,C,20.0,Jaylin Williams
Josh Christopher,SG,21.0,Josh Christopher
Johnny Davis,SG,20.0,Johnny Davis
Stanley Johnson,SF,26.0,Stanley Johnson
Charles Bassey,C,22.0,Charles Bassey
Rodney McGruder,SG,31.0,Rodney McGruder
Ziaire Williams,SF,21.0,Ziaire Williams
James Bouknight,SG,22.0,James Bouknight
Alex Caruso,PG,28.0,Alex Caruso
Montrezl Harrell,C,29.0,Montrezl Harrell
Jalen Johnson,SF,21.0,Jalen Johnson
Davion Mitchell,PG,24.0,Davion Mitchell
Payton Pritchard,PG,25.0,Payton Pritchard
Derrick Rose,PG,34.0,Derrick Rose
Yuta Watanabe,SF,28.0,Yuta Watanabe
Danny Green,SG,35.0,Danny Green
Jarrell Brantley,PF,26.0,Jarrell Brantley
Wenyen Gabriel,C,25.0,Wenyen Gabriel
Nikola Jović,PF,19.0,Nikola Jovic
Otto Porter Jr.,SF,29.0,Otto Porter Jr.
Jamal Cain,PF,23.0,Jamal Cain
Bryce McGowens,SG,20.0,Bryce McGowens
Lamar Stevens,SF,25.0,Lamar Stevens
Dewayne Dedmon,C,33.0,Dewayne Dedmon
Darius Bazley,C,22.0,Darius Bazley
Rudy Gay,PF,36.0,Rudy Gay
Javonte Green,SF,29.0,Javonte Green
Zeke Nnaji,PF,22.0,Zeke Nnaji
Ricky Rubio,PG,32.0,Ricky Rubio
Lindy Waters III,SG,25.0,Lindy Waters III
MarJon Beauchamp,SF,22.0,MarJon Beauchamp
DeAndre Jordan,C,34.0,DeAndre Jordan
John Konchar,SF,26.0,John Konchar
George Hill,SG,36.0,George Hill
Vlatko Čančar,PF,25.0,Vlatko Cancar
Isaiah Hartenstein,C,24.0,Isaiah Hartenstein
Jaxson Hayes,C,22.0,Jaxson Hayes
Jonathan Isaac,PF,25.0,Jonathan Isaac
Derrick Jones Jr.,PF,25.0,Derrick Jones Jr.
Kenneth Lofton Jr.,PF,20.0,Kenneth Lofton Jr.
Cody Martin,SF,27.0,Cody Martin
Sam Merrill,SG,26.0,Sam Merrill
Blake Wesley,SG,19.0,Blake Wesley
Ousmane Dieng,PF,19.0,Ousmane Dieng
Chimezie Metu,PF,25.0,Chimezie Metu
Austin Rivers,SG,30.0,Austin Rivers
Danuel House Jr.,SF,29.0,Danuel House Jr.
Johnny Juzang,SG,21.0,Johnny Juzang
Meyers Leonard,C,30.0,Meyers Leonard
Garrison Mathews,SG,26.0,Garrison Mathews
Moses Moody,SG,20.0,Moses Moody
Christian Braun,SG,21.0,Christian Braun
Keon Johnson,SG,20.0,Keon Johnson
Chuma Okeke,SF,24.0,Chuma Okeke
Day'Ron Sharpe,C,21.0,Day'Ron Sharpe
Dean Wade,PF,26.0,Dean Wade
TyTy Washington Jr.,PG,21.0,TyTy Washington Jr.
Gary Payton II,SG,30.0,Gary Payton II
Dalano Banton,PG,23.0,Dalano Banton
Dāvis Bertāns,PF,30.0,Davis Bertans
Malachi Flynn,PG,24.0,Malachi Flynn
Kira Lewis Jr.,PG,21.0,Kira Lewis Jr.
Justin Holiday,SF,33.0,Justin Holiday
Goga Bitadze,C,23.0,Goga Bitadze
Jarrett Culver,SF,23.0,Jarrett Culver
A.J. Green,SG,23.0,AJ Green
Haywood Highsmith,PF,26.0,Haywood Highsmith
JaVale McGee,C,35.0,JaVale McGee
Thaddeus Young,PF,34.0,Thaddeus Young
Omer Yurtseven,C,24.0,Omer Yurtseven
Moses Brown,C,23.0,Moses Brown
Bismack Biyombo,C,30.0,Bismack Biyombo
Michael Carter-Williams,PG,31.0,Michael Carter-Williams
Justin Minaya,SF,23.0,Justin Minaya
Xavier Sneed,SF,25.0,Xavier Sneed
Paul Reed,C,23.0,Paul Reed
Admiral Schofield,PF,25.0,Admiral Schofield
Ish Wainright,SF,28.0,Ish Wainright
McKinley Wright IV,PG,24.0,McKinley Wright IV
Matisse Thybulle,SG,25.0,Matisse Thybulle
Blake Griffin,C,33.0,Blake Griffin
Kevon Harris,SG,25.0,Kevon Harris
Serge Ibaka,C,33.0,Serge Ibaka
Isaiah Roby,PF,24.0,Isaiah Roby
Daishen Nix,PG,20.0,Daishen Nix
Olivier Sarr,C,23.0,Olivier Sarr
Bruno Fernando,C,24.0,Bruno Fernando
Patrick Baldwin Jr.,SF,20.0,Patrick Baldwin Jr.
Dominick Barlow,PF,19.0,Dominick Barlow
Gorgui Dieng,C,33.0,Gorgui Dieng
Udonis Haslem,C,42.0,Udonis Haslem
Aaron Holiday,PG,26.0,Aaron Holiday
Jabari Walker,PF,20.0,Jabari Walker
Markieff Morris,PF,33.0,Markieff Morris
Xavier Cooks,PF,27.0,Xavier Cooks
Dyson Daniels,PG,19.0,Dyson Daniels
Darius Days,SF,23.0,Darius Days
Caleb Houstan,SF,20.0,Caleb Houstan
Furkan Korkmaz,SG,25.0,Furkan Korkmaz
Luke Kornet,C,27.0,Luke Kornet
JT Thor,PF,20.0,JT Thor
A.J. Lawson,SG,22.0,A.J. Lawson
David Duke Jr.,SG,23.0,David Duke Jr.
Nathan Knight,C,25.0,Nathan Knight
Jordan McLaughlin,PG,26.0,Jordan McLaughlin
Orlando Robinson,C,22.0,Orlando Robinson
Matt Ryan,SF,25.0,Matt Ryan
Bryn Forbes,SG,29.0,Bryn Forbes
Damian Jones,C,27.0,Damian Jones
Udoka Azubuike,C,23.0,Udoka Azubuike
Miles McBride,PG,22.0,Miles McBride
P.J. Tucker,PF,37.0,P.J. Tucker
Amir Coffey,SF,25.0,Amir Coffey
Taj Gibson,C,37.0,Taj Gibson
Kai Jones,C,22.0,Kai Jones
Wesley Matthews,SF,36.0,Wesley Matthews
Micah Potter,PF,24.0,Micah Potter
Jericho Sims,C,24.0,Jericho Sims
Anthony Gill,PF,30.0,Anthony Gill
Boban Marjanović,C,34.0,Boban Marjanovic
Raul Neto,PG,30.0,Raul Neto
Peyton Watson,SG,20.0,Peyton Watson
Jared Rhoden,SG,23.0,Jared Rhoden
Max Christie,SG,19.0,Max Christie
Jordan Hall,SF,21.0,Jordan Hall
Richaun Holmes,C,29.0,Richaun Holmes
Christian Koloko,C,22.0,Christian Koloko
Josh Minott,SF,20.0,Josh Minott
Jamaree Bouyea,PG,23.0,Jamaree Bouyea
Juan Toscano-Anderson,SF,29.0,Juan Toscano-Anderson
Tyler Dorsey,SF,26.0,Tyler Dorsey
Usman Garuba,C,20.0,Usman Garuba
Jacob Gilyard,PG,24.0,Jacob Gilyard
Jake LaRavia,PF,21.0,Jake LaRavia
Robin Lopez,C,34.0,Robin Lopez
Trevelin Queen,SG,25.0,Trevelin Queen
Terry Taylor,PF,23.0,Terry Taylor
Dru Smith,SG,25.0,Dru Smith
Juancho Hernangómez,PF,27.0,Juancho Hernangomez
Carlik Jones,PG,25.0,Carlik Jones
Frank Ntilikina,SG,24.0,Frank Ntilikina
Jason Preston,PG,23.0,Jason Preston
Kessler Edwards,SF,22.0,Kessler Edwards
James Johnson,PF,35.0,James Johnson
Moussa Diabaté,C,21.0,Moussa Diabate
Mamadi Diakite,C,26.0,Mamadi Diakite
Isaiah Mobley,PF,23.0,Isaiah Mobley
Jaden Springer,SG,20.0,Jaden Springer
Frank Kaminsky,C,29.0,Frank Kaminsky
Lester Quiñones,SG,22.0,Lester Quinones
Ish Smith,PG,34.0,Ish Smith
John Butler,C,20.0,John Butler Jr.
Jeff Dowtin Jr.,PG,25.0,Jeff Dowtin Jr.
Theo Pinson,SG,27.0,Theo Pinson
Neemias Queta,C,23.0,Neemias Queta
Trent Forrest,SG,24.0,Trent Forrest
Scotty Pippen Jr.,PG,22.0,Scotty Pippen Jr.
Justin Champagnie,SF,21.0,Justin Champagnie
Khem Birch,C,30.0,Khem Birch
Kennedy Chandler,PG,20.0,Kennedy Chandler
Ron Harper Jr.,PF,22.0,Ron Harper Jr.
Dalen Terry,SG,20.0,Dalen Terry
Nerlens Noel,C,28.0,Nerlens Noel
Davon Reed,SG,27.0,Davon Reed
Andre Iguodala,PF,39.0,Andre Iguodala
Chris Silva,PF,26.0,Chris Silva
Garrett Temple,SG,36.0,Garrett Temple
Stanley Umude,SG,23.0,Stanley Umude
Donovan Williams,SG,21.0,Donovan Williams
Vince Williams Jr.,SG,22.0,Vince Williams Jr.
Ryan Rollins,PG,20.0,Ryan Rollins
Greg Brown III,PF,21.0,Greg Brown III
Trevor Hudgins,PG,23.0,Trevor Hudgins
Alize Johnson,PF,26.0,Alize Johnson
Xavier Moon,SG,28.0,Xavier Moon
Alex Len,C,29.0,Alex Len
Dylan Windler,SF,26.0,Dylan Windler
Buddy Boeheim,SF,23.0,Buddy Boeheim
Tony Bradley,C,25.0,Tony Bradley
JD Davison,SG,20.0,JD Davison
Kendall Brown,SG,19.0,Kendall Brown
Matthew Dellavedova,PG,32.0,Matthew Dellavedova
Keon Ellis,SG,23.0,Keon Ellis
Mfiondu Kabengele,PF,25.0,Mfiondu Kabengele
Jordan Schakel,SF,24.0,Jordan Schakel
Isaiah Todd,PF,21.0,Isaiah Todd
Thanasis Antetokounmpo,PF,30.0,Thanasis Antetokounmpo
PJ Dozier,SF,26.0,PJ Dozier
Wendell Moore Jr.,SG,21.0,Wendell Moore Jr.
Ryan Arcidiacono,PG,28.0,Ryan Arcidiacono
Facundo Campazzo,PG,31.0,Facundo Campazzo
Braxton Key,SF,25.0,Braxton Key
Tyrese Martin,SG,23.0,Tyrese Martin
KZ Okpala,PF,23.0,KZ Okpala
Cole Swider,SF,23.0,Cole Swider
Vít Krejčí,PG,22.0,Vit Krejci
Jack White,SF,25.0,Jack White
Noah Vonleh,C,27.0,Noah Vonleh
Malcolm Hill,SF,27.0,Malcolm Hill
Trevor Keels,SG,19.0,Trevor Keels
Chima Moneke,SF,27.0,Chima Moneke
Kobi Simmons,SG,25.0,Kobi Simmons
Joe Wieskamp,SF,23.0,Joe Wieskamp
Justin Jackson,SF,27.0,Justin Jackson
Marko Simonovic,C,23.0,Marko Simonovic
Dereon Seabron,SG,22.0,Dereon Seabron
Vernon Carey Jr.,C,21.0,Vernon Carey Jr.
Devon Dotson,PG,23.0,Devon Dotson
Leandro Bolmaro,SF,22.0,Leandro Bolmaro
Sterling Brown,SF,27.0,Sterling Brown
Deonte Burton,PF,29.0,Deonte Burton
Michael Foster Jr.,PF,20.0,Michael Foster Jr.
Frank Jackson,PG,24.0,Frank Jackson
Alondes Williams,SG,23.0,Alondes Williams
League Average,,,League Average
