BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
Underdog,player_points_rebounds_assists,Allisha Gray,Over,24.5,-137,2026-07-19,2026-07-19T07:59:44Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Allisha Gray,Under,24.5,-137,2026-07-19,2026-07-19T07:59:44Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Azura Stevens,Over,21.5,-137,2026-07-19,2026-07-19T07:59:44Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Azura Stevens,Under,21.5,-137,2026-07-19,2026-07-19T07:59:44Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Natasha Cloud,Over,20.5,-137,2026-07-19,2026-07-19T07:59:44Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Natasha Cloud,Under,20.5,-137,2026-07-19,2026-07-19T07:59:44Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Alyssa Thomas,Over,29.5,-137,2026-07-19,2026-07-19T07:59:51Z,2026-07-19 01:00:32
Underdog,player_points_rebounds_assists,Alyssa Thomas,Under,29.5,-137,2026-07-19,2026-07-19T07:59:51Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Dearica Hamby,Over,25.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Dearica Hamby,Under,25.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Arike Ogunbowale,Over,18.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Arike Ogunbowale,Under,18.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Nneka Ogwumike,Over,30.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Nneka Ogwumike,Under,30.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Paige Bueckers,Over,34.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
DraftKings Pick6,player_points_rebounds_assists,Paige Bueckers,Under,34.5,-137,2026-07-19,2026-07-19T07:59:43Z,2026-07-19 01:00:32
