BOOKMAKER,CATEGORY,NAME,OVER_UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,DATA_PULLED_AT
DraftKings,player_points,Leïla Lacan,Under,20.5,-135,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Brittney Griner,Over,19.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Brittney Griner,Under,19.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Alyssa Thomas,Over,13.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Alyssa Thomas,Under,13.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Diamond Miller,Over,9.5,100,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Diamond Miller,Under,9.5,-135,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Olivia Nelson-Ododa,Over,7.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Olivia Nelson-Ododa,Under,7.5,-125,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Charlisse Leger-Walker,Over,6.5,-110,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Charlisse Leger-Walker,Under,6.5,-120,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,DeWanna Bonner,Over,6.5,-105,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,DeWanna Bonner,Under,6.5,-130,2026-07-18,2026-07-18T02:48:10Z,2026-07-17 19:49:15
DraftKings,player_points,Breanna Stewart,Over,19.5,-128,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Breanna Stewart,Under,19.5,-104,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Sabrina Ionescu,Over,16.5,-111,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Sabrina Ionescu,Under,16.5,-119,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Jonquel Jones,Over,13.5,-120,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Jonquel Jones,Under,13.5,-111,2026-07-19,2026-07-18T02:48:48Z,2026-07-17 19:49:15
DraftKings,player_points,Olivia Miles,Over,18.5,-117,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Olivia Miles,Under,18.5,-113,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Kayla McBride,Over,17.5,-113,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Kayla McBride,Under,17.5,-118,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Natasha Howard,Over,16.5,-104,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Natasha Howard,Under,16.5,-128,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Courtney Williams,Over,15.5,-120,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Courtney Williams,Under,15.5,-111,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Carla Leite,Over,14.5,-122,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Carla Leite,Under,14.5,-109,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Bridget Carleton,Over,12.5,-117,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Bridget Carleton,Under,12.5,-114,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Emily Engstler,Over,10.5,-101,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Emily Engstler,Under,10.5,-131,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Sarah Ashlee Barker,Over,9.5,-107,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Sarah Ashlee Barker,Under,9.5,-124,2026-07-19,2026-07-18T02:49:15Z,2026-07-17 19:49:15
DraftKings,player_points,Sonia Citron,Over,14.5,-116,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Sonia Citron,Under,14.5,-114,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Gabby Williams,Over,13.5,-108,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Gabby Williams,Under,13.5,-123,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Kiki Iriafen,Over,13.5,-103,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Kiki Iriafen,Under,13.5,-129,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Shakira Austin,Over,13.5,-103,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Shakira Austin,Under,13.5,-129,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Janelle Salaun,Over,11.5,-121,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Janelle Salaun,Under,11.5,-109,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Veronica Burton,Over,11.5,-101,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Veronica Burton,Under,11.5,-131,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Kayla Thornton,Over,7.5,-121,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Kayla Thornton,Under,7.5,-110,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Michaela Onyenwere,Over,7.5,-119,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Michaela Onyenwere,Under,7.5,-112,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Georgia Amoore,Over,5.5,-120,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
DraftKings,player_points,Georgia Amoore,Under,5.5,-111,2026-07-19,2026-07-18T02:49:03Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Alyssa Thomas,Over,8.5,-125,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Alyssa Thomas,Under,8.5,-106,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Brittney Griner,Over,5.5,-106,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Brittney Griner,Under,5.5,-125,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,DeWanna Bonner,Over,5.5,102,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,DeWanna Bonner,Under,5.5,-136,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Olivia Nelson-Ododa,Over,7.5,126,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Olivia Nelson-Ododa,Under,7.5,-168,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Kahleah Copper,Over,1.5,-178,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Kahleah Copper,Under,1.5,132,2026-07-18,2026-07-18T02:48:41Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Jonquel Jones,Over,9.5,110,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Jonquel Jones,Under,9.5,-146,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Sabrina Ionescu,Over,3.5,-120,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Sabrina Ionescu,Under,3.5,-110,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Breanna Stewart,Over,7.5,-114,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Breanna Stewart,Under,7.5,-114,2026-07-19,2026-07-18T02:49:06Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Kayla McBride,Over,3.5,116,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Kayla McBride,Under,3.5,-154,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Bridget Carleton,Over,3.5,134,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Bridget Carleton,Under,3.5,-180,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Olivia Miles,Over,4.5,132,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Olivia Miles,Under,4.5,-178,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Carla Leite,Over,2.5,138,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Carla Leite,Under,2.5,-186,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Emily Engstler,Over,5.5,-146,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Emily Engstler,Under,5.5,110,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Sarah Ashlee Barker,Over,4.5,-146,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Sarah Ashlee Barker,Under,4.5,110,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Natasha Howard,Over,7.5,-140,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Natasha Howard,Under,7.5,106,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
FanDuel,player_rebounds,Courtney Williams,Over,5.5,106,2026-07-19,2026-07-18T02:49:13Z,2026-07-17 19:49:15
