,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,FAIR ODDS,SIM PROB,EV,KELLY CRITERION
37,Isaiah Hartenstein,BetMGM,player_points_rebounds_assists,13.5,Over,-120,-114,0.767,40.69,0.7646
38,Andrew Nembhard,BetRivers,player_threes,1.5,Over,160,170,0.54,40.48,0.5374
39,Aaron Nesmith,Bovada,player_points,12.5,Over,160,190,0.54,40.32,0.5368
40,Isaiah Hartenstein,BetMGM,player_points_assists,7.5,Over,-110,104,0.734,40.15,0.7312
41,Myles Turner,Bovada,player_points_assists,13.5,Over,105,107,0.683,40.12,0.6805
42,Andrew Nembhard,DraftKings,player_threes,1.5,Over,154,170,0.55,39.82,0.5475
43,Tyrese Haliburton,BetRivers,player_rebounds_assists,11.5,Over,-113,115,0.742,39.81,0.7388
44,Tyrese Haliburton,BetRivers,player_rebounds,4.5,Over,110,131,0.665,39.64,0.6619
45,Alex Caruso,BetRivers,player_rebounds,3.5,Under,105,120,0.681,39.54,0.6776
46,Cason Wallace,BetRivers,player_points_assists,5.5,Over,-125,-114,0.775,39.47,0.772
47,Isaiah Hartenstein,BetMGM,player_points_rebounds,11.5,Over,-130,-113,0.788,39.36,0.7849
48,Tyrese Haliburton,DraftKings,player_rebounds,4.5,Over,110,131,0.662,39.07,0.6591
49,Isaiah Hartenstein,Bovada,player_points_assists,7.5,Over,-110,104,0.728,39.02,0.7252
50,Cason Wallace,BetOnline.ag,player_points_rebounds_assists,8.5,Over,-102,114,0.702,38.93,0.6985
51,Aaron Nesmith,Bovada,player_points_rebounds_assists,16.5,Over,100,113,0.693,38.68,0.6903
52,Andrew Nembhard,DraftKings,player_threes,1.5,Over,154,170,0.545,38.41,0.542
53,Andrew Nembhard,DraftKings,player_steals,1.5,Over,175,217,0.503,38.39,0.5004
54,Cason Wallace,BetRivers,player_points_rebounds_assists,7.5,Over,-132,-115,0.786,38.23,0.7836
55,Isaiah Hartenstein,BetOnline.ag,player_points,5.5,Over,-114,101,0.736,38.22,0.7333
56,Cason Wallace,DraftKings,player_points_rebounds_assists,7.5,Over,-135,-115,0.793,38.02,0.7901
57,Isaiah Hartenstein,BetMGM,player_rebounds,6.5,Over,105,118,0.673,37.92,0.6697
58,Isaiah Hartenstein,FanDuel,player_points_rebounds,11.5,Over,-132,-113,0.785,37.89,0.7817
59,Isaiah Hartenstein,Bovada,player_rebounds,6.5,Over,105,118,0.672,37.84,0.6693
60,Isaiah Hartenstein,BetRivers,player_points_rebounds_assists,13.5,Over,-124,-114,0.762,37.64,0.759
61,Cason Wallace,FanDuel,player_points_assists,5.5,Over,-130,-114,0.778,37.61,0.7749
62,Alex Caruso,BetOnline.ag,player_rebounds,3.5,Under,105,120,0.671,37.52,0.6677
63,Isaiah Hartenstein,Bovada,player_points_rebounds,11.5,Over,-135,-113,0.79,37.46,0.7868
64,Cason Wallace,BetMGM,player_points_rebounds_assists,8.5,Over,-105,114,0.703,37.32,0.7002
65,Tyrese Haliburton,BetMGM,player_rebounds,4.5,Over,105,131,0.669,37.16,0.6659
66,Isaiah Hartenstein,DraftKings,player_points_rebounds_assists,14.5,Over,-110,111,0.718,37.14,0.7153
67,Cason Wallace,DraftKings,player_threes,0.5,Over,114,121,0.64,37.06,0.6373
68,Alex Caruso,FanDuel,player_threes,1.5,Over,146,163,0.557,37.02,0.5539
69,Ben Sheppard,BetOnline.ag,player_threes,0.5,Over,118,137,0.628,37.01,0.6253
70,Isaiah Hartenstein,BetMGM,player_points,5.5,Over,-118,101,0.741,36.84,0.7377
71,Myles Turner,FanDuel,player_points_assists,13.5,Over,-102,107,0.69,36.66,0.6869
72,Tyrese Haliburton,Bovada,player_points_assists,22.5,Over,105,108,0.666,36.61,0.6632
73,Isaiah Hartenstein,FanDuel,player_points_rebounds_assists,13.5,Over,-130,-114,0.77,36.17,0.7666
74,Cason Wallace,DraftKings,player_threes,0.5,Over,114,121,0.636,36.07,0.6327
75,Isaiah Hartenstein,FanDuel,player_rebounds,6.5,Over,104,118,0.667,36.04,0.6637
76,Pascal Siakam,Bovada,player_rebounds,6.5,Under,140,160,0.567,35.99,0.5635
77,Aaron Nesmith,BetOnline.ag,player_points_rebounds_assists,16.5,Over,-102,113,0.687,35.99,0.6835
78,Ben Sheppard,BetOnline.ag,player_threes,0.5,Over,118,137,0.624,35.93,0.6203
79,Myles Turner,FanDuel,player_points,12.5,Over,102,107,0.673,35.88,0.6695
80,Ben Sheppard,DraftKings,player_threes,0.5,Over,114,137,0.635,35.85,0.6316
81,Aaron Nesmith,Bovada,player_points,11.5,Over,120,141,0.617,35.84,0.6143
82,Isaiah Hartenstein,BetRivers,player_rebounds,6.5,Over,102,118,0.672,35.73,0.6687
83,Alex Caruso,FanDuel,player_threes,1.5,Over,146,163,0.552,35.7,0.5485
84,Pascal Siakam,Bovada,player_rebounds,7.5,Under,-125,-117,0.754,35.69,0.7507
85,Aaron Nesmith,BetMGM,player_points_rebounds,15.5,Over,-105,109,0.694,35.54,0.691
86,Isaiah Hartenstein,BetOnline.ag,player_rebounds,6.5,Over,104,118,0.664,35.44,0.6607
87,Alex Caruso,DraftKings,player_threes,1.5,Over,145,163,0.552,35.19,0.5487
88,Cason Wallace,Bovada,player_points_assists,5.5,Over,-135,-114,0.776,35.16,0.7734
89,Bennedict Mathurin,Bovada,player_points,8.5,Over,120,141,0.614,35.1,0.6109
90,Alex Caruso,BetMGM,player_rebounds,3.5,Under,100,120,0.675,35.06,0.6721
91,Cason Wallace,BetOnline.ag,player_threes,0.5,Over,109,121,0.646,35.05,0.6429
92,Andrew Nembhard,FanDuel,player_threes,1.5,Over,148,170,0.544,35.0,0.5413
93,Cason Wallace,FanDuel,player_rebounds,2.5,Over,140,156,0.562,35.0,0.5594
94,Aaron Nesmith,DraftKings,player_points_rebounds_assists,16.5,Over,-105,113,0.691,34.91,0.6877
95,Andrew Nembhard,BetOnline.ag,player_threes,1.5,Over,146,170,0.548,34.76,0.5447
96,Aaron Nesmith,BetRivers,player_points_rebounds,15.5,Over,-106,109,0.693,34.67,0.6897
97,Aaron Nesmith,DraftKings,player_blocks,0.5,Over,124,133,0.601,34.6,0.5977
98,Andrew Nembhard,FanDuel,player_threes,1.5,Over,148,170,0.542,34.45,0.539
99,Alex Caruso,BetRivers,player_threes,1.5,Over,143,163,0.553,34.3,0.5495
100,Isaiah Hartenstein,DraftKings,player_points_assists,7.5,Over,-120,104,0.732,34.25,0.729
101,Isaiah Hartenstein,DraftKings,player_rebounds,6.5,Over,100,118,0.671,34.24,0.6679
102,Andrew Nembhard,BetOnline.ag,player_threes,1.5,Over,146,170,0.546,34.23,0.5425
103,Alex Caruso,DraftKings,player_rebounds,3.5,Under,100,120,0.671,34.12,0.6673
104,Isaiah Hartenstein,Bovada,player_rebounds_assists,8.5,Over,110,117,0.638,34.02,0.6349
105,Tyrese Haliburton,Bovada,player_points,17.5,Over,160,190,0.515,34.02,0.5124
106,Obi Toppin,Bovada,player_rebounds,4.5,Under,115,123,0.623,33.99,0.6199
107,Aaron Nesmith,BetMGM,player_points_rebounds_assists,16.5,Over,-105,113,0.685,33.81,0.6821
108,Aaron Nesmith,DraftKings,player_points_rebounds,15.5,Over,-110,109,0.701,33.79,0.6975
109,Ben Sheppard,DraftKings,player_threes,0.5,Over,114,137,0.625,33.69,0.6214
110,Bennedict Mathurin,FanDuel,player_points,7.5,Over,102,107,0.662,33.67,0.6584
111,Aaron Nesmith,BetMGM,player_points_assists,11.5,Over,100,111,0.668,33.65,0.6649
112,Cason Wallace,BetOnline.ag,player_threes,0.5,Over,109,121,0.639,33.63,0.6361
113,Tyrese Haliburton,BetMGM,player_assists,6.5,Over,-140,-124,0.779,33.6,0.7762
114,Aaron Nesmith,FanDuel,player_points_rebounds,14.5,Over,-125,-113,0.741,33.38,0.7378
115,Tyrese Haliburton,BetOnline.ag,player_assists,6.5,Over,-141,-124,0.78,33.34,0.777
116,Pascal Siakam,FanDuel,player_threes,1.5,Over,162,179,0.509,33.27,0.5056
117,Pascal Siakam,BetRivers,player_threes,1.5,Over,160,179,0.512,33.11,0.5089
118,Tyrese Haliburton,DraftKings,player_assists,6.5,Over,-140,-124,0.776,33.06,0.7731
119,Cason Wallace,BetOnline.ag,player_rebounds,2.5,Over,136,156,0.563,32.88,0.5598
120,Tyrese Haliburton,FanDuel,player_points_rebounds_assists,26.5,Over,-114,-108,0.708,32.82,0.7042
121,Pascal Siakam,BetMGM,player_rebounds,7.5,Under,-130,-117,0.75,32.77,0.7472
122,Cason Wallace,DraftKings,player_rebounds,2.5,Over,135,156,0.565,32.75,0.5617
123,Alex Caruso,BetOnline.ag,player_threes,1.5,Over,141,163,0.55,32.56,0.5468
124,Tyrese Haliburton,FanDuel,player_assists,6.5,Over,-144,-124,0.782,32.5,0.7788
125,Alex Caruso,DraftKings,player_threes,1.5,Over,145,163,0.541,32.5,0.5377
126,Alex Caruso,Bovada,player_threes,1.5,Over,140,163,0.552,32.45,0.5487
127,Aaron Nesmith,Bovada,player_rebounds,5.5,Over,145,167,0.541,32.45,0.5375
128,Aaron Nesmith,FanDuel,player_points,10.5,Over,-102,108,0.668,32.37,0.665
129,Pascal Siakam,BetMGM,player_rebounds_assists,10.5,Under,110,117,0.63,32.35,0.6269
130,Pascal Siakam,FanDuel,player_threes,1.5,Over,162,179,0.505,32.33,0.502
131,Pascal Siakam,DraftKings,player_turnovers,1.5,Under,140,160,0.551,32.31,0.5481
132,Tyrese Haliburton,DraftKings,player_points_rebounds_assists,26.5,Over,-115,-108,0.707,32.15,0.7035
133,Alex Caruso,BetRivers,player_threes,1.5,Over,143,163,0.544,32.14,0.5406
134,Cason Wallace,BetMGM,player_rebounds,2.5,Over,135,156,0.562,32.13,0.559
135,Myles Turner,DraftKings,player_assists,1.5,Over,180,202,0.471,31.87,0.468
136,Alex Caruso,Bovada,player_threes,1.5,Over,140,163,0.549,31.87,0.5462
137,Alex Caruso,BetOnline.ag,player_threes,1.5,Over,141,163,0.547,31.84,0.5438
138,Andrew Nembhard,Bovada,player_threes,1.5,Over,140,170,0.549,31.82,0.546
139,Aaron Nesmith,BetMGM,player_points,10.5,Over,-105,108,0.675,31.72,0.6712
140,Andrew Nembhard,Bovada,player_threes,1.5,Over,140,170,0.547,31.4,0.5443
141,Isaiah Hartenstein,BetMGM,player_rebounds_assists,8.5,Over,105,117,0.641,31.36,0.6373
142,Pascal Siakam,BetRivers,player_threes,1.5,Over,160,179,0.505,31.34,0.5021
143,Luguentz Dort,BetMGM,player_blocks,0.5,Over,165,190,0.494,30.97,0.4912
144,Tyrese Haliburton,Bovada,player_assists,6.5,Over,-145,-124,0.774,30.76,0.7706
145,Myles Turner,DraftKings,player_points_assists,13.5,Over,-110,107,0.685,30.74,0.6814
146,Tyrese Haliburton,FanDuel,player_points_assists,22.5,Over,-106,108,0.673,30.73,0.6692
147,Aaron Nesmith,DraftKings,player_points,10.5,Over,-105,108,0.669,30.67,0.6658
148,Isaiah Hartenstein,DraftKings,player_points,5.5,Over,-130,101,0.737,30.34,0.7333
149,Alex Caruso,BetMGM,player_threes,1.5,Over,135,163,0.555,30.31,0.5512
150,Aaron Nesmith,Bovada,player_points_rebounds,14.5,Over,-135,-113,0.748,30.28,0.745
151,Aaron Nesmith,Bovada,player_rebounds_assists,5.5,Over,105,102,0.635,30.27,0.632
152,Myles Turner,FanDuel,player_assists,1.5,Over,178,202,0.468,30.19,0.4653
153,Pascal Siakam,BetRivers,player_rebounds,7.5,Under,-137,-117,0.752,30.04,0.7483
154,Myles Turner,DraftKings,player_points,12.5,Over,-105,107,0.666,29.99,0.6623
155,Obi Toppin,DraftKings,player_rebounds_assists,6.5,Under,-125,-113,0.722,29.9,0.7182
156,Tyrese Haliburton,BetRivers,player_assists,6.5,Over,-150,-124,0.779,29.87,0.7759
157,Pascal Siakam,FanDuel,player_rebounds,7.5,Under,-138,-117,0.753,29.83,0.7494
158,Isaiah Hartenstein,FanDuel,player_rebounds_assists,8.5,Over,102,117,0.642,29.68,0.6384
159,Pascal Siakam,DraftKings,player_threes,1.5,Over,154,179,0.51,29.65,0.5073
160,Tyrese Haliburton,Bovada,player_points_rebounds,19.5,Over,-110,103,0.679,29.62,0.6754
161,Obi Toppin,DraftKings,player_rebounds,4.5,Under,110,123,0.617,29.48,0.6131
162,Alex Caruso,BetMGM,player_threes,1.5,Over,135,163,0.551,29.46,0.5476
163,Pascal Siakam,DraftKings,player_rebounds,7.5,Under,-135,-117,0.744,29.45,0.7402
164,Myles Turner,BetRivers,player_assists,1.5,Over,170,202,0.479,29.32,0.4759
165,T.J. McConnell,DraftKings,player_threes,0.5,Over,220,285,0.404,29.23,0.4011
166,Pascal Siakam,DraftKings,player_threes,1.5,Over,154,179,0.508,29.14,0.5052
167,Myles Turner,BetOnline.ag,player_assists,1.5,Over,174,202,0.471,29.13,0.4682
168,Cason Wallace,BetRivers,player_rebounds,1.5,Over,-195,-167,0.853,29.11,0.8506
169,Pascal Siakam,Bovada,player_rebounds,8.5,Under,-215,-182,0.881,29.04,0.8782
170,Jalen Williams,FanDuel,player_assists,4.5,Over,104,111,0.632,28.9,0.6283
171,Cason Wallace,BetRivers,player_points_rebounds,6.5,Over,-114,-101,0.687,28.87,0.6829
172,Myles Turner,BetRivers,player_points_assists,13.5,Over,-114,107,0.686,28.85,0.6828
173,Pascal Siakam,Bovada,player_rebounds_assists,10.5,Under,105,117,0.628,28.78,0.6246
174,Myles Turner,BetRivers,player_points,12.5,Over,-107,107,0.665,28.71,0.6618
175,Andrew Nembhard,BetMGM,player_threes,1.5,Over,135,170,0.547,28.51,0.5435
176,Tyrese Haliburton,FanDuel,player_points_rebounds,19.5,Over,-108,103,0.667,28.5,0.6636
177,Myles Turner,Bovada,player_points,14.5,Over,150,174,0.514,28.48,0.5107
178,Andrew Nembhard,BetMGM,player_threes,1.5,Over,135,170,0.546,28.36,0.5429
179,Myles Turner,Bovada,player_points,15.5,Over,190,228,0.442,28.3,0.4395
180,Tyrese Haliburton,DraftKings,player_points_assists,22.5,Over,-110,108,0.672,28.26,0.6682
181,T.J. McConnell,DraftKings,player_threes,0.5,Over,220,285,0.401,28.2,0.3979
182,Aaron Nesmith,BetRivers,player_points,10.5,Over,-109,108,0.668,28.15,0.6647
183,Aaron Nesmith,Bovada,player_points,10.5,Over,-110,108,0.671,28.14,0.6676
184,Isaiah Hartenstein,BetRivers,player_rebounds_assists,8.5,Over,100,117,0.64,28.07,0.6368
185,Isaiah Hartenstein,Bovada,player_points_rebounds_assists,13.5,Over,-150,-114,0.768,28.03,0.7647
186,Pascal Siakam,BetMGM,player_threes,1.5,Over,150,179,0.512,27.97,0.5086
187,Tyrese Haliburton,DraftKings,player_points_rebounds,19.5,Over,-110,103,0.67,27.88,0.6662
188,Obi Toppin,BetMGM,player_rebounds,5.5,Under,-155,-141,0.777,27.84,0.7736
189,Myles Turner,BetOnline.ag,player_points,12.5,Over,-108,107,0.664,27.83,0.6601
190,Tyrese Haliburton,BetOnline.ag,player_points_rebounds_assists,26.5,Over,-127,-108,0.715,27.82,0.7115
191,Myles Turner,Bovada,player_points_rebounds,17.5,Over,105,110,0.623,27.79,0.6198
192,Tyrese Haliburton,BetRivers,player_points_rebounds_assists,26.5,Over,-124,-108,0.707,27.74,0.7035
193,Bennedict Mathurin,BetRivers,player_points,7.5,Over,-107,107,0.66,27.67,0.6563
194,Myles Turner,BetMGM,player_assists,1.5,Over,165,202,0.482,27.62,0.4784
195,Cason Wallace,DraftKings,player_points_rebounds,6.5,Over,-115,-101,0.682,27.57,0.6787
196,Aaron Nesmith,FanDuel,player_threes,1.5,Over,-146,-138,0.757,27.51,0.7532
197,Pascal Siakam,BetMGM,player_threes,1.5,Over,150,179,0.509,27.29,0.5059
198,Tyrese Haliburton,Bovada,player_points,16.5,Over,125,147,0.565,27.18,0.5618
199,Tyrese Haliburton,BetMGM,player_points_rebounds_assists,26.5,Over,-125,-108,0.706,27.13,0.7026
200,Aaron Nesmith,FanDuel,player_threes,1.5,Over,-146,-138,0.754,27.1,0.7508
201,Pascal Siakam,BetOnline.ag,player_rebounds,7.5,Under,-143,-117,0.748,27.08,0.7442
202,Aaron Nesmith,Bovada,player_points_assists,10.5,Over,-135,-115,0.73,27.06,0.7263
203,Tyrese Haliburton,BetRivers,player_points_rebounds,19.5,Over,-113,103,0.674,26.99,0.67
204,Aaron Nesmith,DraftKings,player_points_assists,11.5,Over,-110,111,0.665,26.86,0.6608
205,Bennedict Mathurin,BetOnline.ag,player_points,7.5,Over,-110,107,0.664,26.77,0.6603
206,Luguentz Dort,DraftKings,player_blocks,0.5,Over,165,190,0.478,26.71,0.475
207,Tyrese Haliburton,BetRivers,player_points_assists,22.5,Over,-113,108,0.672,26.67,0.6683
208,Shai Gilgeous-Alexander,Bovada,player_points,30.5,Under,150,174,0.507,26.66,0.5034
209,Myles Turner,Bovada,player_points,13.5,Over,115,130,0.589,26.6,0.5852
210,Isaiah Hartenstein,Bovada,player_rebounds,5.5,Over,-170,-147,0.797,26.53,0.7932
211,Bennedict Mathurin,DraftKings,player_points,7.5,Over,-110,107,0.662,26.46,0.6587
212,Aaron Nesmith,BetMGM,player_blocks,0.5,Over,110,133,0.602,26.44,0.5985
213,Isaiah Hartenstein,DraftKings,player_rebounds_assists,8.5,Over,-105,117,0.647,26.24,0.6429
214,Myles Turner,BetMGM,player_points_assists,13.5,Over,-120,107,0.688,26.11,0.6841
215,Aaron Nesmith,BetOnline.ag,player_points,10.5,Over,-114,108,0.671,25.97,0.6673
216,Andrew Nembhard,Bovada,player_points,12.5,Over,165,190,0.475,25.81,0.4716
217,Bennedict Mathurin,BetMGM,player_points,7.5,Over,-110,107,0.659,25.79,0.6552
218,Shai Gilgeous-Alexander,Bovada,player_points,32.5,Under,105,106,0.613,25.76,0.6098
219,Bennedict Mathurin,DraftKings,player_blocks,0.5,Over,240,292,0.37,25.72,0.3671
220,Shai Gilgeous-Alexander,Bovada,player_points,29.5,Under,175,208,0.457,25.59,0.4536
221,Cason Wallace,BetMGM,player_threes,0.5,Over,-105,121,0.642,25.38,0.6384
222,Pascal Siakam,BetOnline.ag,player_threes,1.5,Over,149,179,0.503,25.29,0.4998
223,Pascal Siakam,BetOnline.ag,player_threes,1.5,Over,149,179,0.503,25.21,0.4995
224,Myles Turner,BetMGM,player_points,12.5,Over,-115,107,0.67,25.18,0.6658
225,Aaron Nesmith,BetRivers,player_threes,1.5,Over,-152,-138,0.755,25.18,0.7513
226,Tyrese Haliburton,BetMGM,player_points_assists,22.5,Over,-115,108,0.668,24.94,0.6645
227,Cason Wallace,BetMGM,player_threes,0.5,Over,-105,121,0.639,24.77,0.6353
228,Cason Wallace,FanDuel,player_points,4.5,Over,-106,105,0.641,24.57,0.6372
229,Obi Toppin,BetRivers,player_rebounds,4.5,Under,100,123,0.622,24.45,0.6185
230,Cason Wallace,DraftKings,player_points,4.5,Over,-105,105,0.637,24.35,0.6331
231,Obi Toppin,Bovada,player_rebounds_assists,6.5,Under,-135,-113,0.714,24.3,0.7102
232,Obi Toppin,Bovada,player_rebounds,5.5,Under,-165,-141,0.774,24.3,0.7702
233,Shai Gilgeous-Alexander,Bovada,player_points,34.5,Under,-135,-115,0.714,24.28,0.7101
234,Tyrese Haliburton,BetMGM,player_points_rebounds,19.5,Over,-120,103,0.678,24.22,0.6737
235,Aaron Nesmith,BetRivers,player_threes,1.5,Over,-152,-138,0.748,24.08,0.7446
236,Cason Wallace,Bovada,player_points_rebounds,6.5,Over,-120,-101,0.677,24.05,0.6728
237,Myles Turner,Bovada,player_points,12.5,Over,-115,107,0.663,23.95,0.6591
238,Pascal Siakam,DraftKings,player_rebounds_assists,10.5,Under,-105,117,0.635,23.94,0.631
239,Jalen Williams,DraftKings,player_assists,4.5,Over,-105,111,0.635,23.93,0.6309
240,Myles Turner,FanDuel,player_points_rebounds_assists,18.5,Over,-106,-103,0.638,23.91,0.6338
241,Pascal Siakam,Bovada,player_threes,1.5,Over,145,179,0.506,23.88,0.5022
242,Obi Toppin,BetOnline.ag,player_points_rebounds_assists,17.5,Under,-130,-115,0.7,23.84,0.6961
243,Shai Gilgeous-Alexander,Bovada,player_points,35.5,Under,-160,-141,0.762,23.84,0.7583
244,Shai Gilgeous-Alexander,Bovada,player_points,31.5,Under,125,147,0.55,23.79,0.5466
245,Bennedict Mathurin,FanDuel,player_points_assists,7.5,Over,-130,-115,0.699,23.74,0.6955
246,Pascal Siakam,FanDuel,player_rebounds_assists,10.5,Under,-102,117,0.624,23.66,0.6206
247,Obi Toppin,BetOnline.ag,player_rebounds,5.5,Under,-167,-141,0.773,23.55,0.769
248,Bennedict Mathurin,Bovada,player_points,7.5,Over,-115,107,0.661,23.49,0.6566
249,Aaron Wiggins,DraftKings,player_blocks,0.5,Over,325,388,0.291,23.47,0.2883
250,Jalen Williams,FanDuel,player_rebounds_assists,9.5,Over,-128,-115,0.693,23.45,0.6891
251,Jalen Williams,BetMGM,player_assists,4.5,Over,-105,111,0.632,23.38,0.6281
252,Shai Gilgeous-Alexander,Bovada,player_points,33.5,Under,-115,-103,0.66,23.31,0.6557
253,Bennedict Mathurin,DraftKings,player_points_assists,8.5,Over,-110,106,0.645,23.21,0.6415
254,Pascal Siakam,Bovada,player_threes,1.5,Over,145,179,0.502,22.92,0.4983
255,Myles Turner,Bovada,player_points,11.5,Over,-150,-130,0.737,22.91,0.7335
256,T.J. McConnell,Bovada,player_rebounds_assists,7.5,Under,105,115,0.6,22.9,0.5957
257,Obi Toppin,BetMGM,player_points_rebounds_assists,17.5,Under,-130,-115,0.694,22.86,0.6905
258,Shai Gilgeous-Alexander,Bovada,player_points,36.5,Under,-190,-167,0.804,22.75,0.8005
259,Andrew Nembhard,DraftKings,player_points,10.5,Over,-105,106,0.628,22.61,0.6241
260,Shai Gilgeous-Alexander,BetOnline.ag,player_points,33.5,Under,-118,-103,0.663,22.51,0.6591
261,Aaron Nesmith,BetOnline.ag,player_threes,1.5,Over,-161,-138,0.754,22.29,0.7504
262,Tyrese Haliburton,Bovada,player_points,15.5,Over,100,107,0.611,22.27,0.6074
263,Alex Caruso,DraftKings,player_rebounds_assists,6.5,Under,-140,-120,0.713,22.22,0.709
264,Myles Turner,FanDuel,player_points_rebounds,17.5,Over,-102,110,0.617,22.19,0.6131
265,Aaron Nesmith,DraftKings,player_blocks_steals,1.5,Over,140,160,0.509,22.13,0.5054
266,Jalen Williams,BetOnline.ag,player_assists,4.5,Over,-105,111,0.626,22.13,0.6216
267,Shai Gilgeous-Alexander,DraftKings,player_points,33.5,Under,-120,-103,0.666,22.1,0.662
268,Jalen Williams,BetRivers,player_rebounds_assists,9.5,Over,-129,-115,0.688,22.06,0.6836
269,Ben Sheppard,DraftKings,player_points,1.5,Over,-130,-115,0.69,21.99,0.6855
270,Chet Holmgren,DraftKings,player_rebounds,9.5,Under,110,118,0.581,21.99,0.5771
271,Andrew Nembhard,Bovada,player_points,11.5,Over,125,147,0.542,21.9,0.5381
272,Aaron Nesmith,Bovada,player_points,9.5,Over,-150,-130,0.731,21.85,0.7271
273,Chet Holmgren,Bovada,player_rebounds,8.5,Under,160,190,0.469,21.83,0.4653
274,Aaron Nesmith,BetOnline.ag,player_threes,1.5,Over,-161,-138,0.751,21.7,0.7467
275,Bennedict Mathurin,Bovada,player_points_assists,7.5,Over,-135,-115,0.698,21.5,0.6939
276,Obi Toppin,Bovada,player_points_rebounds_assists,17.5,Under,-130,-115,0.687,21.47,0.6825
277,Cason Wallace,DraftKings,player_steals,0.5,Over,-188,-160,0.793,21.44,0.7888
278,Andrew Nembhard,Bovada,player_points,10.5,Over,-105,106,0.622,21.36,0.6176
279,Tyrese Haliburton,DraftKings,player_points,15.5,Over,-105,107,0.621,21.31,0.6174
280,Andrew Nembhard,BetRivers,player_points,10.5,Over,-106,106,0.624,21.29,0.6201
281,Chet Holmgren,DraftKings,player_rebounds_assists,11.5,Under,-130,-115,0.685,21.28,0.6814
