,name1,name2,overEV,over_prob,underEV,under_prob,over_underEV,over_under_prob,under_overEV,under_over_prob
53,Aaron Nesmith,Chet Holmgren,16.01,0.387,-57.31,0.142,-22.99,0.257,-35.71,0.214
38,Chet Holmgren,T.J. McConnell,16.13,0.387,-57.4,0.142,-22.9,0.257,-35.83,0.214
25,Bennedict Mathurin,Tyrese Haliburton,15.94,0.386,-57.41,0.142,-21.24,0.263,-37.29,0.209
24,Aaron Wiggins,Bennedict Mathurin,16.37,0.388,-57.64,0.141,-21.67,0.261,-37.06,0.21
23,Andrew Nembhard,Bennedict Mathurin,16.8,0.389,-57.87,0.14,-22.1,0.26,-36.83,0.211
22,Bennedict Mathurin,Chet Holmgren,17.01,0.39,-57.99,0.14,-22.31,0.259,-36.71,0.211
52,Aaron Nesmith,Myles Turner,18.51,0.395,-58.71,0.138,-25.49,0.248,-34.31,0.219
37,Myles Turner,T.J. McConnell,18.64,0.395,-58.79,0.137,-25.41,0.249,-34.44,0.219
21,Bennedict Mathurin,Myles Turner,19.55,0.398,-59.35,0.135,-24.85,0.251,-35.35,0.216
51,Aaron Nesmith,Pascal Siakam,20.89,0.403,-60.02,0.133,-27.87,0.24,-33.0,0.223
36,Pascal Siakam,T.J. McConnell,21.02,0.403,-60.1,0.133,-27.79,0.241,-33.13,0.223
20,Bennedict Mathurin,Pascal Siakam,21.94,0.406,-60.65,0.131,-27.24,0.243,-34.05,0.22
9,Ben Sheppard,Isaiah Hartenstein,20.66,0.402,-60.88,0.13,-15.94,0.28,-43.84,0.187
8,Isaiah Hartenstein,Tyrese Haliburton,21.91,0.406,-61.46,0.128,-17.19,0.276,-43.26,0.189
7,Aaron Wiggins,Isaiah Hartenstein,22.36,0.408,-61.67,0.128,-17.64,0.275,-43.05,0.19
6,Andrew Nembhard,Isaiah Hartenstein,22.81,0.409,-61.88,0.127,-18.09,0.273,-42.84,0.191
35,Aaron Nesmith,T.J. McConnell,24.32,0.414,-61.93,0.127,-31.09,0.23,-31.3,0.229
5,Chet Holmgren,Isaiah Hartenstein,23.04,0.41,-61.98,0.127,-18.32,0.272,-42.74,0.191
19,Aaron Nesmith,Bennedict Mathurin,25.27,0.418,-62.45,0.125,-30.57,0.231,-32.25,0.226
18,Bennedict Mathurin,T.J. McConnell,25.41,0.418,-62.52,0.125,-30.71,0.231,-32.18,0.226
4,Isaiah Hartenstein,Myles Turner,25.7,0.419,-63.22,0.123,-20.98,0.263,-41.5,0.195
3,Isaiah Hartenstein,Pascal Siakam,28.22,0.427,-64.39,0.119,-23.5,0.255,-40.33,0.199
2,Aaron Nesmith,Isaiah Hartenstein,31.72,0.439,-66.02,0.113,-27.0,0.243,-38.7,0.204
1,Isaiah Hartenstein,T.J. McConnell,31.86,0.44,-66.09,0.113,-27.14,0.243,-38.63,0.205
0,Bennedict Mathurin,Isaiah Hartenstein,32.86,0.443,-66.56,0.111,-28.14,0.24,-38.16,0.206
