,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
112,Chet Holmgren,BetOnline.ag,player_points,15.5,Over,-102,0.521,3.15,0.0322
113,Andrew Nembhard,Bovada,player_points,9.5,Over,-245,0.732,3.1,0.076
114,Myles Turner,Bovada,player_points,11.5,Over,-275,0.755,2.96,0.0813
115,Jalen Williams,DraftKings,player_points,21.5,Under,-125,0.572,2.94,0.0368
116,Aaron Nesmith,Bovada,player_points,9.5,Over,-260,0.743,2.9,0.0754
117,Andrew Nembhard,BetRivers,player_points,12.5,Over,-103,0.521,2.78,0.0286
118,Chet Holmgren,DraftKings,player_points,15.5,Over,-105,0.525,2.51,0.0263
119,Jalen Williams,BetRivers,player_points,22.5,Under,-155,0.622,2.4,0.0373
120,Bennedict Mathurin,Bovada,player_points,8.5,Over,-130,0.578,2.26,0.0294
121,Tyrese Haliburton,BetOnline.ag,player_points,17.5,Over,-116,0.546,1.76,0.0204
122,Jalen Williams,FanDuel,player_points,21.5,Under,-128,0.571,1.72,0.022
123,Jalen Williams,Bovada,player_points,17.5,Under,185,0.357,1.64,0.0089
124,Alex Caruso,Bovada,player_points,9.5,Under,-120,0.554,1.55,0.0186
125,Jalen Williams,BetOnline.ag,player_points,21.5,Under,-125,0.564,1.53,0.0192
126,Myles Turner,Bovada,player_points,14.5,Over,-115,0.543,1.51,0.0174
127,Cason Wallace,FanDuel,player_points,5.5,Under,100,0.507,1.42,0.0142
128,Chet Holmgren,BetRivers,player_points,15.5,Over,-107,0.524,1.42,0.0152
129,Jalen Williams,Bovada,player_points,21.5,Under,-130,0.573,1.3,0.0169
130,Jalen Williams,Bovada,player_points,24.5,Under,-250,0.722,1.14,0.0285
131,Tyrese Haliburton,Bovada,player_points,19.5,Over,125,0.449,1.0,0.008
132,Luguentz Dort,Bovada,player_points,9.5,Under,-160,0.621,0.93,0.0148
133,Alex Caruso,Bovada,player_points,10.5,Under,-165,0.628,0.85,0.014
134,Myles Turner,BetRivers,player_points,15.5,Over,116,0.467,0.78,0.0067
135,Cason Wallace,BetRivers,player_points,5.5,Under,-103,0.511,0.77,0.008
136,Jalen Williams,Bovada,player_points,22.5,Under,-165,0.627,0.75,0.0125
137,Tyrese Haliburton,Bovada,player_points,18.5,Over,100,0.503,0.67,0.0067
138,Alex Caruso,BetOnline.ag,player_points,9.5,Under,-120,0.548,0.47,0.0056
139,Tyrese Haliburton,DraftKings,player_points,17.5,Over,-120,0.548,0.38,0.0046
140,Jalen Williams,Bovada,player_points,20.5,Under,-105,0.513,0.18,0.0019
141,Jalen Williams,Bovada,player_points,18.5,Under,150,0.4,-0.07,0.0
142,Jalen Williams,Bovada,player_points,19.5,Under,120,0.454,-0.19,0.0
