,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
39,Cason Wallace,BetOnline.ag,player_points,6.5,Under,-130,0.659,16.51,0.2146
40,Andrew Nembhard,BetRivers,player_points,11.5,Over,102,0.577,16.48,0.1615
41,T.J. McConnell,DraftKings,player_points,7.5,Over,-105,0.592,15.5,0.1627
42,Aaron Nesmith,FanDuel,player_points,11.5,Over,-118,0.622,14.91,0.1759
43,Bennedict Mathurin,Bovada,player_points,13.5,Over,185,0.403,14.79,0.08
44,T.J. McConnell,BetRivers,player_points,7.5,Over,-107,0.592,14.47,0.1549
45,Andrew Nembhard,Bovada,player_points,8.5,Over,-215,0.779,14.2,0.3053
46,Aaron Nesmith,BetRivers,player_points,12.5,Over,100,0.563,12.57,0.1257
47,T.J. McConnell,BetOnline.ag,player_points,7.5,Over,-110,0.589,12.45,0.1369
48,Aaron Nesmith,BetRivers,player_points,11.5,Over,-125,0.62,11.61,0.1451
49,Aaron Nesmith,Bovada,player_points,9.5,Over,-190,0.729,11.23,0.2133
50,Myles Turner,BetOnline.ag,player_points,13.5,Over,-118,0.6,10.93,0.129
51,Myles Turner,Bovada,player_points,14.5,Over,110,0.527,10.65,0.0968
52,Myles Turner,BetRivers,player_points,12.5,Over,-157,0.676,10.62,0.1667
53,Myles Turner,Bovada,player_points,13.5,Over,-120,0.603,10.49,0.1259
54,Pascal Siakam,Bovada,player_points,20.5,Over,115,0.514,10.47,0.091
55,T.J. McConnell,Bovada,player_points,8.5,Over,115,0.513,10.26,0.0892
56,Pascal Siakam,Bovada,player_points,21.5,Over,140,0.459,10.1,0.0722
57,Jalen Williams,BetOnline.ag,player_points,21.5,Under,-103,0.558,10.04,0.1034
58,Myles Turner,FanDuel,player_points,13.5,Over,-120,0.599,9.86,0.1183
59,Myles Turner,Bovada,player_points,12.5,Over,-160,0.676,9.83,0.1572
60,Myles Turner,BetRivers,player_points,13.5,Over,-122,0.603,9.65,0.1178
61,T.J. McConnell,Bovada,player_points,7.5,Over,-125,0.606,9.0,0.1125
62,Myles Turner,Bovada,player_points,11.5,Over,-215,0.744,8.95,0.1923
63,Jalen Williams,Bovada,player_points,20.5,Under,115,0.506,8.83,0.0768
64,Pascal Siakam,Bovada,player_points,22.5,Over,170,0.403,8.83,0.052
65,Myles Turner,Bovada,player_points,15.5,Over,140,0.451,8.36,0.0597
66,Myles Turner,DraftKings,player_points,13.5,Over,-125,0.602,8.32,0.104
67,T.J. McConnell,Bovada,player_points,9.5,Over,155,0.424,8.2,0.0529
68,Aaron Nesmith,BetRivers,player_points,10.5,Over,-165,0.674,8.18,0.1349
69,Pascal Siakam,Bovada,player_points,23.5,Over,210,0.348,7.93,0.0378
70,Luguentz Dort,Bovada,player_points,11.5,Under,-275,0.791,7.86,0.2162
71,Aaron Wiggins,BetOnline.ag,player_points,5.5,Over,-103,0.547,7.82,0.0806
72,T.J. McConnell,Bovada,player_points,10.5,Over,210,0.347,7.71,0.0367
73,Chet Holmgren,BetRivers,player_points,14.5,Over,-134,0.616,7.53,0.1009
74,Aaron Nesmith,Bovada,player_points,8.5,Over,-275,0.786,7.2,0.1981
75,Jalen Williams,Bovada,player_points,22.5,Under,-135,0.615,7.09,0.0957
76,Pascal Siakam,Bovada,player_points,18.5,Over,-135,0.613,6.72,0.0907
77,Jalen Williams,Bovada,player_points,23.5,Under,-165,0.664,6.72,0.1108
78,Pascal Siakam,BetOnline.ag,player_points,19.5,Over,-111,0.561,6.71,0.0745
79,Bennedict Mathurin,Bovada,player_points,8.5,Under,180,0.38,6.49,0.0361
80,Myles Turner,Bovada,player_points,10.5,Over,-300,0.798,6.37,0.1912
81,Jalen Williams,Bovada,player_points,21.5,Under,-110,0.556,6.21,0.0683
82,Luguentz Dort,Bovada,player_points,10.5,Under,-200,0.708,6.13,0.1226
83,Pascal Siakam,Bovada,player_points,19.5,Over,-110,0.555,5.96,0.0656
84,Jalen Williams,Bovada,player_points,25.5,Under,-260,0.765,5.86,0.1523
85,Myles Turner,Bovada,player_points,16.5,Over,175,0.385,5.78,0.033
86,Luguentz Dort,Bovada,player_points,9.5,Under,-145,0.626,5.74,0.0832
87,Myles Turner,BetRivers,player_points,14.5,Over,102,0.523,5.65,0.0553
88,Cason Wallace,BetRivers,player_points,6.5,Under,-167,0.659,5.4,0.0902
89,Jalen Williams,Bovada,player_points,18.5,Under,175,0.383,5.39,0.0308
90,Jalen Williams,DraftKings,player_points,21.5,Under,-115,0.563,5.31,0.0611
91,Jalen Williams,Bovada,player_points,24.5,Under,-210,0.713,5.21,0.1094
92,Jalen Williams,Bovada,player_points,19.5,Under,140,0.438,5.21,0.0372
93,Chet Holmgren,FanDuel,player_points,15.5,Over,-106,0.538,4.61,0.0488
94,Chet Holmgren,BetRivers,player_points,15.5,Over,-107,0.54,4.52,0.0483
95,Luguentz Dort,Bovada,player_points,8.5,Under,-105,0.535,4.46,0.0468
96,T.J. McConnell,Bovada,player_points,6.5,Over,-180,0.671,4.41,0.0793
97,Bennedict Mathurin,Bovada,player_points,12.5,Over,140,0.434,4.2,0.03
98,Pascal Siakam,FanDuel,player_points,19.5,Over,-118,0.563,3.93,0.0464
99,Ben Sheppard,DraftKings,player_points,2.5,Over,-135,0.596,3.67,0.0495
100,Bennedict Mathurin,BetRivers,player_points,10.5,Over,-105,0.531,3.62,0.038
101,Pascal Siakam,BetRivers,player_points,19.5,Over,-118,0.561,3.61,0.0426
102,Jalen Williams,FanDuel,player_points,21.5,Under,-122,0.569,3.5,0.0427
103,Pascal Siakam,BetRivers,player_points,18.5,Over,-148,0.617,3.33,0.0493
104,Chet Holmgren,Bovada,player_points,13.5,Over,-200,0.688,3.25,0.065
105,Pascal Siakam,BetRivers,player_points,20.5,Over,104,0.506,3.22,0.0309
106,Bennedict Mathurin,Bovada,player_points,11.5,Over,110,0.491,3.17,0.0288
107,Pascal Siakam,DraftKings,player_points,19.5,Over,-120,0.562,3.12,0.0375
108,Jalen Williams,BetRivers,player_points,22.5,Under,-148,0.614,2.95,0.0437
109,Tyrese Haliburton,Bovada,player_points,21.5,Over,190,0.354,2.76,0.0145
110,Luguentz Dort,Bovada,player_points,7.5,Under,135,0.437,2.62,0.0194
111,Pascal Siakam,Bovada,player_points,17.5,Over,-180,0.66,2.61,0.0469
112,Chet Holmgren,Bovada,player_points,12.5,Over,-275,0.752,2.49,0.0686
113,Pascal Siakam,Bovada,player_points,16.5,Over,-230,0.714,2.46,0.0565
114,Aaron Wiggins,DraftKings,player_points,5.5,Over,-115,0.548,2.46,0.0283
115,Jalen Williams,BetRivers,player_points,20.5,Under,100,0.512,2.4,0.024
116,Ben Sheppard,BetOnline.ag,player_points,2.5,Over,-135,0.588,2.34,0.0317
117,Tyrese Haliburton,Bovada,player_points,20.5,Over,150,0.408,2.12,0.0141
118,Jalen Williams,BetRivers,player_points,21.5,Under,-121,0.559,2.06,0.025
119,Tyrese Haliburton,Bovada,player_points,18.5,Over,100,0.51,2.02,0.0202
120,Chet Holmgren,Bovada,player_points,14.5,Over,-150,0.612,1.95,0.0292
121,Obi Toppin,BetRivers,player_points,10.5,Under,-167,0.637,1.81,0.0302
122,Bennedict Mathurin,BetRivers,player_points,9.5,Over,-136,0.587,1.8,0.0244
123,Chet Holmgren,Bovada,player_points,15.5,Over,-115,0.544,1.78,0.0205
124,Chet Holmgren,BetOnline.ag,player_points,15.5,Over,-112,0.538,1.75,0.0196
125,Luguentz Dort,Bovada,player_points,6.5,Under,190,0.351,1.72,0.0091
126,Tyrese Haliburton,Bovada,player_points,19.5,Over,120,0.461,1.45,0.0121
127,T.J. McConnell,Bovada,player_points,5.5,Over,-275,0.744,1.41,0.0386
128,Obi Toppin,BetRivers,player_points,9.5,Under,-125,0.558,0.45,0.0056
129,Obi Toppin,Bovada,player_points,11.5,Under,-245,0.713,0.45,0.011
130,Tyrese Haliburton,BetOnline.ag,player_points,17.5,Over,-125,0.558,0.37,0.0047
131,Alex Caruso,BetRivers,player_points,8.5,Over,-134,0.573,0.05,0.0007
132,Bennedict Mathurin,FanDuel,player_points,10.5,Over,-112,0.528,-0.06,0.0
133,Chet Holmgren,BetRivers,player_points,16.5,Over,115,0.465,-0.12,0.0
134,Tyrese Haliburton,FanDuel,player_points,18.5,Over,-104,0.508,-0.27,0.0
135,Luguentz Dort,DraftKings,player_points,8.5,Under,-115,0.533,-0.33,0.0
136,Obi Toppin,Bovada,player_points,7.5,Under,150,0.399,-0.33,0.0
137,Luguentz Dort,BetOnline.ag,player_points,8.5,Under,-114,0.528,-0.83,0.0
138,Alex Caruso,Bovada,player_points,12.5,Under,-275,0.725,-1.19,0.0
139,Obi Toppin,BetOnline.ag,player_points,9.5,Under,-130,0.558,-1.28,0.0
140,Obi Toppin,DraftKings,player_points,9.5,Under,-130,0.558,-1.28,0.0
141,Alex Caruso,Bovada,player_points,7.5,Under,180,0.352,-1.46,0.0
142,Alex Caruso,Bovada,player_points,10.5,Under,-145,0.583,-1.46,0.0
143,Obi Toppin,Bovada,player_points,8.5,Under,105,0.48,-1.65,0.0
144,Obi Toppin,Bovada,player_points,10.5,Under,-180,0.632,-1.7,0.0
145,Obi Toppin,FanDuel,player_points,9.5,Under,-128,0.551,-1.83,0.0
146,Alex Caruso,Bovada,player_points,11.5,Under,-200,0.654,-1.84,0.0
147,Chet Holmgren,DraftKings,player_points,15.5,Over,-125,0.545,-1.98,0.0
148,Tyrese Haliburton,Bovada,player_points,16.5,Over,-165,0.61,-1.99,0.0
149,Tyrese Haliburton,Bovada,player_points,17.5,Over,-130,0.553,-2.08,0.0
150,Obi Toppin,Bovada,player_points,9.5,Under,-130,0.552,-2.32,0.0
151,Tyrese Haliburton,BetRivers,player_points,18.5,Over,-108,0.507,-2.34,0.0
152,Chet Holmgren,Bovada,player_points,18.5,Under,-240,0.689,-2.41,0.0
153,Tyrese Haliburton,BetRivers,player_points,17.5,Over,-134,0.558,-2.51,0.0
154,Luguentz Dort,FanDuel,player_points,8.5,Under,-122,0.536,-2.51,0.0
155,Cason Wallace,FanDuel,player_points,5.5,Under,-110,0.509,-2.76,0.0
156,Cason Wallace,DraftKings,player_points,5.5,Under,-110,0.509,-2.79,0.0
157,Jalen Williams,BetRivers,player_points,19.5,Under,118,0.445,-3.04,0.0
158,Tyrese Haliburton,BetRivers,player_points,16.5,Over,-167,0.606,-3.05,0.0
159,Alex Caruso,Bovada,player_points,8.5,Under,125,0.43,-3.24,0.0
160,Bennedict Mathurin,BetOnline.ag,player_points,10.5,Over,-120,0.527,-3.3,0.0
161,Chet Holmgren,Bovada,player_points,16.5,Over,110,0.46,-3.3,0.0
162,Bennedict Mathurin,Bovada,player_points,10.5,Over,-125,0.537,-3.36,0.0
163,Tyrese Haliburton,BetRivers,player_points,19.5,Over,114,0.451,-3.56,0.0
164,Alex Caruso,BetRivers,player_points,9.5,Over,-107,0.498,-3.75,0.0
165,Cason Wallace,BetRivers,player_points,5.5,Under,-114,0.512,-3.92,0.0
166,Alex Caruso,Bovada,player_points,9.5,Under,-110,0.503,-3.98,0.0
167,Chet Holmgren,Bovada,player_points,17.5,Under,-185,0.621,-4.29,0.0
168,Obi Toppin,BetRivers,player_points,8.5,Under,104,0.469,-4.38,0.0
169,Alex Caruso,BetOnline.ag,player_points,9.5,Under,-112,0.505,-4.39,0.0
170,Bennedict Mathurin,Bovada,player_points,9.5,Under,130,0.415,-4.5,0.0
171,Tyrese Haliburton,Bovada,player_points,15.5,Over,-215,0.652,-4.54,0.0
172,Bennedict Mathurin,DraftKings,player_points,11.5,Over,-105,0.488,-4.71,0.0
173,Alex Caruso,DraftKings,player_points,9.5,Over,-110,0.497,-5.17,0.0
174,Luguentz Dort,BetRivers,player_points,7.5,Under,112,0.447,-5.23,0.0
175,Luguentz Dort,BetRivers,player_points,7.5,Over,-150,0.568,-5.32,0.0
176,Tyrese Haliburton,Bovada,player_points,14.5,Over,-280,0.696,-5.48,0.0
177,Tyrese Haliburton,DraftKings,player_points,18.5,Over,-115,0.505,-5.56,0.0
178,Alex Caruso,FanDuel,player_points,9.5,Over,-112,0.496,-6.05,0.0
179,Luguentz Dort,BetRivers,player_points,8.5,Under,-129,0.529,-6.12,0.0
180,Alex Caruso,BetOnline.ag,player_points,9.5,Over,-115,0.502,-6.22,0.0
181,Bennedict Mathurin,Bovada,player_points,9.5,Over,-170,0.589,-6.47,0.0
182,Alex Caruso,Bovada,player_points,8.5,Over,-165,0.579,-7.06,0.0
183,Alex Caruso,BetRivers,player_points,10.5,Under,-162,0.572,-7.44,0.0
184,Alex Caruso,FanDuel,player_points,9.5,Under,-118,0.501,-7.44,0.0
185,Bennedict Mathurin,DraftKings,player_points,11.5,Under,-125,0.511,-8.04,0.0
186,Luguentz Dort,BetRivers,player_points,8.5,Over,-104,0.468,-8.29,0.0
187,Chet Holmgren,Bovada,player_points,17.5,Over,140,0.382,-8.32,0.0
188,Alex Caruso,DraftKings,player_points,9.5,Under,-120,0.499,-8.44,0.0
189,Chet Holmgren,Bovada,player_points,16.5,Under,-145,0.541,-8.54,0.0
190,Alex Caruso,Bovada,player_points,9.5,Over,-120,0.499,-8.57,0.0
191,Alex Caruso,Bovada,player_points,7.5,Over,-245,0.649,-8.62,0.0
192,Tyrese Haliburton,DraftKings,player_points,18.5,Under,-115,0.488,-8.73,0.0
193,Bennedict Mathurin,Bovada,player_points,10.5,Under,-105,0.467,-8.8,0.0
194,Bennedict Mathurin,BetOnline.ag,player_points,10.5,Under,-108,0.473,-8.85,0.0
195,Obi Toppin,Bovada,player_points,8.5,Over,-135,0.523,-8.91,0.0
196,Alex Caruso,BetRivers,player_points,10.5,Over,117,0.419,-9.04,0.0
197,Obi Toppin,BetRivers,player_points,8.5,Over,-137,0.525,-9.13,0.0
198,Luguentz Dort,FanDuel,player_points,8.5,Over,-106,0.467,-9.25,0.0
199,Chet Holmgren,DraftKings,player_points,15.5,Under,-105,0.463,-9.62,0.0
200,Alex Caruso,BetRivers,player_points,9.5,Under,-125,0.502,-9.71,0.0
201,Cason Wallace,BetRivers,player_points,5.5,Over,-117,0.487,-9.76,0.0
202,Luguentz Dort,Bovada,player_points,6.5,Over,-260,0.652,-9.78,0.0
203,Tyrese Haliburton,BetRivers,player_points,18.5,Under,-124,0.498,-10.08,0.0
204,Tyrese Haliburton,Bovada,player_points,14.5,Under,205,0.295,-10.13,0.0
205,Cason Wallace,DraftKings,player_points,5.5,Over,-120,0.489,-10.27,0.0
206,Tyrese Haliburton,BetRivers,player_points,19.5,Under,-157,0.548,-10.29,0.0
207,Jalen Williams,BetRivers,player_points,19.5,Over,-165,0.557,-10.52,0.0
208,Tyrese Haliburton,Bovada,player_points,16.5,Under,125,0.398,-10.54,0.0
209,Tyrese Haliburton,Bovada,player_points,17.5,Under,100,0.447,-10.58,0.0
210,Cason Wallace,FanDuel,player_points,5.5,Over,-120,0.488,-10.61,0.0
211,Tyrese Haliburton,Bovada,player_points,21.5,Under,-260,0.645,-10.66,0.0
212,Obi Toppin,Bovada,player_points,7.5,Over,-200,0.595,-10.7,0.0
213,Obi Toppin,Bovada,player_points,9.5,Over,100,0.442,-11.56,0.0
214,Obi Toppin,DraftKings,player_points,9.5,Over,100,0.442,-11.65,0.0
215,Tyrese Haliburton,BetRivers,player_points,17.5,Under,100,0.441,-11.7,0.0
216,Alex Caruso,Bovada,player_points,10.5,Over,110,0.42,-11.7,0.0
217,Tyrese Haliburton,Bovada,player_points,19.5,Under,-160,0.542,-11.85,0.0
218,Tyrese Haliburton,Bovada,player_points,20.5,Under,-200,0.587,-11.92,0.0
219,Bennedict Mathurin,Bovada,player_points,8.5,Over,-245,0.626,-11.92,0.0
220,T.J. McConnell,Bovada,player_points,10.5,Under,-290,0.654,-12.03,0.0
221,Obi Toppin,BetOnline.ag,player_points,9.5,Over,100,0.44,-12.05,0.0
222,Tyrese Haliburton,Bovada,player_points,15.5,Under,160,0.338,-12.09,0.0
223,Chet Holmgren,BetRivers,player_points,16.5,Under,-157,0.537,-12.1,0.0
224,Myles Turner,Bovada,player_points,16.5,Under,-240,0.62,-12.12,0.0
225,Luguentz Dort,BetOnline.ag,player_points,8.5,Over,-114,0.467,-12.25,0.0
226,Luguentz Dort,DraftKings,player_points,8.5,Over,-115,0.468,-12.52,0.0
227,Obi Toppin,FanDuel,player_points,9.5,Over,-104,0.445,-12.63,0.0
228,Tyrese Haliburton,BetOnline.ag,player_points,17.5,Under,-103,0.443,-12.69,0.0
229,Luguentz Dort,Bovada,player_points,7.5,Over,-180,0.561,-12.71,0.0
230,Chet Holmgren,Bovada,player_points,18.5,Over,175,0.317,-12.73,0.0
231,Tyrese Haliburton,FanDuel,player_points,18.5,Under,-128,0.49,-12.77,0.0
232,Pascal Siakam,Bovada,player_points,23.5,Under,-290,0.647,-12.96,0.0
233,Jalen Williams,BetRivers,player_points,20.5,Over,-134,0.498,-13.0,0.0
234,Tyrese Haliburton,BetRivers,player_points,16.5,Under,120,0.395,-13.14,0.0
235,Bennedict Mathurin,Bovada,player_points,12.5,Under,-185,0.563,-13.3,0.0
236,Tyrese Haliburton,Bovada,player_points,18.5,Under,-130,0.489,-13.46,0.0
237,Pascal Siakam,BetRivers,player_points,20.5,Under,-137,0.5,-13.54,0.0
238,Bennedict Mathurin,Bovada,player_points,11.5,Under,-145,0.511,-13.72,0.0
239,Pascal Siakam,Bovada,player_points,22.5,Under,-230,0.6,-13.85,0.0
240,Obi Toppin,Bovada,player_points,10.5,Over,135,0.366,-14.04,0.0
241,Chet Holmgren,Bovada,player_points,15.5,Under,-115,0.459,-14.18,0.0
242,Jalen Williams,Bovada,player_points,18.5,Over,-240,0.606,-14.2,0.0
243,Chet Holmgren,BetOnline.ag,player_points,15.5,Under,-115,0.458,-14.36,0.0
244,Obi Toppin,BetRivers,player_points,9.5,Over,-106,0.441,-14.37,0.0
245,Bennedict Mathurin,FanDuel,player_points,10.5,Under,-118,0.463,-14.43,0.0
246,Alex Caruso,Bovada,player_points,11.5,Over,150,0.34,-14.9,0.0
247,Aaron Wiggins,DraftKings,player_points,5.5,Under,-115,0.455,-14.96,0.0
248,T.J. McConnell,Bovada,player_points,9.5,Under,-210,0.575,-15.09,0.0
249,Bennedict Mathurin,Bovada,player_points,13.5,Under,-250,0.606,-15.14,0.0
250,Alex Caruso,BetRivers,player_points,8.5,Under,102,0.42,-15.22,0.0
251,Myles Turner,Bovada,player_points,15.5,Under,-185,0.55,-15.23,0.0
252,Jalen Williams,FanDuel,player_points,21.5,Over,-108,0.44,-15.26,0.0
253,Jalen Williams,Bovada,player_points,19.5,Over,-185,0.548,-15.61,0.0
254,Luguentz Dort,Bovada,player_points,8.5,Over,-125,0.467,-15.93,0.0
255,Pascal Siakam,BetRivers,player_points,19.5,Under,-112,0.443,-16.16,0.0
256,Bennedict Mathurin,BetRivers,player_points,9.5,Under,102,0.415,-16.21,0.0
257,Chet Holmgren,BetRivers,player_points,15.5,Under,-124,0.462,-16.47,0.0
258,Alex Caruso,Bovada,player_points,12.5,Over,200,0.278,-16.63,0.0
259,Pascal Siakam,Bovada,player_points,21.5,Under,-185,0.541,-16.69,0.0
260,Pascal Siakam,DraftKings,player_points,19.5,Under,-110,0.436,-16.75,0.0
261,Jalen Williams,BetRivers,player_points,21.5,Over,-110,0.435,-16.89,0.0
262,Ben Sheppard,BetOnline.ag,player_points,2.5,Under,105,0.405,-16.97,0.0
263,Bennedict Mathurin,BetRivers,player_points,10.5,Under,-127,0.463,-17.24,0.0
264,Chet Holmgren,FanDuel,player_points,15.5,Under,-125,0.46,-17.29,0.0
265,Jalen Williams,Bovada,player_points,20.5,Over,-150,0.496,-17.36,0.0
266,Ben Sheppard,DraftKings,player_points,2.5,Under,105,0.403,-17.38,0.0
267,Chet Holmgren,Bovada,player_points,14.5,Under,115,0.384,-17.39,0.0
268,Jalen Williams,DraftKings,player_points,21.5,Over,-115,0.441,-17.53,0.0
269,Pascal Siakam,Bovada,player_points,20.5,Under,-150,0.493,-17.87,0.0
270,Pascal Siakam,FanDuel,player_points,19.5,Under,-114,0.436,-18.08,0.0
271,Myles Turner,BetRivers,player_points,14.5,Under,-137,0.473,-18.13,0.0
272,Jalen Williams,Bovada,player_points,21.5,Over,-120,0.444,-18.56,0.0
273,Aaron Wiggins,BetOnline.ag,player_points,5.5,Under,-125,0.452,-18.67,0.0
274,Pascal Siakam,Bovada,player_points,19.5,Under,-120,0.444,-18.69,0.0
275,Jalen Williams,BetRivers,player_points,22.5,Over,110,0.386,-18.9,0.0
276,Pascal Siakam,BetOnline.ag,player_points,19.5,Under,-116,0.435,-19.02,0.0
277,T.J. McConnell,Bovada,player_points,8.5,Under,-150,0.486,-19.06,0.0
278,Obi Toppin,Bovada,player_points,11.5,Over,180,0.289,-19.09,0.0
279,Pascal Siakam,Bovada,player_points,18.5,Under,105,0.392,-19.64,0.0
280,T.J. McConnell,Bovada,player_points,7.5,Under,-105,0.409,-20.09,0.0
281,Myles Turner,Bovada,player_points,14.5,Under,-145,0.473,-20.11,0.0
282,Pascal Siakam,BetRivers,player_points,18.5,Under,108,0.383,-20.43,0.0
283,Pascal Siakam,Bovada,player_points,17.5,Under,135,0.339,-20.44,0.0
284,Jalen Williams,BetOnline.ag,player_points,21.5,Over,-125,0.441,-20.66,0.0
285,Pascal Siakam,Bovada,player_points,16.5,Under,170,0.293,-20.77,0.0
286,Luguentz Dort,Bovada,player_points,9.5,Over,110,0.376,-21.03,0.0
287,Jalen Williams,Bovada,player_points,22.5,Over,105,0.385,-21.11,0.0
288,Myles Turner,DraftKings,player_points,13.5,Under,-105,0.399,-22.01,0.0
289,Chet Holmgren,BetRivers,player_points,14.5,Under,100,0.39,-22.03,0.0
290,Obi Toppin,BetRivers,player_points,10.5,Over,120,0.354,-22.05,0.0
291,Chet Holmgren,Bovada,player_points,13.5,Under,150,0.31,-22.47,0.0
292,Andrew Nembhard,Bovada,player_points,13.5,Under,-290,0.572,-23.1,0.0
293,Aaron Nesmith,BetRivers,player_points,12.5,Under,-132,0.436,-23.35,0.0
294,T.J. McConnell,Bovada,player_points,5.5,Under,200,0.254,-23.93,0.0
295,Jalen Williams,Bovada,player_points,23.5,Over,125,0.337,-24.2,0.0
296,Shai Gilgeous-Alexander,Bovada,player_points,29.5,Over,-240,0.535,-24.21,0.0
297,Cason Wallace,BetRivers,player_points,6.5,Over,120,0.344,-24.22,0.0
298,Myles Turner,Bovada,player_points,13.5,Under,-110,0.396,-24.47,0.0
299,Myles Turner,BetRivers,player_points,13.5,Under,-109,0.394,-24.48,0.0
300,Aaron Nesmith,Bovada,player_points,14.5,Under,-300,0.564,-24.79,0.0
301,Myles Turner,BetOnline.ag,player_points,13.5,Under,-110,0.394,-24.85,0.0
302,T.J. McConnell,Bovada,player_points,6.5,Under,135,0.319,-25.1,0.0
303,T.J. McConnell,BetOnline.ag,player_points,7.5,Under,-118,0.405,-25.16,0.0
304,Myles Turner,FanDuel,player_points,13.5,Under,-110,0.39,-25.6,0.0
305,T.J. McConnell,DraftKings,player_points,7.5,Under,-125,0.413,-25.73,0.0
306,Aaron Nesmith,Bovada,player_points,13.5,Under,-220,0.506,-26.39,0.0
307,Luguentz Dort,Bovada,player_points,10.5,Over,150,0.293,-26.74,0.0
308,Aaron Nesmith,BetRivers,player_points,11.5,Under,-106,0.377,-26.81,0.0
309,Andrew Nembhard,BetRivers,player_points,11.5,Under,-136,0.421,-26.96,0.0
310,T.J. McConnell,BetRivers,player_points,7.5,Under,-125,0.406,-26.97,0.0
311,Myles Turner,Bovada,player_points,12.5,Under,120,0.331,-27.24,0.0
312,Andrew Nembhard,Bovada,player_points,12.5,Under,-215,0.496,-27.36,0.0
313,Shai Gilgeous-Alexander,Bovada,player_points,30.5,Over,-200,0.483,-27.51,0.0
314,Chet Holmgren,Bovada,player_points,12.5,Under,200,0.242,-27.53,0.0
315,Aaron Nesmith,FanDuel,player_points,11.5,Under,-112,0.376,-28.76,0.0
