NAME,LINE,SIDE,PREDICTION,MODEL_PROB,IMPLIED_PROB,EDGE,BET_EDGE,ODDS,DECIMAL_ODDS,EV,EV_PERCENT,KELLY_QUARTER,TEAM,OPPONENT
Jonas Valančiūnas,8.5,over,10.9,0.703,0.51,2.4,0.193,-110,1.909,0.3418,34.18,0.094,DEN,SAC
Jalen Suggs,17.5,under,12.4,0.696,0.51,5.1,0.186,-110,1.909,0.3297,32.97,0.0907,ORL,NYK
Ivica Zubac,14.5,over,16.83,0.695,0.52,2.33,0.175,-115,1.87,0.2987,29.87,0.0859,LAC,HOU
Saddiq Bey,16.5,under,12.11,0.688,0.52,4.39,0.168,-113,1.885,0.297,29.7,0.0839,NOP,POR
Cameron Johnson,14.5,under,9.79,0.696,0.53,4.71,0.166,-119,1.84,0.2809,28.09,0.0836,DEN,SAC
Sam Hauser,7.5,over,9.4,0.661,0.51,1.9,0.151,-110,1.909,0.2623,26.23,0.0721,BOS,MIL
Buddy Hield,8.5,under,4.5,0.692,0.54,4.0,0.152,-122,1.82,0.2587,25.87,0.0789,GSW,MIN
Kobe Sanders,4.5,over,6.99,0.726,0.56,2.49,0.166,-137,1.73,0.2554,25.54,0.0875,LAC,HOU
Jalen Duren,18.5,under,14.65,0.653,0.51,3.85,0.143,-110,1.909,0.2469,24.69,0.0679,DET,ATL
Jerami Grant,21.5,under,16.89,0.667,0.53,4.61,0.137,-118,1.847,0.2317,23.17,0.0684,POR,NOP
De'Aaron Fox,20.5,over,22.51,0.65,0.52,2.01,0.13,-112,1.893,0.2297,22.97,0.0643,SAS,OKC
Toumani Camara,13.5,over,15.27,0.625,0.5,1.77,0.125,-105,1.952,0.2205,22.05,0.0579,POR,NOP
Tim Hardaway Jr.,12.5,over,13.85,0.61,0.5,1.35,0.11,-105,1.952,0.1912,19.12,0.0502,DEN,SAC
Chet Holmgren,16.5,under,13.36,0.629,0.52,3.14,0.109,-112,1.893,0.1909,19.09,0.0534,OKC,SAS
Quinten Post,7.5,under,4.86,0.599,0.49,2.64,0.109,-102,1.98,0.1853,18.53,0.0472,GSW,MIN
Jalen Johnson,24.5,under,19.46,0.673,0.56,5.04,0.113,-137,1.73,0.1644,16.44,0.0563,ATL,DET
Shai Gilgeous-Alexander,31.5,under,27.3,0.632,0.54,4.2,0.092,-124,1.806,0.1416,14.16,0.0439,OKC,SAS
Bobby Portis,12.5,over,13.4,0.604,0.53,0.9,0.074,-118,1.847,0.115,11.5,0.0339,MIL,BOS
Deni Avdija,26.5,under,23.47,0.579,0.51,3.03,0.069,-110,1.909,0.1062,10.62,0.0292,POR,NOP
Mikal Bridges,14.5,over,15.57,0.596,0.53,1.07,0.066,-118,1.847,0.1015,10.15,0.0299,NYK,ORL
Kevin Porter Jr.,21.5,under,18.05,0.602,0.54,3.45,0.062,-123,1.813,0.0921,9.21,0.0283,MIL,BOS
Jordan Walsh,7.5,under,5.02,0.581,0.52,2.48,0.061,-115,1.87,0.0858,8.58,0.0247,BOS,MIL
Luguentz Dort,7.5,over,7.83,0.574,0.52,0.33,0.054,-113,1.885,0.0822,8.22,0.0232,OKC,SAS
Duncan Robinson,11.5,over,11.91,0.557,0.5,0.41,0.057,-106,1.943,0.0817,8.17,0.0217,DET,ATL
Cade Cunningham,26.5,over,27.44,0.572,0.52,0.94,0.052,-113,1.885,0.0785,7.85,0.0222,DET,ATL
Nicolas Batum,3.5,over,3.97,0.601,0.55,0.47,0.051,-130,1.769,0.0641,6.41,0.0208,LAC,HOU
Jalen Brunson,28.5,over,28.67,0.533,0.49,0.17,0.043,-102,1.98,0.0551,5.51,0.014,NYK,ORL
Myles Turner,12.5,under,10.25,0.554,0.51,2.25,0.044,-111,1.901,0.0522,5.22,0.0145,MIL,BOS
Nikola Jokić,29.5,over,29.88,0.547,0.51,0.38,0.037,-110,1.909,0.044,4.4,0.0121,DEN,SAC
Brandin Podziemski,10.5,over,10.61,0.545,0.51,0.11,0.035,-110,1.909,0.0408,4.08,0.0112,GSW,MIN
Malik Monk,14.5,under,12.41,0.538,0.52,2.09,0.018,-112,1.893,0.0184,1.84,0.0052,SAC,DEN
Jordan Clarkson,11.5,under,8.88,0.583,0.56,2.62,0.023,-137,1.73,0.009,0.9,0.0031,NYK,ORL
Will Richard,6.5,under,4.9,0.508,0.49,1.6,0.018,-102,1.98,0.0066,0.66,0.0017,GSW,MIN
Kris Dunn,6.5,over,6.64,0.549,0.53,0.14,0.019,-120,1.833,0.0058,0.58,0.0018,LAC,HOU
Desmond Bane,20.5,under,18.74,0.514,0.5,1.76,0.014,-106,1.943,-0.0003,-0.03,0.0,ORL,NYK
Naz Reid,13.5,over,14.12,0.568,0.56,0.62,0.008,-137,1.73,-0.0171,-1.71,0.0,MIN,GSW
Isaiah Stewart,7.5,over,7.68,0.562,0.56,0.18,0.002,-137,1.73,-0.0274,-2.74,0.0,DET,ATL
Onyeka Okongwu,16.5,under,15.04,0.497,0.5,1.46,-0.003,-105,1.952,-0.0287,-2.87,0.0,ATL,DET
Jalen Williams,19.5,under,17.85,0.51,0.53,1.65,-0.02,-118,1.847,-0.0577,-5.77,0.0,OKC,SAS
Anthony Edwards,27.5,under,26.6,0.467,0.5,0.9,-0.033,-107,1.935,-0.0969,-9.69,0.0,MIN,GSW
Trey Murphy III,21.5,under,20.52,0.468,0.51,0.98,-0.042,-109,1.917,-0.102,-10.2,0.0,NOP,POR
Stephon Castle,15.5,under,14.2,0.485,0.54,1.3,-0.055,-125,1.8,-0.1262,-12.62,0.0,SAS,OKC
Julius Randle,20.5,under,19.45,0.47,0.54,1.05,-0.07,-125,1.8,-0.1534,-15.34,0.0,MIN,GSW
Jeremiah Fears,15.5,under,14.68,0.451,0.52,0.82,-0.069,-115,1.87,-0.1567,-15.67,0.0,NOP,POR
Karl-Anthony Towns,21.5,under,21.09,0.44,0.52,0.41,-0.08,-112,1.893,-0.1669,-16.69,0.0,NYK,ORL
OG Anunoby,14.5,under,14.26,0.414,0.5,0.24,-0.086,-104,1.962,-0.1881,-18.81,0.0,NYK,ORL
Cason Wallace,7.5,under,6.82,0.42,0.51,0.68,-0.09,-108,1.926,-0.1918,-19.18,0.0,OKC,SAS
Precious Achiuwa,7.5,under,7.01,0.412,0.5,0.49,-0.088,-104,1.962,-0.1928,-19.28,0.0,SAC,DEN
Vít Krejčí,8.5,under,7.85,0.433,0.56,0.65,-0.127,-137,1.73,-0.2515,-25.15,0.0,ATL,DET
Rudy Gobert,9.5,under,8.81,0.429,0.56,0.69,-0.131,-137,1.73,-0.2575,-25.75,0.0,MIN,GSW
Luke Kennard,6.5,under,6.24,0.404,0.56,0.26,-0.156,-137,1.73,-0.3019,-30.19,0.0,ATL,DET
Jaden Ivey,7.5,under,7.39,0.392,0.56,0.11,-0.168,-137,1.73,-0.3222,-32.22,0.0,DET,ATL
