NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
Cam Spencer,Cooper Flagg,10.5,18.0,over,over,10.56,18.9,0.55,0.608,0.5,0.56,0.335,0.28,0.055,0.06,0.9,-105,-137,238,3.38,0.1318,13.18,0.0138
Kon Knueppel,Devin Vassell,18.5,11.5,under,under,16.3,9.67,0.556,0.527,0.52,0.49,0.293,0.255,0.038,2.2,1.83,-113,100,277,3.77,0.1044,10.44,0.0094
Matas Buzelis,Walter Clayton Jr.,14.0,8.0,under,over,11.29,8.54,0.602,0.605,0.56,0.56,0.364,0.314,0.051,2.71,0.54,-137,-137,199,2.99,0.0896,8.96,0.0113
De'Andre Hunter,Brandin Podziemski,15.5,8.5,over,over,15.54,8.59,0.541,0.557,0.52,0.52,0.301,0.27,0.031,0.04,0.09,-115,-115,250,3.5,0.0545,5.45,0.0054
Quinten Post,Tristan da Silva,10.5,8.5,under,over,8.86,8.74,0.512,0.565,0.5,0.55,0.29,0.275,0.015,1.64,0.24,-107,-130,242,3.42,-0.0097,-0.97,0.0
KJ Simpson,Luguentz Dort,13.0,7.5,over,under,13.16,6.15,0.552,0.485,0.56,0.5,0.268,0.28,-0.012,0.16,1.35,-137,-105,238,3.38,-0.0955,-9.55,0.0
Dyson Daniels,T.J. McConnell,11.5,8.5,under,under,10.48,7.08,0.461,0.493,0.49,0.51,0.228,0.25,-0.022,1.02,1.42,100,-110,282,3.82,-0.1307,-13.07,0.0
VJ Edgecombe,Julius Randle,14.5,23.5,under,under,13.54,22.72,0.458,0.448,0.49,0.48,0.205,0.235,-0.03,0.96,0.78,100,105,310,4.1,-0.1588,-15.88,0.0
Kevin Love,Anthony Davis,5.0,22.5,under,under,3.58,21.63,0.489,0.461,0.56,0.51,0.225,0.286,-0.06,1.42,0.87,-137,-110,230,3.3,-0.2563,-25.63,0.0
Jock Landale,P.J. Washington,11.5,15.5,under,under,10.98,14.68,0.417,0.436,0.49,0.5,0.182,0.245,-0.063,0.52,0.82,101,-106,291,3.91,-0.2889,-28.89,0.0
Jalen Duren,Chet Holmgren,17.5,16.5,under,under,16.9,15.69,0.425,0.446,0.5,0.52,0.189,0.26,-0.071,0.6,0.81,-105,-113,268,3.68,-0.3027,-30.27,0.0
Moses Moody,De'Aaron Fox,8.5,20.5,under,under,7.77,19.92,0.424,0.426,0.5,0.5,0.181,0.25,-0.069,0.73,0.58,-105,-106,279,3.79,-0.314,-31.4,0.0
Jimmy Butler III,Goga Bitadze,19.0,5.5,under,under,18.08,4.76,0.451,0.404,0.56,0.5,0.182,0.28,-0.098,0.92,0.74,-137,-106,236,3.36,-0.3882,-38.82,0.0
Coby White,Svi Mykhailiuk,22.5,7.5,under,under,21.87,7.14,0.428,0.384,0.54,0.49,0.164,0.265,-0.1,0.63,0.36,-125,100,260,3.6,-0.408,-40.8,0.0
Zach Collins,Jaylen Wells,6.5,12.5,under,under,6.14,11.99,0.376,0.396,0.49,0.51,0.149,0.25,-0.101,0.36,0.51,100,-109,283,3.83,-0.4303,-43.03,0.0
Tre Jones,Cedric Coward,10.5,15.0,under,under,10.28,14.5,0.379,0.418,0.5,0.56,0.159,0.28,-0.121,0.22,0.5,-106,-137,236,3.36,-0.4674,-46.74,0.0
Patrick Williams,Victor Wembanyama,7.0,18.0,under,under,6.63,17.81,0.391,0.391,0.56,0.56,0.153,0.314,-0.161,0.37,0.19,-137,-137,199,2.99,-0.543,-54.3,0.0
