NAME 1,NAME 2,LINE 1,LINE 2,SIDE 1,SIDE 2,PREDICTION 1,PREDICTION 2,MODEL_PROB 1,MODEL_PROB 2,IMPLIED_PROB 1,IMPLIED_PROB 2,PARLAY_PROB,PARLAY_IMPLIED_PROB,PARLAY_EDGE,EDGE 1,EDGE 2,ODDS 1,ODDS 2,PARLAY_ODDS,PARLAY_DECIMAL,EV,EV_PERCENT,KELLY_QUARTER
DeMar DeRozan,Tyrese Maxey,22.0,28.5,under,over,16.96,30.39,0.7,0.62,0.56,0.5,0.434,0.28,0.154,5.04,1.89,-137,-106,236,3.36,0.4581,45.81,0.0485
Kyle Kuzma,Anthony Black,14.5,15.0,under,under,11.36,10.59,0.619,0.692,0.5,0.56,0.428,0.28,0.148,3.14,4.41,-107,-137,235,3.35,0.4352,43.52,0.0463
Toumani Camara,Tim Hardaway Jr.,13.5,12.5,over,over,15.27,13.85,0.625,0.61,0.51,0.5,0.381,0.255,0.126,1.77,1.35,-110,-105,273,3.73,0.4227,42.27,0.0387
Coby White,Chet Holmgren,22.5,16.5,under,under,18.16,13.36,0.659,0.629,0.54,0.52,0.414,0.281,0.134,4.34,3.14,-125,-112,241,3.41,0.4129,41.29,0.0428
Marvin Bagley III,Quinten Post,11.5,7.5,under,under,8.21,4.86,0.626,0.599,0.52,0.49,0.375,0.255,0.12,3.29,2.64,-114,-102,272,3.72,0.3943,39.43,0.0362
Aaron Holiday,Sion James,8.5,6.5,over,under,9.71,4.0,0.624,0.588,0.52,0.49,0.367,0.255,0.112,1.21,2.5,-115,100,274,3.74,0.3718,37.18,0.0339
Gary Trent Jr.,Cameron Johnson,10.0,14.0,over,under,12.08,9.79,0.672,0.671,0.56,0.56,0.45,0.314,0.137,2.08,4.21,-137,-137,199,2.99,0.347,34.7,0.0436
Kon Knueppel,Donte DiVincenzo,18.5,11.5,under,over,15.47,12.53,0.598,0.599,0.51,0.51,0.358,0.26,0.098,3.03,1.03,-110,-108,268,3.68,0.3185,31.85,0.0297
Josh Giddey,Shai Gilgeous-Alexander,20.5,31.5,under,under,17.28,27.3,0.607,0.632,0.52,0.54,0.383,0.281,0.102,3.22,4.2,-114,-124,239,3.39,0.2993,29.93,0.0313
Kevin Porter Jr.,Jerami Grant,21.5,21.0,under,under,18.15,16.89,0.598,0.643,0.52,0.56,0.384,0.291,0.093,3.35,4.11,-115,-137,223,3.23,0.2407,24.07,0.027
Nicolas Batum,Deni Avdija,3.5,26.5,over,under,4.17,23.52,0.627,0.577,0.55,0.51,0.362,0.281,0.081,0.67,2.98,-130,-108,241,3.41,0.2332,23.32,0.0242
Kobe Sanders,Caris LeVert,4.5,8.5,over,under,5.6,5.83,0.639,0.589,0.56,0.52,0.376,0.291,0.085,1.1,2.67,-137,-114,225,3.25,0.2226,22.26,0.0247
Isaac Okoro,Mikal Bridges,7.5,14.5,over,over,7.92,15.57,0.568,0.596,0.51,0.53,0.339,0.27,0.068,0.42,1.07,-108,-118,256,3.56,0.206,20.6,0.0201
Neemias Queta,Duncan Robinson,10.5,11.5,over,over,10.59,11.91,0.551,0.557,0.49,0.5,0.307,0.245,0.062,0.09,0.41,-102,-106,285,3.85,0.1817,18.17,0.0159
Cade Cunningham,Luguentz Dort,26.5,7.5,over,over,27.44,7.83,0.572,0.574,0.52,0.52,0.329,0.27,0.058,0.94,0.33,-113,-113,255,3.55,0.1662,16.62,0.0163
Dyson Daniels,Brandin Podziemski,11.5,10.5,over,over,12.04,10.61,0.578,0.545,0.53,0.5,0.315,0.265,0.05,0.54,0.11,-118,-106,259,3.59,0.1312,13.12,0.0127
Kyshawn George,Jalen Brunson,15.5,28.5,under,over,13.5,28.67,0.533,0.533,0.49,0.49,0.284,0.24,0.044,2.0,0.17,-102,-102,292,3.92,0.1122,11.22,0.0096
Jordan Walsh,Nikola Jokić,7.5,29.5,under,over,5.02,29.88,0.581,0.547,0.54,0.51,0.318,0.275,0.042,2.48,0.38,-125,-110,244,3.44,0.0926,9.26,0.0095
Ryan Rollins,Miles Bridges,18.5,22.5,under,under,16.17,20.33,0.555,0.541,0.52,0.51,0.3,0.265,0.035,2.33,2.17,-115,-108,260,3.6,0.0808,8.08,0.0078
Jose Alvarado,Matas Buzelis,8.0,14.5,over,under,8.58,12.8,0.594,0.513,0.56,0.49,0.305,0.274,0.03,0.58,1.7,-137,100,246,3.46,0.0537,5.37,0.0055
Peyton Watson,Nickeil Alexander-Walker,12.0,21.0,under,under,9.31,18.08,0.59,0.585,0.56,0.56,0.345,0.314,0.032,2.69,2.92,-137,-137,199,2.99,0.0325,3.25,0.0041
Malik Monk,Will Richard,14.5,6.5,under,under,12.41,4.9,0.538,0.508,0.52,0.49,0.273,0.255,0.019,2.09,1.6,-112,-102,275,3.75,0.0255,2.55,0.0023
Myles Turner,Desmond Bane,12.5,20.5,under,under,10.43,18.74,0.541,0.514,0.53,0.5,0.278,0.265,0.013,2.07,1.76,-118,-106,259,3.59,-0.0015,-0.15,0.0
John Collins,Keegan Murray,11.5,16.5,under,over,10.04,16.62,0.497,0.538,0.49,0.53,0.267,0.26,0.008,1.46,0.12,-102,-117,267,3.67,-0.0192,-1.92,0.0
Onyeka Okongwu,Tre Jones,16.5,12.5,under,over,15.04,12.81,0.497,0.556,0.5,0.56,0.277,0.28,-0.003,1.46,0.31,-105,-132,243,3.43,-0.0514,-5.14,0.0
Jaylon Tyson,Jalen Williams,15.5,19.5,under,under,13.46,17.85,0.531,0.51,0.54,0.52,0.271,0.281,-0.01,2.04,1.65,-122,-114,242,3.42,-0.0737,-7.37,0.0
Vít Krejčí,Nikola Vučević,9.5,15.5,under,over,7.85,15.56,0.511,0.536,0.53,0.56,0.274,0.297,-0.023,1.65,0.06,-118,-137,220,3.2,-0.1231,-12.31,0.0
Darius Garland,Anthony Edwards,16.5,27.5,under,under,14.82,26.6,0.511,0.467,0.54,0.5,0.238,0.27,-0.032,1.68,0.9,-125,-106,250,3.5,-0.1657,-16.57,0.0
Trey Murphy III,Keon Ellis,21.5,6.5,under,under,20.52,5.1,0.468,0.492,0.51,0.53,0.23,0.27,-0.04,0.98,1.4,-110,-121,249,3.49,-0.1962,-19.62,0.0
Kris Murray,Stephon Castle,6.5,15.5,under,under,5.6,14.2,0.447,0.485,0.49,0.54,0.217,0.265,-0.047,0.9,1.3,100,-125,260,3.6,-0.2182,-21.82,0.0
Bruce Brown,Karl-Anthony Towns,8.5,21.5,under,under,7.34,21.09,0.471,0.44,0.54,0.52,0.207,0.281,-0.074,1.16,0.41,-124,-112,242,3.42,-0.2913,-29.13,0.0
Julius Randle,OG Anunoby,20.5,14.5,under,under,19.45,14.26,0.47,0.414,0.56,0.5,0.195,0.28,-0.085,1.05,0.24,-137,-104,239,3.39,-0.34,-34.0,0.0
Precious Achiuwa,Rudy Gobert,7.5,9.5,under,under,7.01,8.81,0.412,0.429,0.5,0.52,0.177,0.26,-0.083,0.49,0.69,-103,-112,273,3.73,-0.3412,-34.12,0.0
Ausar Thompson,Cason Wallace,11.5,7.5,under,under,10.92,6.82,0.424,0.42,0.52,0.51,0.178,0.265,-0.087,0.58,0.68,-112,-108,265,3.65,-0.3506,-35.06,0.0
Kris Dunn,Naz Reid,7.5,14.5,under,under,6.64,14.12,0.451,0.432,0.55,0.53,0.195,0.292,-0.097,0.86,0.38,-128,-119,228,3.28,-0.3615,-36.15,0.0
Bobby Portis,Pascal Siakam,13.5,23.5,under,under,12.95,22.66,0.429,0.458,0.53,0.56,0.197,0.297,-0.1,0.55,0.84,-118,-137,220,3.2,-0.3712,-37.12,0.0
Josh Okogie,Jeremiah Fears,6.0,15.0,under,under,5.41,14.68,0.42,0.414,0.56,0.56,0.174,0.314,-0.14,0.59,0.32,-137,-137,199,2.99,-0.4799,-47.99,0.0
