PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD
Jalen Brunson,1628973,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,22,7,7,8,26,0.308,1,6,0.167,5,6,0.833,5,2,1,0,5,-3,38.9,0.768,0.3269230769230769,G,,119.2,118.2,123.1,119.0,-3.8,0.106,0.054,0.083,0.292,0.327,1.4,0.333,0.384,92.58,90.62,0.059,78,75.52,0.338,41:19,4.14,3.08,7,3,10,101,0,0,59,5,13,0.385,3,13,0.231,2,2,1.0,4.0,4.0,4.0,10.0,21.0,4.0,11.0,38.0,3.0,1.0,7.0
Mitchell Robinson,1629011,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,8,1,12,3,5,0.6,0,0,,2,2,1.0,7,5,1,4,1,20,37.9,1.361,0.6,,,132.8,128.1,100.0,97.8,32.8,0.212,0.167,0.19,0.048,0.6,1.0,0.095,0.68,93.63,90.94,0.136,58,75.78,0.096,30:21,3.86,2.11,10,9,19,26,0,0,19,2,4,0.5,1,1,1.0,6,8,0.75,2.0,6.0,2.0,6.0,12.0,6.0,6.0,28.0,0.0,3.0,1.0
Tyrese Maxey,1630178,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,33,4,2,14,26,0.538,3,9,0.333,2,2,1.0,0,2,0,2,3,-4,44.4,1.228,0.5961538461538461,G,,115.9,110.7,122.2,120.6,-6.4,0.0,0.039,0.021,0.211,0.596,1.33,0.319,0.614,92.28,89.57,0.138,82,74.65,0.32,43:40,4.23,3.31,3,5,8,91,1,1,56,5,8,0.625,9,18,0.5,1,1,1.0,5.0,0.0,6.0,22.0,13.0,24.0,27.0,34.0,2.0,3.0,3.0
Paul Reed,1630194,PHI @ NYK,PHI,1610612755,NYK,0,0042300111,2024-04-20,L,4,0,5,2,3,0.667,0,0,,0,0,,3,2,0,1,0,-21,13.0,1.333,0.6666666666666666,,,34.8,33.3,131.8,128.8,-97.0,0.167,0.125,0.147,0.0,0.667,0.0,0.107,0.667,97.41,94.23,0.261,23,78.52,0.111,11:28,4.28,0.87,7,5,12,17,0,0,14,1,1,1.0,1,2,0.5,1,4,0.25,0.0,4.0,0.0,4.0,5.0,6.0,14.0,6.0,1.0,1.0,0.0
Miles McBride,1630540,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,21,4,3,7,12,0.583,5,7,0.714,2,2,1.0,0,3,1,0,0,37,33.6,1.63,0.7916666666666666,,,142.6,140.5,74.1,72.2,68.5,0.0,0.086,0.045,0.235,0.792,0.0,0.183,0.815,94.18,92.3,0.239,54,76.91,0.189,28:05,4.37,2.22,1,4,5,47,0,0,33,2,5,0.4,5,7,0.714,1,1,1.0,0.0,5.0,8.0,4.0,7.0,6.0,2.0,22.0,0.0,3.0,1.0
Joe Ingles,204060,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,1,2,4,0,2,0.0,0,1,0.0,1,2,0.5,1,3,1,0,0,2,11.8,0.347,0.0,,,93.1,85.7,86.2,84.7,6.9,0.05,0.176,0.108,0.2,0.0,0.0,0.056,0.174,100.0,95.02,0.076,29,79.18,0.056,14:39,4.09,1.07,1,5,5,24,0,0,20,0,1,0.0,0,1,0.0,1,1,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,16.0,0.0,2.0,1.0
Caris LeVert,1627747,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,5,2,4,2,8,0.25,0,1,0.0,1,2,0.5,2,2,0,0,1,7,11.8,0.563,0.25,,,85.4,86.4,73.7,70.6,11.7,0.077,0.071,0.074,0.167,0.25,2.0,0.188,0.282,97.25,95.84,0.0,41,79.87,0.189,19:47,4.22,1.46,2,4,6,33,0,1,23,2,5,0.4,0,3,0.0,0,0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,9.0,10.0,1.0,2.0,2.0
Georges Niang,1627777,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,5,2,3,1,7,0.143,0,4,0.0,3,4,0.75,0,3,1,0,1,13,13.6,0.571,0.14285714285714285,,,108.2,104.7,83.3,78.9,24.8,0.0,0.094,0.05,0.105,0.143,2.0,0.161,0.285,98.45,94.25,-0.014,49,78.54,0.156,24:42,4.12,1.79,1,6,7,38,0,0,28,0,3,0.0,1,4,0.25,1,1,1.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,16.0,1.0,4.0,3.0
Markelle Fultz,1628365,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,0,1,3,0,4,0.0,0,0,,0,0,,0,3,0,0,0,-4,5.1,0.0,0.0,,,68.0,61.8,84.0,81.9,-16.0,0.0,0.188,0.081,0.167,0.0,0.0,0.125,0.0,99.52,93.6,-0.111,25,78.0,0.127,12:49,4.7,1.08,3,4,7,27,0,1,23,0,3,0.0,0,1,0.0,1,1,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,14.0,1.0,2.0,0.0
Wendell Carter Jr.,1628976,ORL @ CLE,ORL,1610612753,CLE,0,0042300131,2024-04-20,L,3,0,2,1,3,0.333,1,2,0.5,0,0,,0,2,0,0,2,-8,3.4,1.0,0.5,,,70.0,66.0,103.6,97.8,-33.6,0.0,0.125,0.051,0.0,0.5,0.0,0.132,0.5,98.26,92.7,-0.038,30,77.25,0.136,15:01,4.1,1.1,4,2,6,18,0,0,13,0,1,0.0,1,2,0.5,1,2,0.5,0.0,0.0,0.0,0.0,7.0,0.0,7.0,20.0,0.0,2.0,1.0
