,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN_x,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,MIN_y,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT
20,20,Stephen Curry,201939,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,33,33,7,6,10,22,0.455,4,13,0.308,9,9,1.0,1,5,4,1,4,1,20,61.7,1.271,0.5454545454545454,G,,122.0,119.8,100.0,96.1,22.0,0.025,0.143,0.08,0.269,0.545,1.75,0.315,0.636,121.98,118.52,0.194,82.0,98.77,0.324,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,32:48,4.57,2.66,2.0,8.0,10.0,75.0,2.0,0.0,45.0,4.0,8.0,0.5,6.0,14.0,0.429,4.0,6.0,0.667
21,21,Andrew Wiggins,203952,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,29,20,4,6,8,14,0.571,4,7,0.571,0,0,,1,5,1,1,1,5,25,38.2,1.429,0.7142857142857143,F,,134.2,131.6,100.0,97.4,34.2,0.031,0.161,0.095,0.148,0.714,4.0,0.19,0.714,121.69,118.92,0.115,73.0,99.1,0.189,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,29:28,4.15,2.17,3.0,11.0,13.0,41.0,1.0,1.0,26.0,1.0,3.0,0.333,7.0,11.0,0.636,4.0,4.0,1.0
22,22,Kevon Looney,1626172,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,21,7,2,6,3,4,0.75,0,0,,1,1,1.0,2,4,1,0,0,2,30,20.2,1.577,0.75,C,,141.5,143.5,86.5,88.1,55.0,0.1,0.19,0.146,0.087,0.75,0.0,0.07,0.788,117.37,119.23,0.098,53.0,99.36,0.071,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,21:08,4.33,1.62,3.0,5.0,8.0,33.0,0.0,0.0,29.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,3.0,1.0
23,23,James Wiseman,1630164,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,17,8,0,7,4,6,0.667,0,0,,0,4,0.0,1,6,0,1,0,2,-11,19.4,1.031,0.6666666666666666,,,61.5,60.7,92.1,86.6,-30.6,0.043,0.273,0.156,0.0,0.667,0.0,0.17,0.515,116.13,111.89,0.215,39.0,93.24,0.188,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,16:31,4.26,1.27,7.0,10.0,16.0,29.0,0.0,0.0,22.0,2.0,4.0,0.5,2.0,2.0,1.0,4.0,6.0,0.667
24,24,Matt Ryan,1630346,LAL @ GSW,LAL,1610612747,GSW,0,0022200002,2022-10-18,L,18,3,0,1,1,4,0.25,1,3,0.333,0,0,,0,1,1,0,1,2,1,6.2,0.75,0.375,,,92.7,87.8,88.1,93.1,4.6,0.0,0.045,0.023,0.0,0.375,0.0,0.111,0.375,111.86,111.81,-0.017,41.0,93.17,0.11,"OCT 18, 2022",240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,93.16239316239316,11.0,4.0,48.0,0.4545454545454545,1610612744,93.16239316239316,117.0,116.56,116.12,17:49,4.56,1.46,0.0,2.0,2.0,21.0,1.0,1.0,14.0,1.0,2.0,0.5,0.0,2.0,0.0,0.0,4.0,0.0
25,25,Moses Moody,1630541,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,8,5,0,1,2,4,0.5,1,3,0.333,0,0,,0,1,0,0,0,0,1,6.2,1.25,0.625,,,105.6,109.7,105.9,101.4,-0.3,0.0,0.125,0.063,0.0,0.625,0.0,0.211,0.625,111.02,110.77,0.129,18.0,92.31,0.231,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,7:35,4.48,0.6,0.0,4.0,4.0,7.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0
26,26,Scotty Pippen Jr.,1630590,LAL @ GSW,LAL,1610612747,GSW,0,0022200002,2022-10-18,L,2,2,0,0,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,3,2.0,0.0,,,,125.0,133.0,50.0,66.7,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.136,86.91,102.86,0.4,4.0,85.71,0.266,"OCT 18, 2022",240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,93.16239316239316,11.0,4.0,48.0,0.4545454545454545,1610612744,93.16239316239316,117.0,116.56,116.12,1:52,4.55,0.16,0.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,Max Christie,1631108,LAL @ GSW,LAL,1610612747,GSW,0,0022200002,2022-10-18,L,2,3,0,1,1,1,1.0,1,1,1.0,0,0,,0,1,0,0,0,0,3,4.2,3.0,1.5,,,125.0,133.0,50.0,66.7,75.0,0.0,0.5,0.25,0.0,1.5,0.0,0.25,1.5,86.91,102.86,0.8,4.0,85.71,0.266,"OCT 18, 2022",240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,93.16239316239316,11.0,4.0,48.0,0.4545454545454545,1610612744,93.16239316239316,117.0,116.56,116.12,1:52,3.63,0.13,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
28,28,Ryan Rollins,1631157,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,2,0,1,1,0,1,0.0,0,0,,0,0,,0,1,0,0,0,2,-3,2.7,0.0,0.0,,,50.0,66.7,125.0,133.0,-75.0,0.0,0.5,0.25,1.0,0.0,0.0,0.25,0.0,86.91,102.86,-0.2,4.0,85.71,0.333,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,1:52,4.75,0.17,1.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,29,Jonathan Kuminga,1630228,GSW vs. LAL,GSW,1610612744,LAL,1,0022200002,2022-10-18,W,13,0,0,3,0,3,0.0,0,2,0.0,0,0,,1,2,0,1,2,2,-8,4.6,0.0,0.0,,,55.2,54.0,80.0,77.2,-24.8,0.063,0.105,0.086,0.0,0.0,0.0,0.147,0.0,111.55,108.4,-0.25,29.0,90.33,0.158,"OCT 18, 2022",240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,105.92490527040992,12.0,4.0,48.0,0.425531914893617,1610612747,105.92490527040992,116.12,116.56,117.0,13:04,4.27,1.02,1.0,3.0,4.0,14.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
