Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Jalen Duren,C,PTS,21.5,Minnesota Timberwolves,-113,-109,0.531,0.522,16.49,-26.75,23.4,23.5,6.35,-0.299,0.618,0.382,0.6,0.6,0.6,27.02,6.45,0.27,0.05,9.0,2.0,-1.5,221.0,112.2,6,101.42,9
Devin Booker,SG,PTS+AST,32.5,Utah Jazz,-105,-105,0.512,0.512,15.97,-20.73,34.5,32.5,8.4,-0.238,0.594,0.406,0.2,0.5,0.4,34.54,1.51,0.33,0.07,43.67,6.0,-16.5,231.5,120.7,29,102.95,2
Tre Jones,PG,PTS+AST,19.5,Memphis Grizzlies,-120,-102,0.545,0.505,15.5,-26.73,21.1,22.5,4.84,-0.331,0.63,0.37,0.8,0.7,0.53,29.39,2.99,0.2,0.03,11.67,3.0,-4.5,246.0,117.2,22,101.41,10
Dyson Daniels,PG,PTS,12.5,Sacramento Kings,-105,-115,0.512,0.535,15.19,-23.35,14.0,14.0,6.57,-0.228,0.59,0.41,0.6,0.6,0.53,30.86,4.46,0.15,0.03,9.5,2.0,-14.5,236.5,120.2,28,100.31,17
Nickeil Alexander-Walker,SG,PTS+REB+AST,27.5,Sacramento Kings,-109,-104,0.522,0.51,15.05,-21.54,29.9,27.5,9.47,-0.253,0.6,0.4,0.6,0.5,0.33,32.3,4.37,0.22,0.04,16.0,5.0,-14.5,236.5,120.2,28,100.31,17
Devin Booker,SG,PTS+REB,29.5,Utah Jazz,-118,-110,0.541,0.524,14.54,-27.45,32.5,32.5,9.85,-0.305,0.62,0.38,0.2,0.6,0.53,34.54,1.51,0.33,0.07,40.33,6.0,-16.5,231.5,120.7,29,102.95,2
Dyson Daniels,PG,PTS+REB,19.5,Sacramento Kings,-105,-118,0.512,0.541,14.41,-23.52,21.2,22.5,7.83,-0.217,0.586,0.414,0.6,0.6,0.47,30.86,4.46,0.15,0.03,16.5,2.0,-14.5,236.5,120.2,28,100.31,17
Josh Giddey,SG,AST,10.5,Memphis Grizzlies,-120,100,0.545,0.5,13.85,-24.2,11.9,11.5,4.56,-0.307,0.621,0.379,0.6,0.5,0.33,35.72,4.65,0.21,0.03,9.67,3.0,-4.5,246.0,117.2,22,101.41,10
Paul George,SF,REB+AST,8.5,Charlotte Hornets,102,-110,0.495,0.524,13.52,-16.38,8.8,9.0,1.93,-0.155,0.562,0.438,0.6,0.6,0.6,32.48,2.54,0.21,0.06,13.25,4.0,6.5,230.5,113.6,13,97.9,26
Jalen Green,SG,3PM,2.5,Utah Jazz,-113,-105,0.531,0.512,12.91,-21.71,3.0,3.0,2.0,-0.25,0.599,0.401,0.4,0.6,0.47,32.11,2.98,0.31,0.05,4.67,3.0,-16.5,231.5,120.7,29,102.95,2
