Player,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L5,Std Stat L5,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L5,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Amen Thompson,AST,5.5,Atlanta Hawks,105,-115,0.488,0.535,-3.24,-1.29,5.4,1.67,0.472,0.528,0.4,0.4,0.33,38.35,-3.5,227.0,113.1,11,102.82,2
Deni Avdija,PTS+AST,29.5,Minnesota Timberwolves,-110,-110,0.524,0.524,-3.78,-5.31,29.6,5.9,0.504,0.496,0.4,0.3,0.27,33.99,2.5,231.5,112.8,9,101.55,9
Deni Avdija,PTS+REB,29.5,Minnesota Timberwolves,-108,-114,0.519,0.533,-4.47,-5.39,29.4,8.2,0.496,0.504,0.4,0.3,0.33,33.99,2.5,231.5,112.8,9,101.55,9
Danny Wolf,PTS+REB+AST,19.5,New York Knicks,-110,-106,0.524,0.515,-5.31,-2.05,19.4,5.77,0.496,0.504,0.4,0.5,0.4,25.74,17.5,214.5,111.9,6,98.41,24
Onyeka Okongwu,PTS,13.5,Houston Rockets,120,-108,0.455,0.519,-5.62,9.97,12.4,5.22,0.429,0.571,0.4,0.4,0.47,31.28,3.5,227.0,112.4,8,96.68,29
Duncan Robinson,PTS,11.5,Golden State Warriors,-104,-114,0.51,0.533,-6.04,-2.2,11.2,6.91,0.479,0.521,0.6,0.5,0.53,25.19,-5.0,217.0,113.5,14,100.24,16
Payton Pritchard,3PM,2.5,Memphis Grizzlies,-105,-113,0.512,0.531,-6.29,-1.98,2.4,1.82,0.48,0.52,0.4,0.4,0.47,34.3,-15.0,229.0,116.5,22,101.55,10
Deni Avdija,PTS,23.5,Minnesota Timberwolves,-103,-118,0.507,0.541,-7.57,-1.9,22.8,6.06,0.469,0.531,0.4,0.3,0.33,33.99,2.5,231.5,112.8,9,101.55,9
Rudy Gobert,PTS,12.5,Portland Trail Blazers,-102,-110,0.505,0.524,-9.3,3.47,11.8,7.66,0.458,0.542,0.4,0.3,0.4,31.17,-2.5,231.5,114.7,18,101.95,7
Mikal Bridges,REB+AST,7.5,Brooklyn Nets,-105,-120,0.512,0.545,-11.36,0.1,7.2,2.86,0.454,0.546,0.4,0.3,0.27,27.45,-17.5,214.5,118.2,27,97.33,27
Ayo Dosunmu,PTS+REB+AST,26.5,Portland Trail Blazers,-112,-110,0.528,0.524,-11.41,1.56,25.8,8.07,0.468,0.532,0.4,0.2,0.13,28.81,-2.5,231.5,114.7,18,101.95,7
Duncan Robinson,3PM,2.5,Golden State Warriors,-115,-108,0.535,0.519,-11.57,1.5,2.4,2.07,0.473,0.527,0.4,0.4,0.47,25.19,-5.0,217.0,113.5,14,100.24,16
Rudy Gobert,BLK,1.5,Portland Trail Blazers,-115,-102,0.535,0.505,-11.76,4.56,1.4,1.67,0.472,0.528,0.4,0.3,0.4,31.17,-2.5,231.5,114.7,18,101.95,7
Scottie Barnes,REB+AST,11.5,Denver Nuggets,-104,-105,0.51,0.512,-12.32,7.97,11.0,4.12,0.447,0.553,0.2,0.1,0.33,33.1,7.0,238.5,115.8,21,99.36,20
Drake Powell,PTS,7.5,New York Knicks,-104,-113,0.51,0.531,-12.91,4.8,7.0,4.18,0.444,0.556,0.6,0.3,0.27,23.39,17.5,214.5,111.9,6,98.41,24
Toumani Camara,PTS+REB+AST,18.5,Minnesota Timberwolves,-110,-108,0.524,0.519,-13.14,4.96,18.0,5.15,0.455,0.545,0.6,0.7,0.73,30.29,2.5,231.5,112.8,9,101.55,9
Ayo Dosunmu,PTS,17.5,Portland Trail Blazers,-115,-104,0.535,0.51,-13.25,5.14,17.0,4.53,0.464,0.536,0.6,0.3,0.27,28.81,-2.5,231.5,114.7,18,101.95,7
Sam Hauser,PTS+REB+AST,14.5,Memphis Grizzlies,100,-125,0.5,0.556,-13.4,2.06,13.6,6.8,0.433,0.567,0.4,0.4,0.53,26.37,-15.0,229.0,116.5,22,101.55,10
Payton Pritchard,PTS+AST,21.5,Memphis Grizzlies,-114,-105,0.533,0.512,-13.46,5.23,20.4,7.64,0.461,0.539,0.6,0.6,0.6,34.3,-15.0,229.0,116.5,22,101.55,10
Neemias Queta,PTS,10.5,Memphis Grizzlies,-110,-104,0.524,0.51,-15.62,9.45,9.2,8.41,0.442,0.558,0.2,0.3,0.27,27.69,-15.0,229.0,116.5,22,101.55,10
Jamal Murray,PTS,23.5,Toronto Raptors,-105,-110,0.512,0.524,-17.8,10.54,21.0,13.66,0.421,0.579,0.4,0.5,0.47,34.87,-7.0,238.5,112.0,7,99.25,22
Danny Wolf,PTS,11.5,New York Knicks,102,-125,0.495,0.556,-18.39,7.28,10.0,3.81,0.404,0.596,0.4,0.4,0.4,25.74,17.5,214.5,111.9,6,98.41,24
Jamal Murray,PTS+REB,27.5,Toronto Raptors,-118,-105,0.541,0.512,-18.53,9.14,25.8,11.73,0.441,0.559,0.4,0.6,0.6,34.87,-7.0,238.5,112.0,7,99.25,22
Jamal Murray,PTS+AST,30.5,Toronto Raptors,-106,-115,0.515,0.535,-19.54,9.56,27.6,14.15,0.414,0.586,0.6,0.5,0.47,34.87,-7.0,238.5,112.0,7,99.25,22
