BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
Underdog,player_points,Immanuel Quickley,Under,16.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,R.J. Barrett,Over,17.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,R.J. Barrett,Under,17.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,P.J. Washington,Over,14.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,P.J. Washington,Under,14.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Gradey Dick,Over,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Gradey Dick,Under,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Dereck Lively II,Over,6.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Dereck Lively II,Under,6.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jakob Poeltl,Over,10.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jakob Poeltl,Under,10.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Naji Marshall,Over,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Naji Marshall,Under,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Sandro Mamukelashvili,Over,5.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Sandro Mamukelashvili,Under,5.5,-137,2025-10-26,2025-10-25T22:46:07Z
PrizePicks,player_points,Nikola Vucevic,Over,19.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Nikola Vucevic,Under,19.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Wendell Carter Jr,Over,10.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Wendell Carter Jr,Under,10.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Franz Wagner,Over,23.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Franz Wagner,Under,23.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Ayo Dosunmu,Over,11.0,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Ayo Dosunmu,Under,11.0,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Paolo Banchero,Over,26.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Paolo Banchero,Under,26.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Josh Giddey,Over,19.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Josh Giddey,Under,19.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Jalen Smith,Over,6.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Jalen Smith,Under,6.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Tristan da Silva,Over,8.0,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Tristan da Silva,Under,8.0,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Matas Buzelis,Over,16.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Matas Buzelis,Under,16.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Tre Jones,Over,10.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Tre Jones,Under,10.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Desmond Bane,Over,19.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Desmond Bane,Under,19.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Isaac Okoro,Over,7.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Isaac Okoro,Under,7.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Tyus Jones,Over,8.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Tyus Jones,Under,8.5,-137,2025-10-25,2025-10-25T22:42:46Z
PrizePicks,player_points,Luguentz Dort,Over,10.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Luguentz Dort,Under,10.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Onyeka Okongwu,Over,16.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Onyeka Okongwu,Under,16.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Aaron Wiggins,Over,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Aaron Wiggins,Under,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Jaylin Williams,Over,4.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Jaylin Williams,Under,4.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Chet Holmgren,Over,18.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Chet Holmgren,Under,18.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Cason Wallace,Over,9.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Cason Wallace,Under,9.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Trae Young,Over,24.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Trae Young,Under,24.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Shai Gilgeous-Alexander,Over,33.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Shai Gilgeous-Alexander,Under,33.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Dyson Daniels,Over,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Dyson Daniels,Under,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Isaiah Hartenstein,Over,9.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Isaiah Hartenstein,Under,9.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Ajay Mitchell,Over,12.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Ajay Mitchell,Under,12.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Luke Kennard,Over,8.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Luke Kennard,Under,8.5,-137,2025-10-25,2025-10-25T22:45:54Z
PrizePicks,player_points,Miles Bridges,Over,17.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Miles Bridges,Under,17.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,LaMelo Ball,Over,22.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,LaMelo Ball,Under,22.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Brandon Miller,Over,19.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Brandon Miller,Under,19.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Kelly Oubre Jr,Over,13.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Kelly Oubre Jr,Under,13.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Tre Mann,Over,8.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Tre Mann,Under,8.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Joel Embiid,Over,17.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Joel Embiid,Under,17.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Tyrese Maxey,Over,27.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Tyrese Maxey,Under,27.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Tidjane Salaun,Over,4.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Tidjane Salaun,Under,4.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Adem Bona,Over,5.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Adem Bona,Under,5.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Moussa Diabate,Over,6.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Moussa Diabate,Under,6.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Quentin Grimes,Over,13.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Quentin Grimes,Under,13.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,VJ Edgecombe,Over,18.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,VJ Edgecombe,Under,18.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Kon Knueppel,Over,8.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Kon Knueppel,Under,8.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Collin Sexton,Over,11.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Collin Sexton,Under,11.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Ryan Kalkbrenner,Over,8.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Ryan Kalkbrenner,Under,8.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Dominick Barlow,Over,9.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Dominick Barlow,Under,9.5,-137,2025-10-25,2025-10-25T22:45:56Z
PrizePicks,player_points,Jaren Jackson Jr,Over,22.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Jaren Jackson Jr,Under,22.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Ja Morant,Over,25.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Ja Morant,Under,25.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Aaron Nesmith,Over,13.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Aaron Nesmith,Under,13.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Bennedict Mathurin,Over,22.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Bennedict Mathurin,Under,22.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Santi Aldama,Over,11.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Santi Aldama,Under,11.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Obi Toppin,Over,14.5,-137,2025-10-26,2025-10-25T22:45:54Z
PrizePicks,player_points,Obi Toppin,Under,14.5,-137,2025-10-26,2025-10-25T22:45:54Z
