BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
DraftKings,player_points,Kel'el Ware,Under,11.5,-117,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Kris Dunn,Over,8.5,-118,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Kris Dunn,Under,8.5,-108,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Davion Mitchell,Over,8.5,100,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Davion Mitchell,Under,8.5,-128,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Nicolas Batum,Over,5.5,-109,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Nicolas Batum,Under,5.5,-117,2025-12-02,2025-12-01T18:43:20Z
DraftKings,player_points,Michael Porter Jr,Over,23.5,-105,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Michael Porter Jr,Under,23.5,-121,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Miles Bridges,Over,19.5,-109,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Miles Bridges,Under,19.5,-117,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Brandon Miller,Over,19.5,-107,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Brandon Miller,Under,19.5,-119,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,LaMelo Ball,Over,19.5,-103,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,LaMelo Ball,Under,19.5,-123,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Kon Knueppel,Over,15.5,-125,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Kon Knueppel,Under,15.5,-102,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Noah Clowney,Over,15.5,-123,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Noah Clowney,Under,15.5,-104,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Collin Sexton,Over,13.5,-119,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Collin Sexton,Under,13.5,-107,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Nicolas Claxton,Over,13.5,-118,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Nicolas Claxton,Under,13.5,-108,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Egor Demin,Over,11.5,-104,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Egor Demin,Under,11.5,-122,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Tyrese Martin,Over,10.5,-110,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Tyrese Martin,Under,10.5,-116,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Ziaire Williams,Over,9.5,-113,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Ziaire Williams,Under,9.5,-113,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Day'Ron Sharpe,Over,7.5,-117,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Day'Ron Sharpe,Under,7.5,-109,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Ryan Kalkbrenner,Over,7.5,-117,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Ryan Kalkbrenner,Under,7.5,-109,2025-12-02,2025-12-01T18:43:30Z
DraftKings,player_points,Franz Wagner,Over,24.5,-119,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Franz Wagner,Under,24.5,-107,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Desmond Bane,Over,21.5,-110,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Desmond Bane,Under,21.5,-116,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Josh Giddey,Over,20.5,-103,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Josh Giddey,Under,20.5,-124,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Nikola Vucevic,Over,16.5,-121,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Nikola Vucevic,Under,16.5,-106,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Jalen Suggs,Over,16.5,-118,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Jalen Suggs,Under,16.5,-108,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Ayo Dosunmu,Over,14.5,-122,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Ayo Dosunmu,Under,14.5,-105,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Anthony Black,Over,14.5,-112,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Anthony Black,Under,14.5,-114,2025-12-02,2025-12-01T18:43:17Z
DraftKings,player_points,Matas Buzelis,Over,12.5,-122,2025-12-02,2025-12-01T18:43:17Z
