,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ID,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,USG_PCT_LAST_3,USG_PCT_LAST_5,USG_PCT_LAST_7,PTS_LAST_3,PTS_LAST_5,PTS_LAST_7,STD_PTS_LAST_3,STD_PTS_LAST_5,STD_PTS_LAST_7,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,GUARD,FORWARD,CENTER,TEAM_ATL,TEAM_BKN,TEAM_BOS,TEAM_CHI,TEAM_DAL,TEAM_DEN,TEAM_GSW,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_PHI,TEAM_PHX,TEAM_TOR,TEAM_UTA,OPP_ATL,OPP_BKN,OPP_BOS,OPP_CHI,OPP_DAL,OPP_DEN,OPP_GSW,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_PHI,OPP_PHX,OPP_TOR,OPP_UTA
1884,Jayson Tatum,1628369,BOS vs. GSW,1610612738,1,42100406,2022-06-16,L,40,13,7,3,6,18,0.333,1,4,0.25,0,0,,0,3,3,1,5,3,-2,34.1,0.722,0.722,F,106.4,110.4,-4.0,0.0,0.064,0.035,0.269,1.4,0.253,0.361,96.93,92.51,0.042,77.1,"JUN 16, 2022",240,34,80,0.425,11,28,0.393,11,12,0.917,11,30,41,27,8,8,22,16,90,93.47735770668882,13.0,7.0,44.0,0.4130434782608695,1610612744,93.47735770668882,96.28000000000002,95.90000000000002,95.52,1,0.27,0.29,0.27,21.0,23.4,22.14,7.21,6.11,6.77,24.17,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
984,Frank Ntilikina,1628373,DAL @ PHX,1610612742,0,42100221,2022-05-02,L,2,0,1,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1.5,0.0,0.0,,100.0,75.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.32,84.09,0.143,70.07,"MAY 02, 2022",240,40,85,0.471,16,39,0.41,18,25,0.72,7,29,36,16,6,2,8,22,114,117.5257731958763,3.0,6.0,51.0,0.5054945054945055,1610612756,117.5257731958763,97.0,95.96,94.92,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1071,Frank Ntilikina,1628373,DAL @ PHX,1610612742,0,42100222,2022-05-04,L,5,3,1,0,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,1,1,4.5,3.0,3.0,,127.3,130.0,-2.7,0.0,0.0,0.0,0.333,0.0,0.077,1.5,102.9,107.62,0.125,89.68,"MAY 04, 2022",240,36,79,0.456,17,41,0.415,20,24,0.833,7,18,25,19,7,1,14,26,109,112.88318144159072,6.0,6.0,34.0,0.6447368421052632,1610612756,112.88318144159072,96.56,96.90000000000002,97.24,0,0.04,0.04,0.04,1.5,1.5,1.5,2.12,2.12,2.12,,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1134,Frank Ntilikina,1628373,DAL vs. PHX,1610612742,1,42100223,2022-05-06,W,12,0,0,0,0,0,,0,0,,0,0,,0,0,1,0,0,2,-8,3.0,0.0,0.0,,100.0,130.8,-30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.57,100.03,-0.018,83.36,"MAY 06, 2022",240,40,90,0.444,13,39,0.333,10,13,0.769,8,28,36,25,12,4,8,19,103,107.60551608859171,5.0,1.0,45.0,0.4473684210526316,1610612756,107.60551608859171,95.71999999999998,93.16,90.59999999999998,0,0.03,0.03,0.03,1.0,1.0,1.0,1.73,1.73,1.73,0.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1210,Frank Ntilikina,1628373,DAL vs. PHX,1610612742,1,42100224,2022-05-08,W,9,3,0,2,1,1,1.0,1,1,1.0,0,0,,1,1,1,0,2,3,4,6.4,3.0,3.0,,81.8,66.7,15.2,0.143,0.077,0.1,0.0,0.0,0.125,1.5,100.91,116.39,0.03,96.99,"MAY 08, 2022",240,38,85,0.447,20,44,0.455,15,19,0.789,10,27,37,22,5,1,11,21,111,117.63459092835949,4.0,4.0,44.0,0.4642857142857143,1610612756,117.63459092835949,94.36,95.64,96.92,0,0.07,0.05,0.05,2.0,1.5,1.5,1.73,1.73,1.73,1.5,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1262,Frank Ntilikina,1628373,DAL @ PHX,1610612742,0,42100225,2022-05-10,L,13,3,1,0,1,4,0.25,0,3,0.0,1,1,1.0,0,0,0,0,0,2,-11,4.5,0.676,0.676,,76.9,124.0,-47.1,0.0,0.0,0.0,0.25,0.0,0.138,0.338,95.72,95.87,-0.024,79.9,"MAY 10, 2022",240,27,71,0.38,8,32,0.25,18,27,0.667,6,32,38,9,7,0,16,21,80,86.13264427217916,10.0,2.0,50.0,0.4942528735632184,1610612756,86.13264427217916,92.88,93.46,94.04,0,0.09,0.07,0.07,2.0,1.8,1.8,1.73,1.64,1.64,,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1354,Frank Ntilikina,1628373,DAL vs. PHX,1610612742,1,42100226,2022-05-12,W,21,0,2,1,0,1,0.0,0,1,0.0,0,0,,0,1,4,1,2,4,9,17.2,0.0,0.0,,106.8,84.4,22.4,0.0,0.043,0.024,0.143,1.0,0.065,0.0,103.2,99.97,0.009,83.31,"MAY 12, 2022",240,35,77,0.455,16,39,0.41,27,36,0.75,7,32,39,18,16,4,6,23,113,123.04006968641114,3.0,2.0,45.0,0.3974358974358974,1610612756,123.04006968641114,91.84,94.04,96.24,0,0.11,0.08,0.07,2.0,1.8,1.5,1.73,1.64,1.64,1.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1437,Frank Ntilikina,1628373,DAL @ PHX,1610612742,0,42100227,2022-05-15,W,13,3,1,4,1,4,0.25,1,3,0.333,0,0,,0,4,0,0,2,1,5,7.3,0.75,0.75,,130.8,111.5,19.2,0.0,0.286,0.174,0.077,0.5,0.222,0.375,93.97,96.49,0.034,80.41,"MAY 15, 2022",240,46,81,0.568,19,39,0.487,12,12,1.0,6,37,43,14,9,6,11,17,123,134.75021910604733,8.0,4.0,39.0,0.3793103448275862,1610612756,134.75021910604733,91.28000000000002,91.59999999999998,91.92,0,0.14,0.11,0.09,2.0,1.8,1.71,1.73,1.64,1.6,,2.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1515,Frank Ntilikina,1628373,DAL @ GSW,1610612742,0,42100311,2022-05-18,L,10,0,0,1,0,2,0.0,0,2,0.0,0,0,,0,1,0,0,0,1,-6,1.2,0.0,0.0,,57.9,85.0,-27.1,0.0,0.1,0.042,0.0,0.0,0.095,0.0,85.96,91.2,-0.125,76.0,"MAY 18, 2022",240,31,86,0.36,11,48,0.229,14,21,0.667,9,26,35,14,7,1,13,17,87,87.66626360338574,8.0,7.0,51.0,0.5609756097560976,1610612744,87.66626360338574,99.24,98.14,97.04,0,0.13,0.13,0.1,1.0,1.8,1.71,1.73,1.64,1.6,,1.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1563,Frank Ntilikina,1628373,DAL @ GSW,1610612742,0,42100312,2022-05-20,L,4,0,0,0,0,3,0.0,0,2,0.0,0,0,,0,0,0,0,0,1,-10,0.0,0.0,0.0,,37.5,162.5,-125.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,107.86,108.68,-0.267,90.57,"MAY 20, 2022",240,37,78,0.474,21,45,0.467,22,29,0.759,4,26,30,22,7,5,12,20,117,118.46901579586876,4.0,2.0,43.0,0.5609756097560976,1610612744,118.46901579586876,98.76,98.38,98.0,0,0.23,0.18,0.15,1.0,1.2,1.29,1.73,1.64,1.6,,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1609,Frank Ntilikina,1628373,DAL vs. GSW,1610612742,1,42100313,2022-05-22,L,4,0,1,0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,4,1.5,0.0,0.0,,100.0,44.4,55.6,0.0,0.0,0.0,0.333,0.0,0.125,0.0,96.0,102.0,0.0,85.0,"MAY 22, 2022",240,30,75,0.4,13,45,0.289,27,34,0.794,7,26,33,18,4,2,7,18,100,111.16051578479322,5.0,1.0,47.0,0.4691358024691358,1610612744,111.16051578479322,89.96,88.98,88.0,0,0.2,0.18,0.16,0.0,0.6,1.29,0.0,1.34,1.6,0.75,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1649,Frank Ntilikina,1628373,DAL vs. GSW,1610612742,1,42100314,2022-05-24,W,17,5,1,1,2,2,1.0,1,1,1.0,0,0,,0,1,1,0,0,3,-2,10.7,2.5,2.5,,109.1,102.7,6.4,0.0,0.059,0.03,0.091,0.0,0.059,1.25,94.46,98.63,0.065,82.19,"MAY 24, 2022",240,41,82,0.5,20,43,0.465,17,22,0.773,4,41,45,30,4,6,8,19,119,124.37290969899664,5.0,4.0,42.0,0.4880952380952381,1610612744,124.37290969899664,95.68,96.56,97.44,0,0.19,0.18,0.15,1.67,1.6,1.57,2.89,2.3,2.07,1.6,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1687,Frank Ntilikina,1628373,DAL @ GSW,1610612742,0,42100315,2022-05-26,L,14,6,1,3,2,5,0.4,2,5,0.4,0,0,,1,2,1,0,0,1,-3,14.1,1.2,1.2,,113.8,120.0,-6.2,0.056,0.25,0.115,0.111,0.0,0.143,0.6,97.92,98.39,0.099,81.99,"MAY 26, 2022",240,37,82,0.451,17,42,0.405,19,25,0.76,6,28,34,22,6,4,7,18,110,117.02127659574468,6.0,3.0,51.0,0.5113636363636364,1610612744,117.02127659574468,94.0,92.52000000000002,91.04,0,0.11,0.16,0.15,3.67,2.2,2.0,3.21,3.03,2.65,,2.14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Donovan Mitchell,1628378,UTA @ DAL,1610612762,0,42100171,2022-04-16,W,42,32,6,6,10,29,0.345,2,6,0.333,10,11,0.909,2,4,1,1,3,3,10,51.2,0.946,0.946,G,116.3,103.8,12.5,0.05,0.093,0.072,0.24,2.0,0.394,0.473,93.76,92.53,0.128,77.11,"APR 16, 2022",240,36,83,0.434,7,22,0.318,20,23,0.87,13,40,53,15,3,5,14,25,99,105.18487037824052,8.0,4.0,34.0,0.3815789473684211,1610612742,105.18487037824052,94.12,92.54,90.96,1,0.39,0.39,0.39,32.0,32.0,32.0,,,,,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,Donovan Mitchell,1628378,UTA @ DAL,1610612762,0,42100172,2022-04-18,L,41,34,5,2,13,30,0.433,3,10,0.3,5,5,1.0,2,0,0,0,1,1,-14,42.9,1.056,1.056,G,116.9,133.3,-16.5,0.051,0.0,0.027,0.25,5.0,0.375,0.528,91.14,90.69,0.115,75.58,"APR 18, 2022",240,38,82,0.463,11,29,0.379,17,20,0.85,11,39,50,19,2,4,10,19,104,115.8129175946548,5.0,2.0,31.0,0.4698795180722891,1610612742,115.8129175946548,89.8,89.75999999999999,89.71999999999998,1,0.38,0.38,0.38,33.0,33.0,33.0,1.41,1.41,1.41,,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
373,Donovan Mitchell,1628378,UTA vs. DAL,1610612762,1,42100173,2022-04-21,L,39,32,6,2,10,21,0.476,1,8,0.125,11,12,0.917,0,2,0,1,2,4,4,44.4,1.218,1.218,G,124.1,120.5,3.5,0.0,0.059,0.033,0.25,3.0,0.346,0.609,98.37,97.26,0.139,81.05,"APR 21, 2022",240,39,69,0.565,9,28,0.321,31,33,0.939,1,31,32,20,2,4,14,28,118,122.25445503522587,10.0,1.0,32.0,0.4939759036144578,1610612742,122.25445503522587,96.52,97.58,98.64,1,0.37,0.37,0.37,32.67,32.67,32.67,1.15,1.15,1.15,32.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
543,Donovan Mitchell,1628378,UTA vs. DAL,1610612762,1,42100174,2022-04-23,W,38,23,7,6,7,21,0.333,2,10,0.2,7,9,0.778,1,5,2,0,1,3,-4,45.7,0.921,0.921,G,111.3,115.3,-4.0,0.023,0.132,0.074,0.389,7.0,0.313,0.461,92.61,90.79,0.141,75.65,"APR 23, 2022",240,32,79,0.405,10,35,0.286,26,42,0.619,13,33,46,17,4,3,8,21,100,108.13148788927336,4.0,2.0,43.0,0.4285714285714285,1610612742,108.13148788927336,92.48,91.8,91.12,1,0.34,0.36,0.36,29.67,30.25,30.25,5.86,4.92,4.92,27.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
690,Donovan Mitchell,1628378,UTA @ DAL,1610612762,0,42100175,2022-04-25,L,32,9,1,2,4,15,0.267,0,7,0.0,1,1,1.0,0,2,1,0,4,1,-38,11.9,0.583,0.583,G,57.6,120.0,-62.4,0.0,0.074,0.03,0.1,0.25,0.292,0.291,92.62,90.43,-0.041,75.36,"APR 25, 2022",240,29,77,0.377,3,30,0.1,16,21,0.762,7,33,40,12,8,2,13,24,77,83.47788378143973,6.0,1.0,49.0,0.4352941176470588,1610612742,83.47788378143973,92.24,92.74,93.24,1,0.32,0.34,0.34,21.33,26.0,26.0,11.59,10.42,10.42,,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
861,Donovan Mitchell,1628378,UTA vs. DAL,1610612762,1,42100176,2022-04-28,L,39,23,9,8,9,17,0.529,2,7,0.286,3,4,0.75,1,7,0,1,5,2,3,44.1,1.226,1.226,G,105.3,100.0,5.3,0.026,0.189,0.105,0.429,1.8,0.282,0.613,93.21,93.28,0.181,77.73,"APR 28, 2022",240,36,84,0.429,9,35,0.257,15,20,0.75,11,37,48,20,5,4,11,15,96,103.44827586206895,6.0,4.0,37.0,0.45,1610612742,103.44827586206895,92.8,91.82,90.84,1,0.3,0.32,0.33,18.33,24.2,25.5,8.08,9.88,9.4,26.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,John Collins,1628381,ATL @ MIA,1610612737,0,42100101,2022-04-17,L,21,10,1,4,4,6,0.667,1,2,0.5,1,3,0.333,0,4,1,0,0,0,2,19.3,1.366,1.366,,104.4,100.0,4.4,0.0,0.174,0.1,0.083,0.0,0.149,0.683,102.36,101.33,0.152,84.44,"APR 17, 2022",240,29,75,0.387,10,36,0.278,23,27,0.852,8,30,38,16,8,2,18,19,91,93.9306358381503,12.0,3.0,40.0,0.524390243902439,1610612748,93.9306358381503,96.88,98.90000000000002,100.92,0,0.15,0.15,0.15,10.0,10.0,10.0,,,,,10.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
287,John Collins,1628381,ATL @ MIA,1610612737,0,42100102,2022-04-19,L,29,13,2,10,6,11,0.545,0,1,0.0,1,3,0.333,1,9,1,0,2,2,-6,29.0,1.055,1.055,C,106.5,118.0,-11.6,0.033,0.409,0.192,0.095,1.0,0.197,0.528,103.75,101.73,0.124,84.78,"APR 19, 2022",240,41,87,0.471,12,40,0.3,11,14,0.786,7,33,40,21,6,2,19,26,105,99.847850893876,9.0,6.0,34.0,0.4810126582278481,1610612748,99.847850893876,105.16,103.46,101.76,1,0.17,0.17,0.17,11.5,11.5,11.5,2.12,2.12,2.12,,11.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
442,John Collins,1628381,ATL vs. MIA,1610612737,1,42100103,2022-04-22,W,24,6,2,5,2,6,0.333,1,1,1.0,1,1,1.0,0,5,0,0,0,3,-18,15.0,0.932,0.932,C,95.7,134.0,-38.3,0.0,0.208,0.114,0.133,0.0,0.128,0.466,98.12,94.2,0.058,78.5,"APR 22, 2022",240,41,80,0.513,12,32,0.375,17,21,0.81,5,31,36,23,5,3,11,20,111,116.54766904661908,6.0,3.0,45.0,0.4408602150537634,1610612748,116.54766904661908,95.24,99.36,103.48,1,0.16,0.16,0.16,9.67,9.67,9.67,3.51,3.51,3.51,6.0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
584,John Collins,1628381,ATL vs. MIA,1610612737,1,42100104,2022-04-24,L,22,11,1,2,4,8,0.5,2,4,0.5,1,2,0.5,0,2,0,1,2,5,-23,15.9,1.239,1.239,F,100.0,152.5,-52.5,0.0,0.074,0.043,0.111,0.5,0.268,0.619,88.33,86.33,0.032,71.94,"APR 24, 2022",240,30,75,0.4,15,42,0.357,11,20,0.55,11,30,41,18,2,3,15,21,86,97.9498861047836,8.0,1.0,48.0,0.4347826086956521,1610612748,97.9498861047836,87.8,90.02,92.24,1,0.2,0.19,0.19,10.0,10.0,10.0,3.61,2.94,2.94,8.5,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
760,John Collins,1628381,ATL @ MIA,1610612737,0,42100105,2022-04-26,L,26,7,0,2,3,8,0.375,0,3,0.0,1,1,1.0,1,1,0,0,1,2,-21,8.4,0.829,0.829,F,73.5,111.8,-38.3,0.04,0.04,0.04,0.0,0.0,0.161,0.415,96.25,93.63,0.007,78.02,"APR 26, 2022",240,31,74,0.419,8,25,0.32,24,28,0.857,12,30,42,15,8,2,19,22,94,100.72867552507503,12.0,2.0,33.0,0.4512195121951219,1610612748,100.72867552507503,93.32,95.78000000000002,98.24,1,0.19,0.18,0.18,8.0,9.4,9.4,2.65,2.88,2.88,,10.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,OG Anunoby,1628384,TOR @ PHI,1610612761,0,42100131,2022-04-16,L,33,20,2,7,9,15,0.6,2,5,0.4,0,0,,2,5,0,0,1,2,-11,30.4,1.333,1.333,F,116.1,138.3,-22.2,0.074,0.161,0.121,0.105,2.0,0.232,0.667,90.98,90.09,0.126,75.08,"APR 16, 2022",240,40,82,0.488,12,30,0.4,19,23,0.826,7,28,35,27,1,8,8,26,111,119.20103092783503,6.0,4.0,39.0,0.5119047619047619,1610612755,119.20103092783503,93.12,92.54,91.96,1,0.23,0.23,0.23,20.0,20.0,20.0,,,,,20.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,OG Anunoby,1628384,TOR @ PHI,1610612761,0,42100132,2022-04-18,L,38,26,3,1,10,14,0.714,4,7,0.571,2,2,1.0,0,1,1,0,3,4,-14,31.7,1.747,1.747,F,108.6,125.0,-16.4,0.0,0.034,0.014,0.15,1.0,0.217,0.874,91.59,88.69,0.142,73.91,"APR 18, 2022",240,38,89,0.427,11,32,0.344,10,12,0.833,13,22,35,16,7,4,9,24,97,107.44350908285334,5.0,12.0,41.0,0.5217391304347826,1610612755,107.44350908285334,90.28000000000002,89.74000000000001,89.2,1,0.22,0.22,0.22,23.0,23.0,23.0,4.24,4.24,4.24,,23.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
326,OG Anunoby,1628384,TOR vs. PHI,1610612761,1,42100133,2022-04-20,L,46,26,4,5,8,18,0.444,4,9,0.444,6,9,0.667,3,2,1,1,1,4,1,43.0,1.184,1.184,F,107.1,108.5,-1.4,0.071,0.063,0.068,0.148,4.0,0.245,0.592,88.04,86.96,0.12,72.46,"APR 20, 2022",265,38,86,0.442,13,35,0.371,12,18,0.667,9,23,32,23,9,4,10,21,101,106.40539401601347,5.0,3.0,46.0,0.5135135135135135,1610612755,106.40539401601347,94.92,95.36,95.8,1,0.23,0.23,0.23,24.0,24.0,24.0,3.46,3.46,3.46,26.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
527,OG Anunoby,1628384,TOR vs. PHI,1610612761,1,42100134,2022-04-23,W,31,11,2,5,3,13,0.231,1,7,0.143,4,5,0.8,2,3,1,0,2,4,1,21.0,0.724,0.724,F,103.1,100.0,3.1,0.054,0.103,0.076,0.111,1.0,0.233,0.362,101.05,99.86,0.01,83.22,"APR 23, 2022",240,37,88,0.42,8,34,0.235,28,35,0.8,13,33,46,19,9,6,11,20,110,108.48126232741618,4.0,5.0,41.0,0.425,1610612755,108.48126232741618,101.40000000000002,100.7,100.0,1,0.23,0.23,0.23,21.0,20.75,20.75,8.66,7.09,7.09,18.5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
710,OG Anunoby,1628384,TOR @ PHI,1610612761,0,42100135,2022-04-25,W,39,16,4,5,7,15,0.467,2,9,0.222,0,0,,0,5,2,0,3,1,18,31.0,1.067,1.067,F,111.5,90.8,20.7,0.0,0.128,0.07,0.143,1.33,0.22,0.533,94.1,94.18,0.108,78.48,"APR 25, 2022",240,42,82,0.512,8,31,0.258,11,13,0.846,3,37,40,24,8,6,8,20,103,111.08714408973252,7.0,1.0,37.0,0.382716049382716,1610612755,111.08714408973252,92.71999999999998,94.76,96.8,1,0.23,0.23,0.23,17.67,19.8,19.8,7.64,6.5,6.5,,20.67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
882,OG Anunoby,1628384,TOR vs. PHI,1610612761,1,42100136,2022-04-28,L,29,5,0,1,2,7,0.286,1,4,0.25,0,0,,0,1,1,0,0,3,-26,9.2,0.714,0.714,F,93.0,138.6,-45.6,0.0,0.045,0.02,0.0,0.0,0.109,0.357,93.11,94.24,-0.009,78.53,"APR 28, 2022",240,35,89,0.393,7,35,0.2,20,25,0.8,15,22,37,15,6,1,9,22,97,103.19148936170212,4.0,4.0,47.0,0.5802469135802469,1610612755,103.19148936170212,94.0,93.06,92.12,1,0.19,0.2,0.21,10.67,16.8,17.33,5.51,9.26,8.38,14.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,Bam Adebayo,1628389,MIA vs. ATL,1610612748,1,42100101,2022-04-17,W,28,6,5,6,1,5,0.2,0,0,,4,4,1.0,0,6,1,1,4,2,27,22.7,0.888,0.888,C,119.3,73.2,46.1,0.0,0.182,0.105,0.217,1.25,0.18,0.444,97.65,97.38,0.096,81.15,"APR 17, 2022",240,43,82,0.524,18,38,0.474,11,18,0.611,4,36,40,35,12,3,15,22,115,113.95164486722156,8.0,2.0,38.0,0.3866666666666666,1610612737,113.95164486722156,100.92,98.90000000000002,96.88,1,0.18,0.18,0.18,6.0,6.0,6.0,,,,6.0,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Bam Adebayo,1628389,MIA vs. ATL,1610612748,1,42100102,2022-04-19,W,24,9,3,4,3,6,0.5,0,0,,3,4,0.75,1,3,0,1,4,4,-1,17.3,1.16,1.16,C,111.8,113.7,-2.0,0.056,0.136,0.1,0.188,0.75,0.231,0.58,101.29,103.73,0.038,86.44,"APR 19, 2022",240,38,79,0.481,14,36,0.389,25,29,0.862,4,30,34,21,9,6,14,24,115,113.01100628930818,6.0,2.0,40.0,0.4712643678160919,1610612737,113.01100628930818,101.76,103.46,105.16,1,0.21,0.21,0.21,7.5,7.5,7.5,2.12,2.12,2.12,7.5,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Bam Adebayo,1628389,MIA @ ATL,1610612748,0,42100103,2022-04-22,L,35,13,5,11,5,9,0.556,0,0,,3,3,1.0,2,9,3,0,3,2,11,39.7,1.26,1.26,C,127.9,110.1,17.8,0.053,0.31,0.164,0.192,1.67,0.159,0.63,100.08,93.99,0.149,78.32,"APR 22, 2022",240,41,93,0.441,14,45,0.311,14,17,0.824,11,34,45,30,6,3,14,23,110,106.30073444143795,5.0,3.0,36.0,0.5125,1610612737,106.30073444143795,103.48,99.36,95.24,1,0.19,0.19,0.19,9.33,9.33,9.33,3.51,3.51,3.51,,13.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Bam Adebayo,1628389,MIA @ ATL,1610612748,0,42100104,2022-04-24,W,30,14,1,8,6,11,0.545,0,0,,2,3,0.667,4,4,0,0,1,4,8,24.1,1.136,1.136,C,116.7,101.9,14.8,0.103,0.148,0.121,0.056,1.0,0.186,0.568,87.72,87.17,0.114,72.65,"APR 24, 2022",240,40,92,0.435,13,42,0.31,17,21,0.81,15,33,48,22,8,1,6,23,110,119.25411968777104,2.0,3.0,41.0,0.4,1610612737,119.25411968777104,92.24,90.02,87.8,1,0.19,0.19,0.19,12.0,10.5,10.5,2.65,3.7,3.7,,13.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
