Game,Tipoff,Season,Score,Over_Under,Home_Line
LAC @ MIN,Nov 5 8:00 PM,2021,104-84,215.5,2.5
NOP @ GSW,Nov 5 10:00 PM,2021,85-126,213.5,-9.5
IND @ POR,Nov 5 10:00 PM,2021,106-110,222.5,-6.0
CHA @ SAC,Nov 5 10:00 PM,2021,110-140,231.5,-2.0
HOU @ DEN,Nov 6 5:00 PM,2021,94-95,215.0,-11.5
UTA @ MIA,Nov 6 7:30 PM,2021,115-118,212.0,-3.5
PHI @ CHI,Nov 6 8:00 PM,2021,114-105,215.0,-4.0
BOS @ DAL,Nov 6 8:30 PM,2021,104-107,211.0,-3.5
ATL @ PHX,Nov 6 10:00 PM,2021,117-121,222.0,-3.5
LAL @ POR,Nov 6 10:30 PM,2021,90-105,223.5,-5.5
BKN @ TOR,Nov 7 3:30 PM,2021,116-103,210.5,3.5
CLE @ NYK,Nov 7 6:00 PM,2021,126-109,207.5,-7.5
UTA @ ORL,Nov 7 6:00 PM,2021,100-107,211.0,11.0
IND @ SAC,Nov 7 6:00 PM,2021,94-91,225.0,-2.5
MIL @ WAS,Nov 7 6:00 PM,2021,94-101,219.5,1.0
SAS @ OKC,Nov 7 7:00 PM,2021,94-99,213.5,3.5
HOU @ GSW,Nov 7 8:30 PM,2021,107-120,218.5,-13.0
CHA @ LAC,Nov 7 9:00 PM,2021,106-120,224.5,-6.0
NYK @ PHI,Nov 8 7:00 PM,2021,103-96,213.5,2.0
BKN @ CHI,Nov 8 8:00 PM,2021,95-118,216.5,1.0
MIN @ MEM,Nov 8 8:00 PM,2021,118-125,220.5,-4.5
NOP @ DAL,Nov 8 8:30 PM,2021,92-108,210.5,-9.0
MIA @ DEN,Nov 8 9:00 PM,2021,96-113,203.0,2.0
ATL @ GSW,Nov 8 10:00 PM,2021,113-127,222.5,-3.5
PHX @ SAC,Nov 8 10:00 PM,2021,109-104,224.0,3.5
CHA @ LAL,Nov 8 10:30 PM,2021,123-126,225.5,-2.5
MIL @ PHI,Nov 9 7:30 PM,2021,118-109,215.0,7.0
ATL @ UTA,Nov 9 9:00 PM,2021,98-110,223.0,-8.5
POR @ LAC,Nov 9 10:00 PM,2021,109-117,220.0,-3.0
WAS @ CLE,Nov 10 7:00 PM,2021,97-94,208.5,3.5
BKN @ ORL,Nov 10 7:00 PM,2021,123-90,211.0,10.0
TOR @ BOS,Nov 10 7:30 PM,2021,88-104,206.0,-3.0
DET @ HOU,Nov 10 7:30 PM,2021,112-104,210.5,-2.5
MIL @ NYK,Nov 10 7:30 PM,2021,112-100,216.0,-3.5
DAL @ CHI,Nov 10 8:00 PM,2021,107-117,215.0,-3.5
CHA @ MEM,Nov 10 8:00 PM,2021,118-108,228.0,-4.5
OKC @ NOP,Nov 10 8:00 PM,2021,108-100,208.5,-4.0
SAC @ SAS,Nov 10 8:30 PM,2021,117-136,222.5,-1.0
IND @ DEN,Nov 10 9:00 PM,2021,98-101,205.0,3.5
POR @ PHX,Nov 10 9:00 PM,2021,109-119,225.0,-5.0
MIN @ GSW,Nov 10 10:00 PM,2021,110-123,222.5,-7.5
MIA @ LAL,Nov 10 10:00 PM,2021,117-120,215.0,5.5
TOR @ PHI,Nov 11 7:00 PM,2021,115-109,212.0,-4.0
