NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,EXPECTED ROI,SIMULATION_METHOD
Collin Murray-Boyles,DraftKings,player_points,10.5,-112,Over,13.41,1,0.74,0.26,0.528,0.74,0.211,4.0,0.448,2.23,"(3.0, 23.9)",20.89,5.33,Med,0.4,Monte Carlo
Collin Murray-Boyles,BetRivers,player_points,9.5,-139,Over,13.41,1,0.806,0.194,0.582,0.806,0.225,3.86,0.537,1.8,"(3.0, 23.9)",20.89,5.33,Med,0.39,Monte Carlo
Blake Wesley,BetMGM,player_points,5.5,-150,Over,9.92,1,0.829,0.171,0.6,0.829,0.229,3.82,0.572,1.67,"(0.0, 20.6)",20.56,5.43,Med,0.38,Monte Carlo
Collin Murray-Boyles,Bovada,player_points,9.5,-145,Over,13.41,1,0.806,0.194,0.592,0.806,0.214,3.62,0.525,1.72,"(3.0, 23.9)",20.89,5.33,Med,0.36,Monte Carlo
Aaron Gordon,BetRivers,player_points,18.5,-143,Under,15.86,0,0.236,0.764,0.588,0.764,0.176,2.98,0.427,1.75,"(7.2, 24.5)",17.33,4.42,Low,0.3,Monte Carlo
Collin Murray-Boyles,Bovada,player_points,8.5,-200,Over,13.41,0,0.856,0.144,0.667,0.856,0.189,2.84,0.568,1.25,"(3.0, 23.9)",20.89,5.33,Med,0.28,Monte Carlo
Aaron Gordon,DraftKings,player_points,17.5,-113,Under,15.86,0,0.322,0.678,0.531,0.678,0.148,2.78,0.314,2.21,"(7.2, 24.5)",17.33,4.42,Low,0.28,Monte Carlo
Aaron Gordon,Bovada,player_points,18.5,-150,Under,15.86,0,0.236,0.764,0.6,0.764,0.164,2.73,0.41,1.67,"(7.2, 24.5)",17.33,4.42,Low,0.27,Monte Carlo
Aaron Gordon,Bovada,player_points,19.5,-190,Under,15.86,0,0.168,0.832,0.655,0.832,0.177,2.7,0.513,1.32,"(7.2, 24.5)",17.33,4.42,Low,0.27,Monte Carlo
Aaron Gordon,BetRivers,player_points,17.5,-115,Under,15.86,0,0.322,0.678,0.535,0.678,0.143,2.68,0.308,2.17,"(7.2, 24.5)",17.33,4.42,Low,0.27,Monte Carlo
Aaron Gordon,BetMGM,player_points,17.5,-118,Under,15.86,0,0.322,0.678,0.541,0.678,0.137,2.53,0.298,2.12,"(7.2, 24.5)",17.33,4.42,Low,0.25,Monte Carlo
Aaron Gordon,Bovada,player_points,17.5,-120,Under,15.86,0,0.322,0.678,0.545,0.678,0.133,2.43,0.292,2.08,"(7.2, 24.5)",17.33,4.42,Low,0.24,Monte Carlo
Aaron Gordon,BetOnline.ag,player_points,17.5,-122,Under,15.86,0,0.322,0.678,0.55,0.678,0.129,2.34,0.285,2.05,"(7.2, 24.5)",17.33,4.42,Low,0.23,Monte Carlo
Aaron Gordon,BetRivers,player_points,16.5,107,Under,15.86,0,0.424,0.576,0.483,0.576,0.093,1.93,0.181,1.93,"(7.2, 24.5)",17.33,4.42,Low,0.19,Monte Carlo
Aaron Gordon,FanDuel,player_points,17.5,-132,Under,15.86,0,0.322,0.678,0.569,0.678,0.109,1.92,0.253,1.89,"(7.2, 24.5)",17.33,4.42,Low,0.19,Monte Carlo
Mouhamed Gueye,DraftKings,player_points,5.5,-115,Over,7.2,0,0.632,0.368,0.535,0.632,0.097,1.82,0.209,1.82,"(0.0, 18.8)",18.75,5.89,Med,0.18,Monte Carlo
Aaron Gordon,Bovada,player_points,16.5,105,Under,15.86,0,0.424,0.576,0.488,0.576,0.089,1.82,0.173,1.82,"(7.2, 24.5)",17.33,4.42,Low,0.18,Monte Carlo
Mouhamed Gueye,FanDuel,player_points,5.5,-115,Over,7.2,0,0.632,0.368,0.535,0.632,0.097,1.82,0.209,1.82,"(0.0, 18.8)",18.75,5.89,Med,0.18,Monte Carlo
Aaron Gordon,Bovada,player_points,15.5,135,Under,15.86,0,0.533,0.467,0.426,0.467,0.041,0.97,0.072,0.97,"(7.2, 24.5)",17.33,4.42,Low,0.1,Monte Carlo
Aaron Gordon,Bovada,player_points,14.5,175,Under,15.86,0,0.641,0.359,0.364,0.359,-0.005,-0.13,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.01,Monte Carlo
Aaron Gordon,Bovada,player_points,15.5,-180,Over,15.86,0,0.533,0.467,0.643,0.533,-0.11,-1.71,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.17,Monte Carlo
Aaron Gordon,Bovada,player_points,16.5,-135,Over,15.86,0,0.424,0.576,0.574,0.424,-0.151,-2.63,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.26,Monte Carlo
Aaron Gordon,BetRivers,player_points,16.5,-143,Over,15.86,0,0.424,0.576,0.588,0.424,-0.165,-2.8,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.28,Monte Carlo
Mouhamed Gueye,FanDuel,player_points,5.5,-111,Under,7.2,0,0.632,0.368,0.526,0.368,-0.158,-3.01,0.0,0.0,"(0.0, 18.8)",18.75,5.89,Med,-0.3,Monte Carlo
Mouhamed Gueye,DraftKings,player_points,5.5,-111,Under,7.2,0,0.632,0.368,0.526,0.368,-0.158,-3.01,0.0,0.0,"(0.0, 18.8)",18.75,5.89,Med,-0.3,Monte Carlo
Aaron Gordon,FanDuel,player_points,17.5,100,Over,15.86,0,0.322,0.678,0.5,0.322,-0.178,-3.56,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.36,Monte Carlo
Aaron Gordon,BetOnline.ag,player_points,17.5,-106,Over,15.86,0,0.322,0.678,0.515,0.322,-0.193,-3.74,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.37,Monte Carlo
Aaron Gordon,Bovada,player_points,17.5,-110,Over,15.86,0,0.322,0.678,0.524,0.322,-0.202,-3.85,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.39,Monte Carlo
Aaron Gordon,DraftKings,player_points,17.5,-113,Over,15.86,0,0.322,0.678,0.531,0.322,-0.209,-3.93,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.39,Monte Carlo
Aaron Gordon,BetMGM,player_points,17.5,-115,Over,15.86,0,0.322,0.678,0.535,0.322,-0.213,-3.98,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.4,Monte Carlo
Aaron Gordon,BetRivers,player_points,17.5,-115,Over,15.86,0,0.322,0.678,0.535,0.322,-0.213,-3.98,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.4,Monte Carlo
Collin Murray-Boyles,BetRivers,player_points,11.5,-159,Under,13.41,0,0.663,0.337,0.614,0.337,-0.277,-4.52,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.45,Monte Carlo
Collin Murray-Boyles,Bovada,player_points,11.5,-165,Under,13.41,0,0.663,0.337,0.623,0.337,-0.286,-4.59,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.46,Monte Carlo
Aaron Gordon,Bovada,player_points,18.5,115,Over,15.86,0,0.236,0.764,0.465,0.236,-0.229,-4.93,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.49,Monte Carlo
Collin Murray-Boyles,DraftKings,player_points,10.5,-114,Under,13.41,0,0.74,0.26,0.533,0.26,-0.273,-5.12,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.51,Monte Carlo
Aaron Gordon,BetRivers,player_points,18.5,107,Over,15.86,0,0.236,0.764,0.483,0.236,-0.247,-5.12,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.51,Monte Carlo
Collin Murray-Boyles,BetOnline.ag,player_points,10.5,-118,Under,13.41,0,0.74,0.26,0.541,0.26,-0.281,-5.19,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.52,Monte Carlo
Collin Murray-Boyles,FanDuel,player_points,10.5,-120,Under,13.41,0,0.74,0.26,0.545,0.26,-0.285,-5.23,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.52,Monte Carlo
Collin Murray-Boyles,BetRivers,player_points,10.5,-124,Under,13.41,0,0.74,0.26,0.554,0.26,-0.293,-5.3,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.53,Monte Carlo
Collin Murray-Boyles,Bovada,player_points,10.5,-125,Under,13.41,0,0.74,0.26,0.556,0.26,-0.295,-5.32,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.53,Monte Carlo
Aaron Gordon,Bovada,player_points,19.5,145,Over,15.86,0,0.168,0.832,0.408,0.168,-0.24,-5.88,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.59,Monte Carlo
Collin Murray-Boyles,Bovada,player_points,9.5,110,Under,13.41,0,0.806,0.194,0.476,0.194,-0.282,-5.93,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.59,Monte Carlo
Blake Wesley,DraftKings,player_points,6.5,-134,Under,9.92,0,0.771,0.229,0.573,0.229,-0.344,-6.0,0.0,0.0,"(0.0, 20.6)",20.56,5.43,Med,-0.6,Monte Carlo
Blake Wesley,BetOnline.ag,player_points,6.5,-135,Under,9.92,0,0.771,0.229,0.574,0.229,-0.345,-6.01,0.0,0.0,"(0.0, 20.6)",20.56,5.43,Med,-0.6,Monte Carlo
Blake Wesley,FanDuel,player_points,6.5,-136,Under,9.92,0,0.771,0.229,0.576,0.229,-0.347,-6.02,0.0,0.0,"(0.0, 20.6)",20.56,5.43,Med,-0.6,Monte Carlo
Collin Murray-Boyles,BetRivers,player_points,9.5,105,Under,13.41,0,0.806,0.194,0.488,0.194,-0.294,-6.03,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.6,Monte Carlo
Collin Murray-Boyles,Bovada,player_points,8.5,150,Under,13.41,0,0.856,0.144,0.4,0.144,-0.256,-6.4,0.0,0.0,"(3.0, 23.9)",20.89,5.33,Med,-0.64,Monte Carlo
Blake Wesley,BetMGM,player_points,5.5,110,Under,9.92,0,0.829,0.171,0.476,0.171,-0.305,-6.41,0.0,0.0,"(0.0, 20.6)",20.56,5.43,Med,-0.64,Monte Carlo
Isaiah Jackson,DraftKings,player_points,6.5,-129,Under,10.61,0,0.808,0.192,0.563,0.192,-0.372,-6.6,0.0,0.0,"(0.0, 21.4)",21.45,5.53,Med,-0.66,Monte Carlo
Isaiah Jackson,BetOnline.ag,player_points,6.5,-132,Under,10.61,0,0.808,0.192,0.569,0.192,-0.377,-6.63,0.0,0.0,"(0.0, 21.4)",21.45,5.53,Med,-0.66,Monte Carlo
Aaron Gordon,Bovada,player_points,20.5,175,Over,15.86,0,0.117,0.883,0.364,0.117,-0.247,-6.79,0.0,0.0,"(7.2, 24.5)",17.33,4.42,Low,-0.68,Monte Carlo
Isaiah Jackson,FanDuel,player_points,5.5,102,Under,10.61,0,0.856,0.144,0.495,0.144,-0.351,-7.1,0.0,0.0,"(0.0, 21.4)",21.45,5.53,Med,-0.71,Monte Carlo
Andre Drummond,DraftKings,player_points,4.5,-133,Under,9.3,0,0.836,0.164,0.571,0.164,-0.407,-7.13,0.0,0.0,"(0.0, 20.5)",20.51,5.72,Med,-0.71,Monte Carlo
Andre Drummond,BetOnline.ag,player_points,3.5,-103,Under,9.3,0,0.876,0.124,0.507,0.124,-0.384,-7.56,0.0,0.0,"(0.0, 20.5)",20.51,5.72,Med,-0.76,Monte Carlo
Andre Drummond,BetMGM,player_points,3.5,-105,Under,9.3,0,0.876,0.124,0.512,0.124,-0.389,-7.59,0.0,0.0,"(0.0, 20.5)",20.51,5.72,Med,-0.76,Monte Carlo
Nicolas Batum,BetMGM,player_points,3.5,-150,Under,8.78,0,0.877,0.123,0.6,0.123,-0.477,-7.96,0.0,0.0,"(0.0, 18.9)",18.92,5.18,Med,-0.8,Monte Carlo
Mitchell Robinson,DraftKings,player_points,4.5,-114,Under,10.74,0,0.898,0.102,0.533,0.102,-0.431,-8.09,0.0,0.0,"(0.0, 21.6)",21.56,5.52,Med,-0.81,Monte Carlo
Mitchell Robinson,FanDuel,player_points,4.5,-115,Under,10.74,0,0.898,0.102,0.535,0.102,-0.433,-8.1,0.0,0.0,"(0.0, 21.6)",21.56,5.52,Med,-0.81,Monte Carlo
Mitchell Robinson,BetMGM,player_points,4.5,-120,Under,10.74,0,0.898,0.102,0.545,0.102,-0.444,-8.14,0.0,0.0,"(0.0, 21.6)",21.56,5.52,Med,-0.81,Monte Carlo
