NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,EXPECTED ROI,SIMULATION_METHOD
Bobby Portis,FanDuel,player_points,9.5,-102,Over,10.8,0,0.602,0.397,0.505,0.602,0.098,1.93,0.197,1.93,"(0.0, 21.9)",21.89,5.66,Med,0.19,Monte Carlo
Bobby Portis,BetMGM,player_points,9.5,-110,Over,10.8,0,0.602,0.397,0.524,0.602,0.079,1.5,0.165,1.5,"(0.0, 21.9)",21.89,5.66,Med,0.15,Monte Carlo
Bobby Portis,BetOnline.ag,player_points,9.5,-111,Over,10.8,0,0.602,0.397,0.526,0.602,0.076,1.45,0.161,1.45,"(0.0, 21.9)",21.89,5.66,Med,0.15,Monte Carlo
Bobby Portis,DraftKings,player_points,9.5,-114,Over,10.8,0,0.602,0.397,0.533,0.602,0.07,1.31,0.149,1.31,"(0.0, 21.9)",21.89,5.66,Med,0.13,Monte Carlo
Bobby Portis,Bovada,player_points,10.5,115,Over,10.8,0,0.52,0.48,0.465,0.52,0.055,1.18,0.103,1.18,"(0.0, 21.9)",21.89,5.66,Med,0.12,Monte Carlo
Bobby Portis,Bovada,player_points,9.5,-120,Over,10.8,0,0.602,0.397,0.545,0.602,0.057,1.05,0.126,1.05,"(0.0, 21.9)",21.89,5.66,Med,0.1,Monte Carlo
Bobby Portis,Bovada,player_points,8.5,-165,Over,10.8,0,0.683,0.317,0.623,0.683,0.06,0.96,0.159,0.96,"(0.0, 21.9)",21.89,5.66,Med,0.1,Monte Carlo
Bobby Portis,Bovada,player_points,11.5,150,Over,10.8,0,0.434,0.566,0.4,0.434,0.034,0.85,0.057,0.85,"(0.0, 21.9)",21.89,5.66,Med,0.09,Monte Carlo
Bobby Portis,Bovada,player_points,12.5,200,Over,10.8,0,0.354,0.646,0.333,0.354,0.02,0.61,0.031,0.61,"(0.0, 21.9)",21.89,5.66,Med,0.06,Monte Carlo
Bobby Portis,Bovada,player_points,11.5,-200,Under,10.8,0,0.434,0.566,0.667,0.566,-0.101,-1.51,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.15,Monte Carlo
Bobby Portis,Bovada,player_points,10.5,-150,Under,10.8,0,0.52,0.48,0.6,0.48,-0.12,-2.0,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.2,Monte Carlo
Bobby Portis,Bovada,player_points,9.5,-110,Under,10.8,0,0.602,0.397,0.524,0.397,-0.126,-2.41,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.24,Monte Carlo
Bobby Portis,DraftKings,player_points,9.5,-112,Under,10.8,0,0.602,0.397,0.528,0.397,-0.131,-2.48,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.25,Monte Carlo
Bobby Portis,BetOnline.ag,player_points,9.5,-116,Under,10.8,0,0.602,0.397,0.537,0.397,-0.14,-2.6,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.26,Monte Carlo
Bobby Portis,BetMGM,player_points,9.5,-120,Under,10.8,0,0.602,0.397,0.545,0.397,-0.148,-2.71,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.27,Monte Carlo
Bobby Portis,Bovada,player_points,8.5,125,Under,10.8,0,0.683,0.317,0.444,0.317,-0.127,-2.86,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.29,Monte Carlo
Bobby Portis,FanDuel,player_points,9.5,-130,Under,10.8,0,0.602,0.397,0.565,0.397,-0.168,-2.97,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.3,Monte Carlo
Bobby Portis,Bovada,player_points,7.5,175,Under,10.8,0,0.753,0.247,0.364,0.247,-0.117,-3.21,0.0,0.0,"(0.0, 21.9)",21.89,5.66,Med,-0.32,Monte Carlo
Keldon Johnson,Bovada,player_points,12.5,-180,Under,14.12,0,0.621,0.379,0.643,0.379,-0.264,-4.11,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.41,Monte Carlo
Keldon Johnson,BetRivers,player_points,11.5,-113,Under,14.12,0,0.696,0.304,0.531,0.304,-0.226,-4.26,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.43,Monte Carlo
Keldon Johnson,FanDuel,player_points,11.5,-114,Under,14.12,0,0.696,0.304,0.533,0.304,-0.228,-4.29,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.43,Monte Carlo
Keldon Johnson,BetOnline.ag,player_points,11.5,-125,Under,14.12,0,0.696,0.304,0.556,0.304,-0.251,-4.52,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.45,Monte Carlo
Keldon Johnson,DraftKings,player_points,11.5,-126,Under,14.12,0,0.696,0.304,0.558,0.304,-0.253,-4.54,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.45,Monte Carlo
Keldon Johnson,Bovada,player_points,11.5,-135,Under,14.12,0,0.696,0.304,0.574,0.304,-0.27,-4.7,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.47,Monte Carlo
Keldon Johnson,BetMGM,player_points,11.5,-135,Under,14.12,0,0.696,0.304,0.574,0.304,-0.27,-4.7,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.47,Monte Carlo
Keldon Johnson,Bovada,player_points,10.5,100,Under,14.12,0,0.762,0.239,0.5,0.239,-0.261,-5.23,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.52,Monte Carlo
Goga Bitadze,BetMGM,player_points,5.5,-135,Under,8.51,0,0.737,0.263,0.574,0.263,-0.311,-5.41,0.0,0.0,"(0.0, 19.5)",19.48,5.6,Med,-0.54,Monte Carlo
Keldon Johnson,Bovada,player_points,9.5,135,Under,14.12,0,0.817,0.183,0.426,0.183,-0.243,-5.7,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.57,Monte Carlo
Keldon Johnson,Bovada,player_points,8.5,185,Under,14.12,0,0.86,0.14,0.351,0.14,-0.211,-6.0,0.0,0.0,"(2.4, 25.9)",23.51,6.0,Med,-0.6,Monte Carlo
Taurean Prince,BetMGM,player_points,4.5,105,Under,9.02,0,0.831,0.169,0.488,0.169,-0.319,-6.54,0.0,0.0,"(0.0, 19.8)",19.77,5.49,Med,-0.65,Monte Carlo
