player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Jaylin Williams,Keldon Johnson,Bruce Brown,5.5,11.5,4.5,9.99,14.12,9.24,over,over,over,0.83,0.714,0.85,0.408,0.252,0.136,0.272,0.22,1.45,0.29,0,"(0.0, 20.7)","(3.4, 24.8)","(0.0, 19.6)",20.72,21.37,19.62,5.48,5.45,5.29,Med,Med,Med,Monte Carlo
Keldon Johnson,Bruce Brown,Peyton Watson,11.5,4.5,5.5,14.12,9.24,9.28,over,over,over,0.714,0.85,0.825,0.4058,0.136,0.272,0.247,0.218,1.43,0.287,0,"(3.4, 24.8)","(0.0, 19.6)","(0.0, 18.5)",21.37,19.62,18.49,5.45,5.29,4.72,Med,Med,Med,Monte Carlo
Sion James,Keldon Johnson,Chris Paul,5.5,11.5,4.5,10.28,14.12,9.01,over,over,over,0.836,0.714,0.836,0.4042,0.258,0.136,0.258,0.217,1.42,0.285,0,"(0.0, 21.5)","(3.4, 24.8)","(0.0, 19.6)",21.46,21.37,19.57,5.7,5.45,5.39,Med,Med,Med,Monte Carlo
Jaylin Williams,Keldon Johnson,Chris Paul,5.5,11.5,4.5,9.99,14.12,9.01,over,over,over,0.83,0.714,0.836,0.4011,0.252,0.136,0.258,0.215,1.41,0.281,0,"(0.0, 20.7)","(3.4, 24.8)","(0.0, 19.6)",20.72,21.37,19.57,5.48,5.45,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Corey Kispert,Chris Paul,5.5,6.5,4.5,8.51,10.5,9.01,over,over,over,0.757,0.784,0.836,0.4017,0.179,0.206,0.258,0.214,1.41,0.282,0,"(0.0, 18.5)","(0.0, 22.2)","(0.0, 19.6)",18.48,22.22,19.57,5.09,5.98,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Sion James,Corey Kispert,5.5,5.5,6.5,8.51,10.28,10.5,over,over,over,0.757,0.836,0.784,0.4018,0.179,0.258,0.206,0.214,1.41,0.282,0,"(0.0, 18.5)","(0.0, 21.5)","(0.0, 22.2)",18.48,21.46,22.22,5.09,5.7,5.98,Med,Med,Med,Monte Carlo
Corey Kispert,Harrison Barnes,Aaron Gordon,6.5,9.5,15.5,10.5,11.58,24.31,over,over,over,0.784,0.668,0.946,0.4013,0.206,0.09,0.368,0.221,1.41,0.282,0,"(0.0, 22.2)","(0.5, 22.6)","(12.9, 35.7)",22.22,22.08,22.74,5.98,5.63,5.8,Med,Med,Med,Monte Carlo
Sion James,Jaylin Williams,Keldon Johnson,5.5,5.5,11.5,10.28,9.99,14.12,over,over,over,0.836,0.83,0.714,0.4012,0.258,0.252,0.136,0.215,1.41,0.281,0,"(0.0, 21.5)","(0.0, 20.7)","(3.4, 24.8)",21.46,20.72,21.37,5.7,5.48,5.45,Med,Med,Med,Monte Carlo
Bobby Portis,Aaron Gordon,Bruce Brown,9.5,15.5,4.5,10.8,24.31,9.24,over,over,over,0.613,0.946,0.85,0.3992,0.035,0.368,0.272,0.225,1.4,0.279,0,"(0.7, 20.9)","(12.9, 35.7)","(0.0, 19.6)",20.17,22.74,19.62,5.15,5.8,5.29,Med,Med,Med,Monte Carlo
Sion James,Keldon Johnson,Peyton Watson,5.5,11.5,5.5,10.28,14.12,9.28,over,over,over,0.836,0.714,0.825,0.399,0.258,0.136,0.247,0.214,1.39,0.279,0,"(0.0, 21.5)","(3.4, 24.8)","(0.0, 18.5)",21.46,21.37,18.49,5.7,5.45,4.72,Med,Med,Med,Monte Carlo
Goga Bitadze,Corey Kispert,Jaylin Williams,5.5,6.5,5.5,8.51,10.5,9.99,over,over,over,0.757,0.784,0.83,0.3988,0.179,0.206,0.252,0.212,1.39,0.279,0,"(0.0, 18.5)","(0.0, 22.2)","(0.0, 20.7)",18.48,22.22,20.72,5.09,5.98,5.48,Med,Med,Med,Monte Carlo
Keldon Johnson,Peyton Watson,Chris Paul,11.5,5.5,4.5,14.12,9.28,9.01,over,over,over,0.714,0.825,0.836,0.3989,0.136,0.247,0.258,0.214,1.39,0.279,0,"(3.4, 24.8)","(0.0, 18.5)","(0.0, 19.6)",21.37,18.49,19.57,5.45,4.72,5.39,Med,Med,Med,Monte Carlo
Jaylin Williams,Keldon Johnson,Peyton Watson,5.5,11.5,5.5,9.99,14.12,9.28,over,over,over,0.83,0.714,0.825,0.396,0.252,0.136,0.247,0.212,1.38,0.275,0,"(0.0, 20.7)","(3.4, 24.8)","(0.0, 18.5)",20.72,21.37,18.49,5.48,5.45,4.72,Med,Med,Med,Monte Carlo
Goga Bitadze,Corey Kispert,Peyton Watson,5.5,6.5,5.5,8.51,10.5,9.28,over,over,over,0.757,0.784,0.825,0.3966,0.179,0.206,0.247,0.211,1.38,0.276,0,"(0.0, 18.5)","(0.0, 22.2)","(0.0, 18.5)",18.48,22.22,18.49,5.09,5.98,4.72,Med,Med,Med,Monte Carlo
Sion James,Bobby Portis,Aaron Gordon,5.5,9.5,15.5,10.28,10.8,24.31,over,over,over,0.836,0.613,0.946,0.3926,0.258,0.035,0.368,0.22,1.36,0.271,0,"(0.0, 21.5)","(0.7, 20.9)","(12.9, 35.7)",21.46,20.17,22.74,5.7,5.15,5.8,Med,Med,Med,Monte Carlo
Bobby Portis,Aaron Gordon,Chris Paul,9.5,15.5,4.5,10.8,24.31,9.01,over,over,over,0.613,0.946,0.836,0.3925,0.035,0.368,0.258,0.22,1.35,0.271,0,"(0.7, 20.9)","(12.9, 35.7)","(0.0, 19.6)",20.17,22.74,19.57,5.15,5.8,5.39,Med,Med,Med,Monte Carlo
Bobby Portis,Jaylin Williams,Aaron Gordon,9.5,5.5,15.5,10.8,9.99,24.31,over,over,over,0.613,0.83,0.946,0.3896,0.035,0.252,0.368,0.218,1.34,0.268,0,"(0.7, 20.9)","(0.0, 20.7)","(12.9, 35.7)",20.17,20.72,22.74,5.15,5.48,5.8,Med,Med,Med,Monte Carlo
Goga Bitadze,Harrison Barnes,Aaron Gordon,5.5,9.5,15.5,8.51,11.58,24.31,over,over,over,0.757,0.668,0.946,0.3874,0.179,0.09,0.368,0.212,1.32,0.265,0,"(0.0, 18.5)","(0.5, 22.6)","(12.9, 35.7)",18.48,22.08,22.74,5.09,5.63,5.8,Med,Med,Med,Monte Carlo
Bobby Portis,Aaron Gordon,Peyton Watson,9.5,15.5,5.5,10.8,24.31,9.28,over,over,over,0.613,0.946,0.825,0.3875,0.035,0.368,0.247,0.217,1.32,0.265,0,"(0.7, 20.9)","(12.9, 35.7)","(0.0, 18.5)",20.17,22.74,18.49,5.15,5.8,4.72,Med,Med,Med,Monte Carlo
Harrison Barnes,Bruce Brown,Chris Paul,9.5,4.5,4.5,11.58,9.24,9.01,over,over,over,0.668,0.85,0.836,0.3843,0.09,0.272,0.258,0.207,1.31,0.261,0,"(0.5, 22.6)","(0.0, 19.6)","(0.0, 19.6)",22.08,19.62,19.57,5.63,5.29,5.39,Med,Med,Med,Monte Carlo
Sion James,Harrison Barnes,Bruce Brown,5.5,9.5,4.5,10.28,11.58,9.24,over,over,over,0.836,0.668,0.85,0.3844,0.258,0.09,0.272,0.207,1.31,0.261,0,"(0.0, 21.5)","(0.5, 22.6)","(0.0, 19.6)",21.46,22.08,19.62,5.7,5.63,5.29,Med,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,Bruce Brown,6.5,11.5,4.5,10.5,14.12,9.24,over,over,over,0.784,0.714,0.85,0.3855,0.206,0.136,0.272,0.205,1.31,0.263,0,"(0.0, 22.2)","(3.4, 24.8)","(0.0, 19.6)",22.22,21.37,19.62,5.98,5.45,5.29,Med,Med,Med,Monte Carlo
Jaylin Williams,Harrison Barnes,Bruce Brown,5.5,9.5,4.5,9.99,11.58,9.24,over,over,over,0.83,0.668,0.85,0.3815,0.252,0.09,0.272,0.204,1.29,0.258,0,"(0.0, 20.7)","(0.5, 22.6)","(0.0, 19.6)",20.72,22.08,19.62,5.48,5.63,5.29,Med,Med,Med,Monte Carlo
Harrison Barnes,Bruce Brown,Peyton Watson,9.5,4.5,5.5,11.58,9.24,9.28,over,over,over,0.668,0.85,0.825,0.3795,0.09,0.272,0.247,0.203,1.28,0.255,0,"(0.5, 22.6)","(0.0, 19.6)","(0.0, 18.5)",22.08,19.62,18.49,5.63,5.29,4.72,Med,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,Chris Paul,6.5,11.5,4.5,10.5,14.12,9.01,over,over,over,0.784,0.714,0.836,0.379,0.206,0.136,0.258,0.2,1.27,0.255,0,"(0.0, 22.2)","(3.4, 24.8)","(0.0, 19.6)",22.22,21.37,19.57,5.98,5.45,5.39,Med,Med,Med,Monte Carlo
Sion James,Harrison Barnes,Chris Paul,5.5,9.5,4.5,10.28,11.58,9.01,over,over,over,0.836,0.668,0.836,0.378,0.258,0.09,0.258,0.202,1.27,0.254,0,"(0.0, 21.5)","(0.5, 22.6)","(0.0, 19.6)",21.46,22.08,19.57,5.7,5.63,5.39,Med,Med,Med,Monte Carlo
Sion James,Corey Kispert,Keldon Johnson,5.5,6.5,11.5,10.28,10.5,14.12,over,over,over,0.836,0.784,0.714,0.3791,0.258,0.206,0.136,0.2,1.27,0.255,0,"(0.0, 21.5)","(0.0, 22.2)","(3.4, 24.8)",21.46,22.22,21.37,5.7,5.98,5.45,Med,Med,Med,Monte Carlo
Corey Kispert,Jaylin Williams,Keldon Johnson,6.5,5.5,11.5,10.5,9.99,14.12,over,over,over,0.784,0.83,0.714,0.3763,0.206,0.252,0.136,0.198,1.26,0.252,0,"(0.0, 22.2)","(0.0, 20.7)","(3.4, 24.8)",22.22,20.72,21.37,5.98,5.48,5.45,Med,Med,Med,Monte Carlo
Sion James,Jaylin Williams,Harrison Barnes,5.5,5.5,9.5,10.28,9.99,11.58,over,over,over,0.836,0.83,0.668,0.3752,0.258,0.252,0.09,0.2,1.25,0.25,0,"(0.0, 21.5)","(0.0, 20.7)","(0.5, 22.6)",21.46,20.72,22.08,5.7,5.48,5.63,Med,Med,Med,Monte Carlo
Jaylin Williams,Harrison Barnes,Chris Paul,5.5,9.5,4.5,9.99,11.58,9.01,over,over,over,0.83,0.668,0.836,0.3751,0.252,0.09,0.258,0.2,1.25,0.25,0,"(0.0, 20.7)","(0.5, 22.6)","(0.0, 19.6)",20.72,22.08,19.57,5.48,5.63,5.39,Med,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,Peyton Watson,6.5,11.5,5.5,10.5,14.12,9.28,over,over,over,0.784,0.714,0.825,0.3742,0.206,0.136,0.247,0.196,1.25,0.249,0,"(0.0, 22.2)","(3.4, 24.8)","(0.0, 18.5)",22.22,21.37,18.49,5.98,5.45,4.72,Med,Med,Med,Monte Carlo
Sion James,Harrison Barnes,Peyton Watson,5.5,9.5,5.5,10.28,11.58,9.28,over,over,over,0.836,0.668,0.825,0.3732,0.258,0.09,0.247,0.198,1.24,0.248,0,"(0.0, 21.5)","(0.5, 22.6)","(0.0, 18.5)",21.46,22.08,18.49,5.7,5.63,4.72,Med,Med,Med,Monte Carlo
Harrison Barnes,Peyton Watson,Chris Paul,9.5,5.5,4.5,11.58,9.28,9.01,over,over,over,0.668,0.825,0.836,0.3731,0.09,0.247,0.258,0.198,1.24,0.248,0,"(0.5, 22.6)","(0.0, 18.5)","(0.0, 19.6)",22.08,18.49,19.57,5.63,4.72,5.39,Med,Med,Med,Monte Carlo
Goga Bitadze,Keldon Johnson,Bruce Brown,5.5,11.5,4.5,8.51,14.12,9.24,over,over,over,0.757,0.714,0.85,0.3721,0.179,0.136,0.272,0.196,1.23,0.247,0,"(0.0, 18.5)","(3.4, 24.8)","(0.0, 19.6)",18.48,21.37,19.62,5.09,5.45,5.29,Med,Med,Med,Monte Carlo
