player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,simulation_method
Cam Whitmore,Kon Knueppel,10.5,13.5,11.28,11.34,over,under,0.566,0.76,0.3872,-0.012,0.182,0.085,0.16,0.081,0,Monte Carlo
Tre Johnson,Kawhi Leonard,13.5,24.5,12.94,20.35,under,under,0.601,0.715,0.3863,0.023,0.137,0.08,0.16,0.079,0,Monte Carlo
Ryan Rollins,Keon Ellis,11.0,6.5,13.11,5.92,over,under,0.763,0.561,0.3856,0.185,-0.017,0.084,0.16,0.078,0,Monte Carlo
Karl-Anthony Towns,James Harden,22.0,20.5,18.3,19.4,under,under,0.771,0.559,0.3878,0.193,-0.019,0.087,0.16,0.082,0,Monte Carlo
Kon Knueppel,Keon Ellis,13.5,6.5,11.34,5.92,under,under,0.768,0.561,0.3882,0.19,-0.017,0.087,0.16,0.082,0,Monte Carlo
Andrew Wiggins,Kon Knueppel,16.5,13.5,15.22,11.34,under,under,0.567,0.76,0.3882,-0.011,0.182,0.086,0.16,0.082,0,Monte Carlo
Kon Knueppel,James Harden,13.5,20.5,11.34,19.4,under,under,0.768,0.559,0.3864,0.19,-0.019,0.086,0.16,0.08,0,Monte Carlo
VJ Edgecombe,OG Anunoby,19.5,15.5,26.29,15.0,over,under,0.826,0.521,0.387,0.248,-0.057,0.095,0.16,0.08,0,Monte Carlo
VJ Edgecombe,Chet Holmgren,19.5,18.5,26.29,18.85,over,over,0.826,0.522,0.3879,0.248,-0.056,0.096,0.16,0.082,0,Monte Carlo
Mikal Bridges,Ajay Mitchell,14.5,14.5,11.73,14.74,under,over,0.831,0.518,0.3871,0.253,-0.06,0.096,0.16,0.081,0,Monte Carlo
Ryan Rollins,Cason Wallace,11.0,9.5,13.11,8.11,over,under,0.763,0.563,0.3869,0.185,-0.015,0.085,0.16,0.08,0,Monte Carlo
Tyrese Maxey,LaMelo Ball,28.5,25.5,25.84,22.82,under,under,0.645,0.666,0.387,0.067,0.088,0.078,0.16,0.08,0,Monte Carlo
VJ Edgecombe,Tre Mann,19.5,8.5,26.29,8.79,over,over,0.826,0.522,0.3883,0.248,-0.056,0.096,0.16,0.082,0,Monte Carlo
Norman Powell,Ryan Kalkbrenner,22.5,8.0,21.41,10.67,under,over,0.548,0.785,0.3873,-0.03,0.207,0.089,0.16,0.081,0,Monte Carlo
Malik Monk,Kris Dunn,12.5,6.5,14.57,7.18,over,over,0.795,0.543,0.3881,0.217,-0.035,0.091,0.16,0.082,0,Monte Carlo
Tyrese Maxey,Kyshawn George,28.5,14.5,25.84,17.68,under,over,0.645,0.667,0.3872,0.067,0.089,0.078,0.16,0.081,0,Monte Carlo
Davion Mitchell,Luguentz Dort,10.5,9.5,6.7,8.56,under,under,0.665,0.644,0.3857,0.087,0.066,0.077,0.16,0.079,0,Monte Carlo
Davion Mitchell,Myles Turner,10.5,13.5,6.7,11.52,under,under,0.665,0.647,0.3871,0.087,0.069,0.078,0.16,0.081,0,Monte Carlo
Corey Kispert,Luguentz Dort,8.0,9.5,6.69,8.56,under,under,0.67,0.644,0.3883,0.091,0.066,0.079,0.16,0.082,0,Monte Carlo
Kyle Kuzma,DeMar DeRozan,8.5,19.5,9.15,15.71,over,under,0.616,0.698,0.3875,0.038,0.12,0.079,0.16,0.081,0,Monte Carlo
Corey Kispert,Tyrese Maxey,8.0,28.5,6.69,25.84,under,under,0.67,0.643,0.3874,0.091,0.065,0.078,0.16,0.081,0,Monte Carlo
Aaron Wiggins,Moses Moody,12.5,9.5,13.02,11.3,over,over,0.525,0.81,0.3829,-0.053,0.232,0.09,0.15,0.074,0,Monte Carlo
Kel'el Ware,Draymond Green,10.5,8.5,13.42,9.95,over,over,0.627,0.677,0.3823,0.049,0.099,0.074,0.15,0.073,0,Monte Carlo
Aaron Wiggins,Jonathan Kuminga,12.5,16.5,13.02,14.27,over,under,0.525,0.809,0.3823,-0.053,0.231,0.089,0.15,0.073,0,Monte Carlo
Kel'el Ware,Brook Lopez,10.5,6.5,13.42,9.53,over,over,0.627,0.681,0.3843,0.049,0.103,0.076,0.15,0.076,0,Monte Carlo
OG Anunoby,Moses Moody,15.5,9.5,15.0,11.3,under,over,0.524,0.81,0.3825,-0.054,0.232,0.089,0.15,0.074,0,Monte Carlo
OG Anunoby,Jonathan Kuminga,15.5,16.5,15.0,14.27,under,under,0.524,0.809,0.3818,-0.054,0.231,0.089,0.15,0.073,0,Monte Carlo
VJ Edgecombe,Ajay Mitchell,19.5,14.5,26.29,14.74,over,over,0.826,0.518,0.3848,0.248,-0.06,0.094,0.15,0.077,0,Monte Carlo
Ryan Rollins,James Harden,11.0,20.5,13.11,19.4,over,under,0.763,0.559,0.3838,0.185,-0.019,0.083,0.15,0.076,0,Monte Carlo
Tyrese Maxey,Davion Mitchell,28.5,10.5,25.84,6.7,under,under,0.645,0.659,0.3825,0.067,0.081,0.074,0.15,0.074,0,Monte Carlo
Bam Adebayo,Kon Knueppel,21.5,13.5,22.79,11.34,over,under,0.561,0.76,0.3841,-0.017,0.182,0.083,0.15,0.076,0,Monte Carlo
LaMelo Ball,Kel'el Ware,25.5,10.5,22.82,13.42,under,over,0.672,0.631,0.382,0.094,0.053,0.074,0.15,0.073,0,Monte Carlo
Zach LaVine,Brook Lopez,21.5,6.5,22.18,9.53,over,over,0.624,0.681,0.3822,0.046,0.103,0.074,0.15,0.073,0,Monte Carlo
Tyrese Maxey,Isaiah Hartenstein,28.5,10.5,25.84,8.01,under,under,0.645,0.659,0.3824,0.067,0.081,0.074,0.15,0.074,0,Monte Carlo
Kyshawn George,Luguentz Dort,14.5,9.5,17.68,8.56,over,under,0.662,0.644,0.3838,0.084,0.066,0.075,0.15,0.076,0,Monte Carlo
Khris Middleton,Jalen Brunson,13.5,27.5,14.53,23.13,over,under,0.553,0.77,0.3832,-0.025,0.192,0.083,0.15,0.075,0,Monte Carlo
Khris Middleton,Ryan Rollins,13.5,11.0,14.53,13.11,over,over,0.553,0.77,0.3834,-0.025,0.192,0.084,0.15,0.075,0,Monte Carlo
OG Anunoby,Malik Monk,15.5,12.5,15.0,14.57,under,over,0.524,0.803,0.3789,-0.054,0.225,0.086,0.14,0.068,0,Monte Carlo
Collin Sexton,Kawhi Leonard,18.5,24.5,17.15,20.35,under,under,0.59,0.715,0.3798,0.012,0.137,0.074,0.14,0.07,0,Monte Carlo
Khris Middleton,Kon Knueppel,13.5,13.5,14.53,11.34,over,under,0.553,0.76,0.3785,-0.025,0.182,0.079,0.14,0.068,0,Monte Carlo
Zach LaVine,Draymond Green,21.5,8.5,22.18,9.95,over,over,0.624,0.677,0.3802,0.046,0.099,0.072,0.14,0.07,0,Monte Carlo
Jalen Brunson,Kris Dunn,27.5,6.5,23.13,7.18,under,over,0.778,0.543,0.38,0.2,-0.035,0.082,0.14,0.07,0,Monte Carlo
Ryan Kalkbrenner,Kris Dunn,8.0,6.5,10.67,7.18,over,over,0.777,0.543,0.3793,0.199,-0.035,0.082,0.14,0.069,0,Monte Carlo
Malik Monk,Stephen Curry,12.5,24.5,14.57,23.75,over,under,0.795,0.532,0.3809,0.217,-0.046,0.086,0.14,0.071,0,Monte Carlo
Malik Monk,Al Horford,12.5,7.5,14.57,7.65,over,over,0.795,0.532,0.3807,0.217,-0.046,0.085,0.14,0.071,0,Monte Carlo
Alex Sarr,DeMar DeRozan,13.5,19.5,12.72,15.71,under,under,0.603,0.698,0.379,0.025,0.12,0.073,0.14,0.069,0,Monte Carlo
Aaron Wiggins,Malik Monk,12.5,12.5,13.02,14.57,over,over,0.525,0.803,0.3793,-0.053,0.225,0.086,0.14,0.069,0,Monte Carlo
Khris Middleton,Karl-Anthony Towns,13.5,22.0,14.53,18.3,over,under,0.553,0.763,0.3797,-0.025,0.185,0.08,0.14,0.07,0,Monte Carlo
Norman Powell,Jalen Brunson,22.5,27.5,21.41,23.13,under,under,0.548,0.77,0.3798,-0.03,0.192,0.081,0.14,0.07,0,Monte Carlo
Norman Powell,Ryan Rollins,22.5,11.0,21.41,13.11,under,over,0.548,0.77,0.38,-0.03,0.192,0.081,0.14,0.07,0,Monte Carlo
Bobby Portis,Brook Lopez,9.5,6.5,7.54,9.53,under,over,0.618,0.681,0.3789,0.04,0.103,0.072,0.14,0.068,0,Monte Carlo
Corey Kispert,Kel'el Ware,8.0,10.5,6.69,13.42,under,over,0.67,0.631,0.3804,0.091,0.053,0.072,0.14,0.071,0,Monte Carlo
LaMelo Ball,Zach LaVine,25.5,21.5,22.82,22.18,under,over,0.672,0.628,0.3799,0.094,0.05,0.072,0.14,0.07,0,Monte Carlo
Davion Mitchell,Zach LaVine,10.5,21.5,6.7,22.18,under,over,0.665,0.628,0.3757,0.087,0.05,0.068,0.13,0.064,0,Monte Carlo
Norman Powell,Kon Knueppel,22.5,13.5,21.41,11.34,under,under,0.548,0.76,0.3752,-0.03,0.182,0.076,0.13,0.063,0,Monte Carlo
Bobby Portis,Draymond Green,9.5,8.5,7.54,9.95,under,over,0.618,0.677,0.3769,0.04,0.099,0.07,0.13,0.065,0,Monte Carlo
Chet Holmgren,Jonathan Kuminga,18.5,16.5,18.85,14.27,over,under,0.516,0.809,0.3759,-0.062,0.231,0.085,0.13,0.064,0,Monte Carlo
DeMar DeRozan,Buddy Hield,19.5,7.5,15.71,9.45,under,over,0.703,0.596,0.3774,0.125,0.018,0.072,0.13,0.066,0,Monte Carlo
Kyshawn George,Kel'el Ware,14.5,10.5,17.68,13.42,over,over,0.662,0.631,0.376,0.084,0.053,0.068,0.13,0.064,0,Monte Carlo
Chet Holmgren,Moses Moody,18.5,9.5,18.85,11.3,over,over,0.516,0.81,0.3765,-0.062,0.232,0.085,0.13,0.065,0,Monte Carlo
Norman Powell,Karl-Anthony Towns,22.5,22.0,21.41,18.3,under,under,0.548,0.763,0.3764,-0.03,0.185,0.077,0.13,0.065,0,Monte Carlo
Tre Mann,Jonathan Kuminga,8.5,16.5,8.79,14.27,over,under,0.517,0.809,0.3764,-0.061,0.231,0.085,0.13,0.065,0,Monte Carlo
Karl-Anthony Towns,Kris Dunn,22.0,6.5,18.3,7.18,under,over,0.771,0.543,0.3766,0.193,-0.035,0.079,0.13,0.065,0,Monte Carlo
Myles Turner,Luguentz Dort,13.5,9.5,11.52,8.56,under,under,0.65,0.644,0.377,0.072,0.066,0.069,0.13,0.066,0,Monte Carlo
Kyle Kuzma,Brook Lopez,8.5,6.5,9.15,9.53,over,over,0.616,0.681,0.3778,0.038,0.103,0.071,0.13,0.067,0,Monte Carlo
Isaiah Hartenstein,Zach LaVine,10.5,21.5,8.01,22.18,under,over,0.665,0.628,0.3756,0.087,0.05,0.068,0.13,0.063,0,Monte Carlo
Quentin Grimes,Kawhi Leonard,14.5,24.5,16.06,20.35,over,under,0.584,0.715,0.3755,0.006,0.137,0.071,0.13,0.063,0,Monte Carlo
Ivica Zubac,Draymond Green,15.5,8.5,13.35,9.95,under,over,0.618,0.677,0.3769,0.04,0.099,0.07,0.13,0.065,0,Monte Carlo
Corey Kispert,Zach LaVine,8.0,21.5,6.69,22.18,under,over,0.67,0.628,0.3783,0.091,0.05,0.071,0.13,0.067,0,Monte Carlo
Miles Bridges,Mikal Bridges,19.5,14.5,19.46,11.73,under,under,0.506,0.83,0.3779,-0.072,0.252,0.09,0.13,0.067,0,Monte Carlo
Tre Johnson,DeMar DeRozan,13.5,19.5,12.94,15.71,under,under,0.601,0.698,0.3776,0.023,0.12,0.071,0.13,0.066,0,Monte Carlo
Tyrese Maxey,Myles Turner,28.5,13.5,25.84,11.52,under,under,0.645,0.647,0.3755,0.067,0.069,0.068,0.13,0.063,0,Monte Carlo
Kon Knueppel,Kris Dunn,13.5,6.5,11.34,7.18,under,over,0.768,0.543,0.3752,0.19,-0.035,0.077,0.13,0.063,0,Monte Carlo
Tre Mann,Moses Moody,8.5,9.5,8.79,11.3,over,over,0.517,0.81,0.377,-0.061,0.232,0.086,0.13,0.065,0,Monte Carlo
Kyle Kuzma,Draymond Green,8.5,8.5,9.15,9.95,over,over,0.616,0.677,0.3758,0.038,0.099,0.069,0.13,0.064,0,Monte Carlo
LaMelo Ball,Kyle Kuzma,25.5,8.5,22.82,9.15,under,over,0.672,0.621,0.3756,0.094,0.043,0.068,0.13,0.063,0,Monte Carlo
LaMelo Ball,Bobby Portis,25.5,9.5,22.82,7.54,under,under,0.672,0.617,0.3732,0.094,0.039,0.066,0.12,0.06,0,Monte Carlo
Malik Monk,Chet Holmgren,12.5,18.5,14.57,18.85,over,over,0.795,0.522,0.3733,0.217,-0.056,0.08,0.12,0.06,0,Monte Carlo
Jalen Brunson,Stephen Curry,27.5,24.5,23.13,23.75,under,under,0.778,0.532,0.3729,0.2,-0.046,0.077,0.12,0.059,0,Monte Carlo
Ryan Kalkbrenner,Al Horford,8.0,7.5,10.67,7.65,over,over,0.777,0.532,0.3721,0.199,-0.046,0.076,0.12,0.058,0,Monte Carlo
Ryan Rollins,Kris Dunn,11.0,6.5,13.11,7.18,over,over,0.763,0.543,0.3727,0.185,-0.035,0.075,0.12,0.059,0,Monte Carlo
Corey Kispert,Kyle Kuzma,8.0,8.5,6.69,9.15,under,over,0.67,0.621,0.374,0.091,0.043,0.067,0.12,0.061,0,Monte Carlo
Tre Mann,Malik Monk,8.5,12.5,8.79,14.57,over,over,0.517,0.803,0.3735,-0.061,0.225,0.082,0.12,0.06,0,Monte Carlo
Kyshawn George,Zach LaVine,14.5,21.5,17.68,22.18,over,over,0.662,0.628,0.3739,0.084,0.05,0.067,0.12,0.061,0,Monte Carlo
Ajay Mitchell,Moses Moody,14.5,9.5,14.74,11.3,over,over,0.511,0.81,0.3725,-0.067,0.232,0.082,0.12,0.059,0,Monte Carlo
Ajay Mitchell,Jonathan Kuminga,14.5,16.5,14.74,14.27,over,under,0.511,0.809,0.3719,-0.067,0.231,0.082,0.12,0.058,0,Monte Carlo
Tyrese Maxey,Luguentz Dort,28.5,9.5,25.84,8.56,under,under,0.645,0.644,0.3741,0.067,0.066,0.067,0.12,0.061,0,Monte Carlo
Ryan Kalkbrenner,Stephen Curry,8.0,24.5,10.67,23.75,over,under,0.777,0.532,0.3723,0.199,-0.046,0.077,0.12,0.058,0,Monte Carlo
Jalen Brunson,Al Horford,27.5,7.5,23.13,7.65,under,over,0.778,0.532,0.3727,0.2,-0.046,0.077,0.12,0.059,0,Monte Carlo
Dru Smith,Kawhi Leonard,5.5,24.5,7.0,20.35,over,under,0.58,0.715,0.3734,0.002,0.137,0.07,0.12,0.06,0,Monte Carlo
LaMelo Ball,Ivica Zubac,25.5,15.5,22.82,13.35,under,under,0.672,0.617,0.3732,0.094,0.039,0.066,0.12,0.06,0,Monte Carlo
Karl-Anthony Towns,Al Horford,22.0,7.5,18.3,7.65,under,over,0.771,0.532,0.3693,0.193,-0.046,0.074,0.11,0.054,0,Monte Carlo
Jalen Brunson,Aaron Wiggins,27.5,12.5,23.13,13.02,under,over,0.778,0.53,0.3708,0.2,-0.049,0.076,0.11,0.056,0,Monte Carlo
Kyshawn George,Kyle Kuzma,14.5,8.5,17.68,9.15,over,over,0.662,0.621,0.3697,0.084,0.043,0.063,0.11,0.055,0,Monte Carlo
Davion Mitchell,Ivica Zubac,10.5,15.5,6.7,13.35,under,under,0.665,0.617,0.3692,0.087,0.039,0.063,0.11,0.054,0,Monte Carlo
Davion Mitchell,Kyle Kuzma,10.5,8.5,6.7,9.15,under,over,0.665,0.621,0.3715,0.087,0.043,0.065,0.11,0.057,0,Monte Carlo
VJ Edgecombe,Miles Bridges,19.5,19.5,26.29,19.46,over,under,0.826,0.499,0.3708,0.248,-0.079,0.084,0.11,0.056,0,Monte Carlo
Miles Bridges,Moses Moody,19.5,9.5,19.46,11.3,under,over,0.506,0.81,0.369,-0.072,0.232,0.08,0.11,0.053,0,Monte Carlo
Miles Bridges,Jonathan Kuminga,19.5,16.5,19.46,14.27,under,under,0.506,0.809,0.3684,-0.072,0.231,0.079,0.11,0.053,0,Monte Carlo
Kel'el Ware,Isaiah Hartenstein,10.5,10.5,13.42,8.01,over,under,0.627,0.659,0.3716,0.049,0.081,0.065,0.11,0.057,0,Monte Carlo
Corey Kispert,Bobby Portis,8.0,9.5,6.69,7.54,under,under,0.67,0.617,0.3717,0.091,0.039,0.065,0.11,0.057,0,Monte Carlo
Ryan Kalkbrenner,Russell Westbrook,8.0,7.5,10.67,7.34,over,under,0.777,0.528,0.3689,0.199,-0.05,0.074,0.11,0.053,0,Monte Carlo
Alex Sarr,Brook Lopez,13.5,6.5,12.72,9.53,under,over,0.603,0.681,0.3695,0.025,0.103,0.064,0.11,0.054,0,Monte Carlo
Karl-Anthony Towns,Stephen Curry,22.0,24.5,18.3,23.75,under,under,0.771,0.532,0.3695,0.193,-0.046,0.074,0.11,0.054,0,Monte Carlo
Collin Sexton,DeMar DeRozan,18.5,19.5,17.15,15.71,under,under,0.59,0.698,0.3712,0.012,0.12,0.066,0.11,0.057,0,Monte Carlo
Isaiah Hartenstein,Ivica Zubac,10.5,15.5,8.01,13.35,under,under,0.665,0.617,0.369,0.087,0.039,0.063,0.11,0.054,0,Monte Carlo
Malik Monk,Ajay Mitchell,12.5,14.5,14.57,14.74,over,over,0.795,0.518,0.3704,0.217,-0.06,0.078,0.11,0.056,0,Monte Carlo
Davion Mitchell,Bobby Portis,10.5,9.5,6.7,7.54,under,under,0.665,0.617,0.3692,0.087,0.039,0.063,0.11,0.054,0,Monte Carlo
Corey Kispert,Ivica Zubac,8.0,15.5,6.69,13.35,under,under,0.67,0.617,0.3717,0.091,0.039,0.065,0.11,0.057,0,Monte Carlo
Ryan Kalkbrenner,Aaron Wiggins,8.0,12.5,10.67,13.02,over,over,0.777,0.53,0.3702,0.199,-0.049,0.075,0.11,0.055,0,Monte Carlo
Jalen Brunson,Russell Westbrook,27.5,7.5,23.13,7.34,under,under,0.778,0.528,0.3695,0.2,-0.05,0.075,0.11,0.054,0,Monte Carlo
Ryan Rollins,Al Horford,11.0,7.5,13.11,7.65,over,over,0.763,0.532,0.3655,0.185,-0.046,0.07,0.1,0.048,0,Monte Carlo
Tre Johnson,Brook Lopez,13.5,6.5,12.94,9.53,under,over,0.601,0.681,0.3681,0.023,0.103,0.063,0.1,0.052,0,Monte Carlo
Ryan Rollins,Stephen Curry,11.0,24.5,13.11,23.75,over,under,0.763,0.532,0.3657,0.185,-0.046,0.07,0.1,0.049,0,Monte Carlo
Kyshawn George,Bobby Portis,14.5,9.5,17.68,7.54,over,under,0.662,0.617,0.3674,0.084,0.039,0.061,0.1,0.051,0,Monte Carlo
Karl-Anthony Towns,Russell Westbrook,22.0,7.5,18.3,7.34,under,under,0.771,0.528,0.3662,0.193,-0.05,0.071,0.1,0.049,0,Monte Carlo
Kyle Kuzma,Isaiah Hartenstein,8.5,10.5,9.15,8.01,over,under,0.616,0.659,0.3654,0.038,0.081,0.059,0.1,0.048,0,Monte Carlo
Myles Turner,Zach LaVine,13.5,21.5,11.52,22.18,under,over,0.65,0.628,0.3673,0.072,0.05,0.061,0.1,0.051,0,Monte Carlo
Jalen Brunson,Chet Holmgren,27.5,18.5,23.13,18.85,under,over,0.778,0.522,0.3655,0.2,-0.056,0.072,0.1,0.048,0,Monte Carlo
Alex Sarr,Draymond Green,13.5,8.5,12.72,9.95,under,over,0.603,0.677,0.3676,0.025,0.099,0.062,0.1,0.051,0,Monte Carlo
Kon Knueppel,Al Horford,13.5,7.5,11.34,7.65,under,over,0.768,0.532,0.368,0.19,-0.046,0.072,0.1,0.052,0,Monte Carlo
Tyrese Maxey,Kel'el Ware,28.5,10.5,25.84,13.42,under,over,0.645,0.631,0.3665,0.067,0.053,0.06,0.1,0.05,0,Monte Carlo
Tre Johnson,Draymond Green,13.5,8.5,12.94,9.95,under,over,0.601,0.677,0.3662,0.023,0.099,0.061,0.1,0.049,0,Monte Carlo
Kon Knueppel,Aaron Wiggins,13.5,12.5,11.34,13.02,under,over,0.768,0.53,0.3662,0.19,-0.049,0.071,0.1,0.049,0,Monte Carlo
Karl-Anthony Towns,Aaron Wiggins,22.0,12.5,18.3,13.02,under,over,0.771,0.53,0.3675,0.193,-0.049,0.072,0.1,0.051,0,Monte Carlo
Bobby Portis,Isaiah Hartenstein,9.5,10.5,7.54,8.01,under,under,0.618,0.659,0.3664,0.04,0.081,0.06,0.1,0.05,0,Monte Carlo
Kyshawn George,Ivica Zubac,14.5,15.5,17.68,13.35,over,under,0.662,0.617,0.3674,0.084,0.039,0.061,0.1,0.051,0,Monte Carlo
Luguentz Dort,Zach LaVine,9.5,21.5,8.56,22.18,under,over,0.647,0.628,0.3655,0.069,0.05,0.059,0.1,0.048,0,Monte Carlo
Kon Knueppel,Stephen Curry,13.5,24.5,11.34,23.75,under,under,0.768,0.532,0.3683,0.19,-0.046,0.072,0.1,0.052,0,Monte Carlo
Miles Bridges,Malik Monk,19.5,12.5,19.46,14.57,under,over,0.506,0.803,0.3655,-0.072,0.225,0.076,0.1,0.048,0,Monte Carlo
Quentin Grimes,DeMar DeRozan,14.5,19.5,16.06,15.71,over,under,0.584,0.698,0.367,0.006,0.12,0.063,0.1,0.051,0,Monte Carlo
Collin Sexton,Brook Lopez,18.5,6.5,17.15,9.53,under,over,0.59,0.681,0.3619,0.012,0.103,0.058,0.09,0.043,0,Monte Carlo
Dru Smith,DeMar DeRozan,5.5,19.5,7.0,15.71,over,under,0.58,0.698,0.3649,0.002,0.12,0.061,0.09,0.047,0,Monte Carlo
Kel'el Ware,Myles Turner,10.5,13.5,13.42,11.52,over,under,0.627,0.647,0.365,0.049,0.069,0.059,0.09,0.047,0,Monte Carlo
Andrew Wiggins,Kawhi Leonard,16.5,24.5,15.22,20.35,under,under,0.567,0.715,0.3649,-0.011,0.137,0.063,0.09,0.047,0,Monte Carlo
Jalen Brunson,Ajay Mitchell,27.5,14.5,23.13,14.74,under,over,0.778,0.518,0.3626,0.2,-0.06,0.07,0.09,0.044,0,Monte Carlo
OG Anunoby,Ryan Rollins,15.5,11.0,15.0,13.11,under,over,0.524,0.77,0.3636,-0.054,0.192,0.069,0.09,0.045,0,Monte Carlo
Buddy Hield,Brook Lopez,7.5,6.5,9.45,9.53,over,over,0.59,0.681,0.3619,0.012,0.103,0.058,0.09,0.043,0,Monte Carlo
Ryan Kalkbrenner,Ajay Mitchell,8.0,14.5,10.67,14.74,over,over,0.777,0.518,0.362,0.199,-0.06,0.069,0.09,0.043,0,Monte Carlo
Ryan Kalkbrenner,Chet Holmgren,8.0,18.5,10.67,18.85,over,over,0.777,0.522,0.3649,0.199,-0.056,0.071,0.09,0.047,0,Monte Carlo
Ryan Kalkbrenner,OG Anunoby,8.0,15.5,10.67,15.0,over,under,0.777,0.521,0.364,0.199,-0.057,0.071,0.09,0.046,0,Monte Carlo
Kel'el Ware,Luguentz Dort,10.5,9.5,13.42,8.56,over,under,0.627,0.644,0.3636,0.049,0.066,0.058,0.09,0.045,0,Monte Carlo
Ryan Rollins,Russell Westbrook,11.0,7.5,13.11,7.34,over,under,0.763,0.528,0.3624,0.185,-0.05,0.067,0.09,0.044,0,Monte Carlo
Ryan Rollins,Aaron Wiggins,11.0,12.5,13.11,13.02,over,over,0.763,0.53,0.3637,0.185,-0.049,0.068,0.09,0.045,0,Monte Carlo
Cason Wallace,Kawhi Leonard,9.5,24.5,8.11,20.35,under,under,0.564,0.715,0.363,-0.014,0.137,0.061,0.09,0.045,0,Monte Carlo
Kon Knueppel,Russell Westbrook,13.5,7.5,11.34,7.34,under,under,0.768,0.528,0.3649,0.19,-0.05,0.07,0.09,0.047,0,Monte Carlo
Karl-Anthony Towns,Chet Holmgren,22.0,18.5,18.3,18.85,under,over,0.771,0.522,0.3622,0.193,-0.056,0.068,0.09,0.043,0,Monte Carlo
Keon Ellis,Kawhi Leonard,6.5,24.5,5.92,20.35,under,under,0.563,0.715,0.3622,-0.015,0.137,0.061,0.09,0.043,0,Monte Carlo
Cam Whitmore,Kawhi Leonard,10.5,24.5,11.28,20.35,over,under,0.566,0.715,0.3639,-0.012,0.137,0.062,0.09,0.046,0,Monte Carlo
Tyrese Maxey,Zach LaVine,28.5,21.5,25.84,22.18,under,over,0.645,0.628,0.3645,0.067,0.05,0.058,0.09,0.047,0,Monte Carlo
Tre Mann,Ryan Rollins,8.5,11.0,8.79,13.11,over,over,0.517,0.77,0.3584,-0.061,0.192,0.066,0.08,0.038,0,Monte Carlo
Bam Adebayo,Kawhi Leonard,21.5,24.5,22.79,20.35,over,under,0.561,0.715,0.361,-0.017,0.137,0.06,0.08,0.042,0,Monte Carlo
Ryan Rollins,Chet Holmgren,11.0,18.5,13.11,18.85,over,over,0.763,0.522,0.3584,0.185,-0.056,0.064,0.08,0.038,0,Monte Carlo
LaMelo Ball,Buddy Hield,25.5,7.5,22.82,9.45,under,over,0.672,0.596,0.3607,0.094,0.018,0.056,0.08,0.041,0,Monte Carlo
Collin Sexton,Draymond Green,18.5,8.5,17.15,9.95,under,over,0.59,0.677,0.3599,0.012,0.099,0.056,0.08,0.04,0,Monte Carlo
Kon Knueppel,Chet Holmgren,13.5,18.5,11.34,18.85,under,over,0.768,0.522,0.3609,0.19,-0.056,0.067,0.08,0.041,0,Monte Carlo
Bobby Portis,Luguentz Dort,9.5,9.5,7.54,8.56,under,under,0.618,0.644,0.3585,0.04,0.066,0.053,0.08,0.038,0,Monte Carlo
Tyrese Maxey,Kyle Kuzma,28.5,8.5,25.84,9.15,under,over,0.645,0.621,0.3604,0.067,0.043,0.055,0.08,0.041,0,Monte Carlo
Corey Kispert,Buddy Hield,8.0,7.5,6.69,9.45,under,over,0.67,0.596,0.3592,0.091,0.018,0.055,0.08,0.039,0,Monte Carlo
Kon Knueppel,OG Anunoby,13.5,15.5,11.34,15.0,under,under,0.768,0.521,0.3601,0.19,-0.057,0.066,0.08,0.04,0,Monte Carlo
Myles Turner,Ivica Zubac,13.5,15.5,11.52,13.35,under,under,0.65,0.617,0.3609,0.072,0.039,0.055,0.08,0.041,0,Monte Carlo
Karl-Anthony Towns,Ajay Mitchell,22.0,14.5,18.3,14.74,under,over,0.771,0.518,0.3593,0.193,-0.06,0.066,0.08,0.039,0,Monte Carlo
Alex Sarr,LaMelo Ball,13.5,25.5,12.72,22.82,under,under,0.603,0.666,0.3616,0.025,0.088,0.057,0.08,0.042,0,Monte Carlo
Tre Johnson,LaMelo Ball,13.5,25.5,12.94,22.82,under,under,0.601,0.666,0.3603,0.023,0.088,0.055,0.08,0.04,0,Monte Carlo
DeMar DeRozan,Chris Paul,19.5,4.5,15.71,5.04,under,over,0.703,0.568,0.3595,0.125,-0.01,0.058,0.08,0.039,0,Monte Carlo
Luguentz Dort,Ivica Zubac,9.5,15.5,8.56,13.35,under,under,0.647,0.617,0.3591,0.069,0.039,0.054,0.08,0.039,0,Monte Carlo
Tre Johnson,Isaiah Hartenstein,13.5,10.5,12.94,8.01,under,under,0.601,0.659,0.356,0.023,0.081,0.052,0.07,0.034,0,Monte Carlo
Kyle Kuzma,Luguentz Dort,8.5,9.5,9.15,8.56,over,under,0.616,0.644,0.3575,0.038,0.066,0.052,0.07,0.036,0,Monte Carlo
Dru Smith,Brook Lopez,5.5,6.5,7.0,9.53,over,over,0.58,0.681,0.3558,0.002,0.103,0.053,0.07,0.034,0,Monte Carlo
Ryan Rollins,Ajay Mitchell,11.0,14.5,13.11,14.74,over,over,0.763,0.518,0.3556,0.185,-0.06,0.062,0.07,0.033,0,Monte Carlo
DeMar DeRozan,Cason Wallace,19.5,9.5,15.71,8.11,under,under,0.703,0.563,0.3566,0.125,-0.015,0.055,0.07,0.035,0,Monte Carlo
