NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,SIMULATION_METHOD
Ja Morant,Bovada,player_points,23.5,130,Under,27.67,0,0.649,0.351,0.435,0.351,-0.084,-1.92,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Franz Wagner,Bovada,player_points,23.5,-170,Under,23.31,0,0.492,0.508,0.63,0.508,-0.122,-1.93,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Jarrett Allen,FanDuel,player_points,13.5,-111,Under,14.9,0,0.576,0.424,0.526,0.424,-0.102,-1.93,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Cade Cunningham,Bovada,player_points,26.5,-135,Under,27.45,0,0.536,0.464,0.574,0.464,-0.111,-1.93,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Cade Cunningham,Bovada,player_points,27.5,-165,Under,27.45,0,0.498,0.502,0.623,0.502,-0.121,-1.94,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Franz Wagner,Bovada,player_points,19.5,135,Under,23.31,0,0.657,0.343,0.426,0.343,-0.083,-1.94,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
De'Andre Hunter,BetMGM,player_points,18.5,-135,Under,19.32,0,0.537,0.463,0.574,0.463,-0.112,-1.94,0.0,0.0,"(2.0, 36.7)",34.72,8.86,High,Analytical
Cade Cunningham,BetRivers,player_points,27.5,-165,Under,27.45,0,0.498,0.502,0.623,0.502,-0.121,-1.94,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Donte DiVincenzo,Bovada,player_points,12.5,170,Under,16.94,0,0.702,0.298,0.37,0.298,-0.072,-1.94,0.0,0.0,"(0.5, 33.4)",32.93,8.4,High,Analytical
Jalen Johnson,Bovada,player_points,18.5,-145,Under,19.19,0,0.523,0.477,0.592,0.477,-0.115,-1.94,0.0,0.0,"(0.0, 42.7)",42.72,12.0,High,Analytical
Cade Cunningham,BetRivers,player_points,26.5,-136,Under,27.45,0,0.536,0.464,0.576,0.464,-0.113,-1.95,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Dalton Knecht,Bovada,player_points,12.5,140,Over,9.9,0,0.336,0.664,0.417,0.336,-0.081,-1.95,0.0,0.0,"(0.0, 21.9)",21.91,6.13,High,Analytical
Jarrett Allen,Bovada,player_points,11.5,150,Under,14.9,0,0.679,0.321,0.4,0.321,-0.079,-1.96,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Franz Wagner,Bovada,player_points,20.5,110,Under,23.31,0,0.617,0.383,0.476,0.383,-0.093,-1.96,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Donovan Mitchell,DraftKings,player_points,27.5,-108,Under,29.8,0,0.582,0.418,0.519,0.418,-0.102,-1.96,0.0,0.0,"(8.2, 51.4)",43.24,11.03,High,Analytical
Immanuel Quickley,BetRivers,player_points,17.5,-150,Under,17.87,0,0.518,0.482,0.6,0.482,-0.118,-1.96,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Ja Morant,BetMGM,player_points,25.5,-110,Under,27.67,0,0.579,0.421,0.524,0.421,-0.103,-1.96,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Cade Cunningham,FanDuel,player_points,25.5,-113,Under,27.45,0,0.574,0.426,0.531,0.426,-0.105,-1.97,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Pascal Siakam,BetRivers,player_points,23.5,114,Under,27.52,0,0.625,0.375,0.467,0.375,-0.092,-1.97,0.0,0.0,"(2.8, 52.3)",49.52,12.63,High,Analytical
Trey Murphy III,Bovada,player_points,14.5,165,Under,19.2,0,0.697,0.303,0.377,0.303,-0.074,-1.97,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Jaylon Tyson,Bovada,player_points,10.5,-185,Under,10.16,0,0.48,0.52,0.649,0.52,-0.129,-1.98,0.0,0.0,"(0.0, 23.1)",23.11,6.61,High,Analytical
Jarace Walker,FanDuel,player_points,11.5,-125,Under,12.49,0,0.554,0.446,0.556,0.446,-0.11,-1.98,0.0,0.0,"(0.0, 26.8)",26.76,7.28,High,Analytical
Franz Wagner,BetOnline.ag,player_points,21.5,-112,Under,23.31,0,0.576,0.424,0.528,0.424,-0.105,-1.98,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Jaylon Tyson,Bovada,player_points,8.5,100,Under,10.16,0,0.599,0.401,0.5,0.401,-0.099,-1.99,0.0,0.0,"(0.0, 23.1)",23.11,6.61,High,Analytical
Jaylon Tyson,Bovada,player_points,9.5,-135,Under,10.16,0,0.54,0.46,0.574,0.46,-0.114,-1.99,0.0,0.0,"(0.0, 23.1)",23.11,6.61,High,Analytical
Devin Booker,BetMGM,player_points,30.5,-125,Under,32.0,0,0.555,0.445,0.556,0.445,-0.11,-1.99,0.0,0.0,"(10.7, 53.3)",42.55,10.85,High,Analytical
Immanuel Quickley,DraftKings,player_points,16.5,-119,Under,17.87,0,0.565,0.435,0.543,0.435,-0.108,-1.99,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Pascal Siakam,BetRivers,player_points,25.5,-120,Under,27.52,0,0.564,0.436,0.545,0.436,-0.109,-2.0,0.0,0.0,"(2.8, 52.3)",49.52,12.63,High,Analytical
Franz Wagner,FanDuel,player_points,21.5,-113,Under,23.31,0,0.576,0.424,0.531,0.424,-0.107,-2.01,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Jarrett Allen,Bovada,player_points,12.5,115,Under,14.9,0,0.628,0.372,0.465,0.372,-0.093,-2.01,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Pascal Siakam,BetRivers,player_points,24.5,-103,Under,27.52,0,0.595,0.405,0.507,0.405,-0.102,-2.01,0.0,0.0,"(2.8, 52.3)",49.52,12.63,High,Analytical
Cade Cunningham,BetRivers,player_points,25.5,-114,Under,27.45,0,0.574,0.426,0.533,0.426,-0.107,-2.01,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Pascal Siakam,BetRivers,player_points,26.5,-141,Under,27.52,0,0.532,0.468,0.585,0.468,-0.117,-2.01,0.0,0.0,"(2.8, 52.3)",49.52,12.63,High,Analytical
Jarrett Allen,Bovada,player_points,14.5,-150,Under,14.9,0,0.522,0.478,0.6,0.478,-0.122,-2.03,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Cade Cunningham,Bovada,player_points,25.5,-115,Under,27.45,0,0.574,0.426,0.535,0.426,-0.109,-2.04,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Ja Morant,Bovada,player_points,26.5,-135,Under,27.67,0,0.543,0.457,0.574,0.457,-0.117,-2.04,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Immanuel Quickley,BetRivers,player_points,16.5,-121,Under,17.87,0,0.565,0.435,0.548,0.435,-0.112,-2.05,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Austin Reaves,Bovada,player_points,33.5,-190,Under,33.0,0,0.479,0.521,0.655,0.521,-0.134,-2.05,0.0,0.0,"(14.2, 51.8)",37.63,9.6,High,Analytical
Ja Morant,DraftKings,player_points,25.5,-113,Under,27.67,0,0.579,0.421,0.531,0.421,-0.109,-2.06,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Pascal Siakam,FanDuel,player_points,25.5,-122,Under,27.52,0,0.564,0.436,0.55,0.436,-0.113,-2.06,0.0,0.0,"(2.8, 52.3)",49.52,12.63,High,Analytical
Dalton Knecht,FanDuel,player_points,11.5,100,Over,9.9,0,0.397,0.603,0.5,0.397,-0.103,-2.06,0.0,0.0,"(0.0, 21.9)",21.91,6.13,High,Analytical
Derrick White,Bovada,player_points,17.5,165,Under,23.06,0,0.701,0.299,0.377,0.299,-0.078,-2.07,0.0,0.0,"(2.4, 43.7)",41.32,10.54,High,Analytical
Evan Mobley,Bovada,player_points,22.5,-110,Over,20.64,0,0.415,0.585,0.524,0.415,-0.108,-2.07,0.0,0.0,"(3.6, 37.7)",34.05,8.68,High,Analytical
Jarrett Allen,Bovada,player_points,13.5,-115,Under,14.9,0,0.576,0.424,0.535,0.424,-0.111,-2.07,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Cade Cunningham,BetRivers,player_points,24.5,104,Under,27.45,0,0.611,0.389,0.49,0.389,-0.102,-2.07,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Immanuel Quickley,FanDuel,player_points,16.5,-122,Under,17.87,0,0.565,0.435,0.55,0.435,-0.114,-2.08,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Immanuel Quickley,BetOnline.ag,player_points,16.5,-122,Under,17.87,0,0.565,0.435,0.55,0.435,-0.114,-2.08,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Lonzo Ball,BetRivers,player_points,7.5,-109,Under,9.04,0,0.587,0.413,0.522,0.413,-0.108,-2.08,0.0,0.0,"(0.0, 22.8)",22.85,7.04,High,Analytical
Franz Wagner,Bovada,player_points,21.5,-115,Under,23.31,0,0.576,0.424,0.535,0.424,-0.111,-2.08,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Ja Morant,Bovada,player_points,24.5,105,Under,27.67,0,0.614,0.386,0.488,0.386,-0.102,-2.09,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Payton Pritchard,Bovada,player_points,13.5,170,Under,18.75,0,0.707,0.293,0.37,0.293,-0.077,-2.09,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Trey Murphy III,Bovada,player_points,15.5,130,Under,19.2,0,0.658,0.342,0.435,0.342,-0.092,-2.12,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Evan Mobley,Bovada,player_points,20.5,-180,Over,20.64,0,0.507,0.493,0.643,0.507,-0.136,-2.12,0.0,0.0,"(3.6, 37.7)",34.05,8.68,High,Analytical
Saddiq Bey,DraftKings,player_points,9.5,103,Under,11.54,0,0.612,0.388,0.493,0.388,-0.104,-2.12,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
Franz Wagner,Bovada,player_points,22.5,-145,Under,23.31,0,0.534,0.466,0.592,0.466,-0.126,-2.13,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Ja Morant,Bovada,player_points,25.5,-115,Under,27.67,0,0.579,0.421,0.535,0.421,-0.114,-2.13,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Jake LaRavia,FanDuel,player_points,9.5,-102,Under,11.27,0,0.603,0.397,0.505,0.397,-0.108,-2.13,0.0,0.0,"(0.0, 24.6)",24.63,6.81,High,Analytical
Ja Morant,BetRivers,player_points,26.5,-139,Under,27.67,0,0.543,0.457,0.582,0.457,-0.124,-2.14,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Immanuel Quickley,BetRivers,player_points,15.5,102,Under,17.87,0,0.611,0.389,0.495,0.389,-0.106,-2.14,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Payton Pritchard,BetOnline.ag,player_points,16.5,-108,Under,18.75,0,0.592,0.408,0.519,0.408,-0.111,-2.15,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Immanuel Quickley,Bovada,player_points,13.5,160,Under,17.87,0,0.698,0.302,0.385,0.302,-0.083,-2.16,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Ja Morant,Bovada,player_points,27.5,-170,Under,27.67,0,0.506,0.494,0.63,0.494,-0.136,-2.16,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Jarrett Allen,BetRivers,player_points,13.5,-118,Under,14.9,0,0.576,0.424,0.541,0.424,-0.117,-2.16,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Donte DiVincenzo,Bovada,player_points,13.5,130,Under,16.94,0,0.659,0.341,0.435,0.341,-0.094,-2.16,0.0,0.0,"(0.5, 33.4)",32.93,8.4,High,Analytical
Jake LaRavia,Bovada,player_points,7.5,170,Under,11.27,0,0.71,0.29,0.37,0.29,-0.08,-2.17,0.0,0.0,"(0.0, 24.6)",24.63,6.81,High,Analytical
Donte DiVincenzo,BetOnline.ag,player_points,15.5,-123,Under,16.94,0,0.568,0.432,0.552,0.432,-0.12,-2.17,0.0,0.0,"(0.5, 33.4)",32.93,8.4,High,Analytical
Jarace Walker,BetRivers,player_points,11.5,-132,Under,12.49,0,0.554,0.446,0.569,0.446,-0.123,-2.17,0.0,0.0,"(0.0, 26.8)",26.76,7.28,High,Analytical
Saddiq Bey,BetMGM,player_points,10.5,-130,Under,11.54,0,0.557,0.443,0.565,0.443,-0.123,-2.17,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
Franz Wagner,BetMGM,player_points,21.5,-118,Under,23.31,0,0.576,0.424,0.541,0.424,-0.118,-2.17,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Jake LaRavia,BetOnline.ag,player_points,9.5,-103,Under,11.27,0,0.603,0.397,0.507,0.397,-0.11,-2.17,0.0,0.0,"(0.0, 24.6)",24.63,6.81,High,Analytical
Trey Murphy III,Bovada,player_points,17.5,-120,Under,19.2,0,0.574,0.426,0.545,0.426,-0.119,-2.19,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Santi Aldama,BetRivers,player_points,12.5,-165,Under,12.73,0,0.514,0.486,0.623,0.486,-0.136,-2.19,0.0,0.0,"(0.0, 26.1)",26.08,6.81,High,Analytical
Ja Morant,BetRivers,player_points,25.5,-117,Under,27.67,0,0.579,0.421,0.539,0.421,-0.118,-2.19,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Trey Murphy III,DraftKings,player_points,17.5,-120,Under,19.2,0,0.574,0.426,0.545,0.426,-0.119,-2.19,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Saddiq Bey,BetOnline.ag,player_points,9.5,101,Under,11.54,0,0.612,0.388,0.498,0.388,-0.109,-2.2,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
Evan Mobley,Bovada,player_points,23.5,110,Over,20.64,0,0.371,0.629,0.476,0.371,-0.105,-2.21,0.0,0.0,"(3.6, 37.7)",34.05,8.68,High,Analytical
Ja Morant,BetRivers,player_points,24.5,102,Under,27.67,0,0.614,0.386,0.495,0.386,-0.109,-2.21,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Evan Mobley,Bovada,player_points,21.5,-145,Over,20.64,0,0.461,0.539,0.592,0.461,-0.131,-2.21,0.0,0.0,"(3.6, 37.7)",34.05,8.68,High,Analytical
Dalton Knecht,Bovada,player_points,13.5,180,Over,9.9,0,0.278,0.722,0.357,0.278,-0.079,-2.21,0.0,0.0,"(0.0, 21.9)",21.91,6.13,High,Analytical
Lonzo Ball,BetRivers,player_points,8.5,-152,Under,9.04,0,0.531,0.469,0.603,0.469,-0.134,-2.22,0.0,0.0,"(0.0, 22.8)",22.85,7.04,High,Analytical
Grayson Allen,Bovada,player_points,13.5,180,Under,18.87,0,0.723,0.277,0.357,0.277,-0.08,-2.23,0.0,0.0,"(1.1, 36.7)",35.63,9.09,High,Analytical
Payton Pritchard,BetRivers,player_points,17.5,-137,Under,18.75,0,0.552,0.448,0.578,0.448,-0.13,-2.24,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Franz Wagner,BetRivers,player_points,22.5,-150,Under,23.31,0,0.534,0.466,0.6,0.466,-0.134,-2.24,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Christian Braun,Bovada,player_points,10.5,165,Under,16.2,0,0.708,0.292,0.377,0.292,-0.085,-2.25,0.0,0.0,"(0.0, 36.6)",36.64,10.43,High,Analytical
Grayson Allen,DraftKings,player_points,16.5,-105,Under,18.87,0,0.603,0.397,0.512,0.397,-0.115,-2.25,0.0,0.0,"(1.1, 36.7)",35.63,9.09,High,Analytical
Immanuel Quickley,Bovada,player_points,14.5,125,Under,17.87,0,0.656,0.344,0.444,0.344,-0.1,-2.25,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Dalton Knecht,BetOnline.ag,player_points,11.5,-105,Over,9.9,0,0.397,0.603,0.512,0.397,-0.115,-2.25,0.0,0.0,"(0.0, 21.9)",21.91,6.13,High,Analytical
Cade Cunningham,BetRivers,player_points,23.5,120,Under,27.45,0,0.648,0.352,0.455,0.352,-0.102,-2.25,0.0,0.0,"(7.0, 47.9)",40.86,10.42,High,Analytical
Devin Booker,BetRivers,player_points,31.5,-165,Under,32.0,0,0.518,0.482,0.623,0.482,-0.141,-2.26,0.0,0.0,"(10.7, 53.3)",42.55,10.85,High,Analytical
Santi Aldama,BetRivers,player_points,11.5,-124,Under,12.73,0,0.572,0.428,0.554,0.428,-0.125,-2.26,0.0,0.0,"(0.0, 26.1)",26.08,6.81,High,Analytical
Saddiq Bey,Bovada,player_points,8.5,130,Under,11.54,0,0.664,0.336,0.435,0.336,-0.099,-2.27,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
Devin Booker,BetRivers,player_points,30.5,-136,Under,32.0,0,0.555,0.445,0.576,0.445,-0.131,-2.28,0.0,0.0,"(10.7, 53.3)",42.55,10.85,High,Analytical
Jaylon Tyson,FanDuel,player_points,8.5,-108,Under,10.16,0,0.599,0.401,0.519,0.401,-0.119,-2.28,0.0,0.0,"(0.0, 23.1)",23.11,6.61,High,Analytical
Pascal Siakam,BetMGM,player_points,25.5,-130,Under,27.52,0,0.564,0.436,0.565,0.436,-0.129,-2.28,0.0,0.0,"(2.8, 52.3)",49.52,12.63,High,Analytical
Payton Pritchard,DraftKings,player_points,16.5,-112,Under,18.75,0,0.592,0.408,0.528,0.408,-0.121,-2.28,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Ja Morant,BetRivers,player_points,23.5,120,Under,27.67,0,0.649,0.351,0.455,0.351,-0.103,-2.28,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Ja Morant,FanDuel,player_points,25.5,-120,Under,27.67,0,0.579,0.421,0.545,0.421,-0.124,-2.28,0.0,0.0,"(6.3, 49.0)",42.73,10.9,High,Analytical
Dalton Knecht,DraftKings,player_points,11.5,-106,Over,9.9,0,0.397,0.603,0.515,0.397,-0.118,-2.29,0.0,0.0,"(0.0, 21.9)",21.91,6.13,High,Analytical
Franz Wagner,BetRivers,player_points,21.5,-122,Under,23.31,0,0.576,0.424,0.55,0.424,-0.126,-2.29,0.0,0.0,"(4.8, 41.8)",36.98,9.43,High,Analytical
Donte DiVincenzo,Bovada,player_points,14.5,100,Under,16.94,0,0.614,0.386,0.5,0.386,-0.114,-2.29,0.0,0.0,"(0.5, 33.4)",32.93,8.4,High,Analytical
Saddiq Bey,Bovada,player_points,10.5,-135,Under,11.54,0,0.557,0.443,0.574,0.443,-0.132,-2.3,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
Austin Reaves,Bovada,player_points,32.5,-165,Under,33.0,0,0.521,0.479,0.623,0.479,-0.143,-2.3,0.0,0.0,"(14.2, 51.8)",37.63,9.6,High,Analytical
Trey Murphy III,Bovada,player_points,19.5,-200,Under,19.2,0,0.487,0.513,0.667,0.513,-0.154,-2.31,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Shaedon Sharpe,Bovada,player_points,21.5,-115,Under,23.95,0,0.588,0.412,0.535,0.412,-0.123,-2.31,0.0,0.0,"(2.5, 45.4)",42.92,10.95,High,Analytical
Shaedon Sharpe,BetMGM,player_points,21.5,-115,Under,23.95,0,0.588,0.412,0.535,0.412,-0.123,-2.31,0.0,0.0,"(2.5, 45.4)",42.92,10.95,High,Analytical
Donte DiVincenzo,Bovada,player_points,16.5,-165,Under,16.94,0,0.521,0.479,0.623,0.479,-0.144,-2.31,0.0,0.0,"(0.5, 33.4)",32.93,8.4,High,Analytical
Payton Pritchard,BetRivers,player_points,16.5,-113,Under,18.75,0,0.592,0.408,0.531,0.408,-0.123,-2.31,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Jarrett Allen,BetRivers,player_points,14.5,-165,Under,14.9,0,0.522,0.478,0.623,0.478,-0.144,-2.32,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Lonzo Ball,BetRivers,player_points,6.5,114,Under,9.04,0,0.641,0.359,0.467,0.359,-0.108,-2.32,0.0,0.0,"(0.0, 22.8)",22.85,7.04,High,Analytical
Trey Murphy III,BetOnline.ag,player_points,17.5,-125,Under,19.2,0,0.574,0.426,0.556,0.426,-0.13,-2.33,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Trey Murphy III,BetMGM,player_points,16.5,100,Under,19.2,0,0.616,0.384,0.5,0.384,-0.116,-2.33,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
De'Andre Hunter,DraftKings,player_points,17.5,-120,Under,19.32,0,0.582,0.418,0.545,0.418,-0.127,-2.33,0.0,0.0,"(2.0, 36.7)",34.72,8.86,High,Analytical
Trey Murphy III,Bovada,player_points,17.5,-125,Under,19.2,0,0.574,0.426,0.556,0.426,-0.13,-2.33,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Santi Aldama,DraftKings,player_points,11.5,-127,Under,12.73,0,0.572,0.428,0.559,0.428,-0.131,-2.34,0.0,0.0,"(0.0, 26.1)",26.08,6.81,High,Analytical
Immanuel Quickley,Bovada,player_points,17.5,-170,Under,17.87,0,0.518,0.482,0.63,0.482,-0.147,-2.34,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Derrick White,Bovada,player_points,18.5,130,Under,23.06,0,0.667,0.333,0.435,0.333,-0.102,-2.35,0.0,0.0,"(2.4, 43.7)",41.32,10.54,High,Analytical
Devin Booker,BetRivers,player_points,29.5,-115,Under,32.0,0,0.591,0.409,0.535,0.409,-0.126,-2.35,0.0,0.0,"(10.7, 53.3)",42.55,10.85,High,Analytical
Payton Pritchard,BetRivers,player_points,15.5,108,Under,18.75,0,0.632,0.368,0.481,0.368,-0.113,-2.35,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Jarace Walker,BetRivers,player_points,10.5,-105,Under,12.49,0,0.608,0.392,0.512,0.392,-0.12,-2.35,0.0,0.0,"(0.0, 26.8)",26.76,7.28,High,Analytical
Kristaps Porzingis,BetOnline.ag,player_points,18.5,-123,Under,20.5,0,0.579,0.421,0.552,0.421,-0.13,-2.36,0.0,0.0,"(0.8, 40.2)",39.45,10.06,High,Analytical
Donte DiVincenzo,Bovada,player_points,15.5,-130,Under,16.94,0,0.568,0.432,0.565,0.432,-0.133,-2.36,0.0,0.0,"(0.5, 33.4)",32.93,8.4,High,Analytical
Duncan Robinson,DraftKings,player_points,9.5,-110,Under,11.51,0,0.6,0.4,0.524,0.4,-0.123,-2.36,0.0,0.0,"(0.0, 27.1)",27.14,7.98,High,Analytical
Trey Murphy III,Bovada,player_points,18.5,-160,Under,19.2,0,0.531,0.469,0.615,0.469,-0.146,-2.37,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Santi Aldama,BetOnline.ag,player_points,11.5,-128,Under,12.73,0,0.572,0.428,0.561,0.428,-0.133,-2.37,0.0,0.0,"(0.0, 26.1)",26.08,6.81,High,Analytical
Jarrett Allen,BetRivers,player_points,12.5,105,Under,14.9,0,0.628,0.372,0.488,0.372,-0.116,-2.38,0.0,0.0,"(0.5, 29.3)",28.73,7.33,High,Analytical
Austin Reaves,Bovada,player_points,31.5,-135,Under,33.0,0,0.562,0.438,0.574,0.438,-0.137,-2.38,0.0,0.0,"(14.2, 51.8)",37.63,9.6,High,Analytical
Cameron Johnson,Bovada,player_points,9.5,160,Under,15.93,0,0.707,0.293,0.385,0.293,-0.092,-2.38,0.0,0.0,"(0.0, 39.0)",39.05,11.8,High,Analytical
Duncan Robinson,FanDuel,player_points,9.5,-111,Under,11.51,0,0.6,0.4,0.526,0.4,-0.126,-2.39,0.0,0.0,"(0.0, 27.1)",27.14,7.98,High,Analytical
Saddiq Bey,Bovada,player_points,11.5,-190,Under,11.54,0,0.502,0.498,0.655,0.498,-0.157,-2.4,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
Immanuel Quickley,Bovada,player_points,15.5,-105,Under,17.87,0,0.611,0.389,0.512,0.389,-0.123,-2.4,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Duncan Robinson,Bovada,player_points,8.5,115,Under,11.51,0,0.647,0.353,0.465,0.353,-0.112,-2.41,0.0,0.0,"(0.0, 27.1)",27.14,7.98,High,Analytical
Trey Murphy III,FanDuel,player_points,17.5,-128,Under,19.2,0,0.574,0.426,0.561,0.426,-0.135,-2.41,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Trey Murphy III,BetRivers,player_points,18.5,-162,Under,19.2,0,0.531,0.469,0.618,0.469,-0.149,-2.41,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Saddiq Bey,Bovada,player_points,9.5,-105,Under,11.54,0,0.612,0.388,0.512,0.388,-0.124,-2.42,0.0,0.0,"(0.0, 25.6)",25.59,7.17,High,Analytical
De'Andre Hunter,BetRivers,player_points,18.5,-157,Under,19.32,0,0.537,0.463,0.611,0.463,-0.148,-2.42,0.0,0.0,"(2.0, 36.7)",34.72,8.86,High,Analytical
Santi Aldama,BetRivers,player_points,10.5,104,Under,12.73,0,0.628,0.372,0.49,0.372,-0.119,-2.42,0.0,0.0,"(0.0, 26.1)",26.08,6.81,High,Analytical
Payton Pritchard,Bovada,player_points,14.5,130,Under,18.75,0,0.67,0.33,0.435,0.33,-0.105,-2.42,0.0,0.0,"(0.0, 37.6)",37.65,9.64,High,Analytical
Santi Aldama,Bovada,player_points,11.5,-130,Under,12.73,0,0.572,0.428,0.565,0.428,-0.137,-2.42,0.0,0.0,"(0.0, 26.1)",26.08,6.81,High,Analytical
Immanuel Quickley,Bovada,player_points,16.5,-135,Under,17.87,0,0.565,0.435,0.574,0.435,-0.139,-2.42,0.0,0.0,"(1.4, 34.3)",32.96,8.41,High,Analytical
Grayson Allen,Bovada,player_points,14.5,140,Under,18.87,0,0.685,0.315,0.417,0.315,-0.101,-2.43,0.0,0.0,"(1.1, 36.7)",35.63,9.09,High,Analytical
Evan Mobley,Bovada,player_points,24.5,130,Over,20.64,0,0.329,0.671,0.435,0.329,-0.106,-2.44,0.0,0.0,"(3.6, 37.7)",34.05,8.68,High,Analytical
Devin Booker,DraftKings,player_points,29.5,-118,Under,32.0,0,0.591,0.409,0.541,0.409,-0.132,-2.44,0.0,0.0,"(10.7, 53.3)",42.55,10.85,High,Analytical
Trae Young,BetRivers,player_points,23.5,-117,Under,26.03,0,0.593,0.407,0.539,0.407,-0.132,-2.44,0.0,0.0,"(4.9, 47.2)",42.35,10.8,High,Analytical
Trey Murphy III,BetRivers,player_points,17.5,-129,Under,19.2,0,0.574,0.426,0.563,0.426,-0.137,-2.44,0.0,0.0,"(1.3, 37.1)",35.76,9.12,High,Analytical
Devin Booker,BetRivers,player_points,28.5,102,Under,32.0,0,0.626,0.374,0.495,0.374,-0.121,-2.45,0.0,0.0,"(10.7, 53.3)",42.55,10.85,High,Analytical
