NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,SIMULATION_METHOD
Ryan Dunn,Bovada,player_points,9.5,140,Over,12.19,0,0.659,0.341,0.417,0.659,0.242,5.81,0.415,3.5,"(0.0, 25.1)",25.05,6.56,High,Analytical
Oso Ighodaro,BetMGM,player_points,5.5,-115,Over,11.97,0,0.845,0.155,0.535,0.845,0.31,5.8,0.667,2.17,"(0.0, 24.5)",24.48,6.38,High,Analytical
Neemias Queta,BetRivers,player_points,8.5,112,Over,13.22,0,0.745,0.255,0.472,0.745,0.273,5.8,0.518,2.8,"(0.0, 27.3)",27.27,7.17,High,Analytical
Tari Eason,BetRivers,player_points,11.5,120,Over,15.01,0,0.718,0.282,0.455,0.718,0.263,5.79,0.483,3.0,"(3.1, 26.9)",23.85,6.08,High,Analytical
Jalen Suggs,Bovada,player_points,12.5,180,Over,13.63,0,0.564,0.436,0.357,0.564,0.207,5.79,0.321,4.5,"(0.0, 27.5)",27.48,7.07,High,Analytical
Kevin Durant,DraftKings,player_points,25.5,-110,Over,34.19,0,0.827,0.173,0.524,0.827,0.303,5.79,0.637,2.27,"(16.1, 52.2)",36.12,9.21,High,Analytical
Kevin Durant,BetMGM,player_points,25.5,-110,Over,34.19,0,0.827,0.173,0.524,0.827,0.303,5.79,0.637,2.27,"(16.1, 52.2)",36.12,9.21,High,Analytical
Ausar Thompson,Bovada,player_points,13.5,115,Over,20.24,0,0.733,0.267,0.465,0.733,0.268,5.76,0.501,2.88,"(0.0, 41.5)",41.47,10.83,High,Analytical
P.J. Washington,Bovada,player_points,18.5,185,Over,19.62,0,0.553,0.447,0.351,0.553,0.202,5.76,0.312,4.62,"(3.2, 36.0)",32.85,8.38,High,Analytical
Walker Kessler,Bovada,player_points,11.5,110,Over,16.14,0,0.75,0.25,0.476,0.75,0.274,5.75,0.523,2.75,"(2.7, 29.6)",26.97,6.88,High,Analytical
Svi Mykhailiuk,Bovada,player_points,11.5,185,Over,12.47,0,0.552,0.448,0.351,0.552,0.201,5.73,0.31,4.62,"(0.0, 27.0)",26.99,7.41,High,Analytical
Oso Ighodaro,DraftKings,player_points,5.5,-116,Over,11.97,0,0.845,0.155,0.537,0.845,0.308,5.73,0.665,2.16,"(0.0, 24.5)",24.48,6.38,High,Analytical
Zaccharie Risacher,BetRivers,player_points,10.5,-109,Over,18.01,0,0.819,0.181,0.522,0.819,0.298,5.71,0.622,2.29,"(1.9, 34.1)",32.25,8.23,High,Analytical
Reed Sheppard,DraftKings,player_points,9.5,-112,Over,18.86,0,0.83,0.17,0.528,0.83,0.301,5.7,0.639,2.23,"(0.0, 38.1)",38.11,9.82,High,Analytical
Reed Sheppard,BetOnline.ag,player_points,9.5,-112,Over,18.86,0,0.83,0.17,0.528,0.83,0.301,5.7,0.639,2.23,"(0.0, 38.1)",38.11,9.82,High,Analytical
Josh Okogie,DraftKings,player_points,7.5,-130,Over,16.27,0,0.887,0.113,0.565,0.887,0.321,5.69,0.739,1.92,"(2.1, 30.5)",28.44,7.25,High,Analytical
Josh Okogie,BetRivers,player_points,7.5,-130,Over,16.27,0,0.887,0.113,0.565,0.887,0.321,5.69,0.739,1.92,"(2.1, 30.5)",28.44,7.25,High,Analytical
Kris Murray,Bovada,player_points,6.5,135,Over,9.01,0,0.667,0.333,0.426,0.667,0.242,5.69,0.421,3.38,"(0.0, 20.4)",20.4,5.81,Med,Analytical
Ben Saraf,FanDuel,player_points,5.5,100,Over,10.65,0,0.784,0.216,0.5,0.784,0.284,5.68,0.568,2.5,"(0.0, 23.5)",23.5,6.56,High,Analytical
Tristan da Silva,BetRivers,player_points,7.5,-104,Over,13.64,0,0.8,0.2,0.51,0.8,0.29,5.68,0.591,2.4,"(0.0, 28.0)",27.97,7.31,High,Analytical
Reed Sheppard,FanDuel,player_points,9.5,-113,Over,18.86,0,0.83,0.17,0.531,0.83,0.299,5.64,0.637,2.21,"(0.0, 38.1)",38.11,9.82,High,Analytical
Zaccharie Risacher,DraftKings,player_points,10.5,-110,Over,18.01,0,0.819,0.181,0.524,0.819,0.295,5.64,0.62,2.27,"(1.9, 34.1)",32.25,8.23,High,Analytical
Mike Conley,Bovada,player_points,11.5,180,Over,12.56,0,0.557,0.443,0.357,0.557,0.2,5.61,0.311,4.5,"(0.0, 26.9)",26.92,7.33,High,Analytical
Zaccharie Risacher,FanDuel,player_points,10.5,-111,Over,18.01,0,0.819,0.181,0.526,0.819,0.293,5.57,0.619,2.25,"(1.9, 34.1)",32.25,8.23,High,Analytical
Kyle Filipowski,Bovada,player_points,12.5,175,Over,13.7,0,0.566,0.434,0.364,0.566,0.202,5.57,0.318,4.38,"(0.0, 27.8)",27.8,7.2,High,Analytical
Jaylen Brown,Bovada,player_points,27.5,180,Over,29.33,0,0.556,0.444,0.357,0.556,0.199,5.57,0.31,4.5,"(4.0, 54.7)",50.66,12.92,High,Analytical
