BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
PrizePicks,player_field_goals,Satou Sabally,Under,5.0,-137
PrizePicks,player_field_goals,Alyssa Thomas,Over,6.0,-137
PrizePicks,player_field_goals,Alyssa Thomas,Under,6.0,-137
PrizePicks,player_frees_made,Napheesa Collier,Over,4.0,-137
PrizePicks,player_frees_made,Napheesa Collier,Under,4.0,-137
PrizePicks,player_frees_made,Veronica Burton,Over,3.5,-137
PrizePicks,player_frees_made,Veronica Burton,Under,3.5,-137
PrizePicks,player_frees_made,Breanna Stewart,Over,5.5,-137
PrizePicks,player_frees_made,Breanna Stewart,Under,5.5,-137
PrizePicks,player_frees_made,Sabrina Ionescu,Over,4.0,-137
PrizePicks,player_frees_made,Sabrina Ionescu,Under,4.0,-137
PrizePicks,player_frees_made,Jonquel Jones,Over,1.5,-137
PrizePicks,player_frees_made,Jonquel Jones,Under,1.5,-137
PrizePicks,player_frees_made,Natasha Cloud,Over,1.5,-137
PrizePicks,player_frees_made,Natasha Cloud,Under,1.5,-137
PrizePicks,player_frees_made,Kahleah Copper,Over,3.0,-137
PrizePicks,player_frees_made,Kahleah Copper,Under,3.0,-137
PrizePicks,player_frees_made,Satou Sabally,Over,3.5,-137
PrizePicks,player_frees_made,Satou Sabally,Under,3.5,-137
PrizePicks,player_frees_made,Alyssa Thomas,Over,3.0,-137
PrizePicks,player_frees_made,Alyssa Thomas,Under,3.0,-137
PrizePicks,player_frees_attempts,Breanna Stewart,Over,6.5,-137
PrizePicks,player_frees_attempts,Breanna Stewart,Under,6.5,-137
PrizePicks,player_frees_attempts,Satou Sabally,Over,4.5,-137
PrizePicks,player_frees_attempts,Satou Sabally,Under,4.5,-137
PrizePicks,player_frees_attempts,Alyssa Thomas,Over,4.5,-137
PrizePicks,player_frees_attempts,Alyssa Thomas,Under,4.5,-137
PrizePicks,player_points_rebounds_assists,Napheesa Collier,Over,31.5,-137
PrizePicks,player_points_rebounds_assists,Napheesa Collier,Under,31.5,-137
PrizePicks,player_points_rebounds_assists,Kayla McBride,Over,19.0,-137
PrizePicks,player_points_rebounds_assists,Kayla McBride,Under,19.0,-137
PrizePicks,player_points_rebounds_assists,Courtney Williams,Over,23.5,-137
PrizePicks,player_points_rebounds_assists,Courtney Williams,Under,23.5,-137
PrizePicks,player_points_rebounds_assists,Tiffany Hayes,Over,16.5,-137
PrizePicks,player_points_rebounds_assists,Tiffany Hayes,Under,16.5,-137
PrizePicks,player_points_rebounds_assists,Veronica Burton,Over,21.5,-137
PrizePicks,player_points_rebounds_assists,Veronica Burton,Under,21.5,-137
PrizePicks,player_points_rebounds_assists,Janelle Salaun,Over,17.5,-137
PrizePicks,player_points_rebounds_assists,Janelle Salaun,Under,17.5,-137
PrizePicks,player_points_rebounds_assists,Naz Hillmon,Over,19.5,-137
PrizePicks,player_points_rebounds_assists,Naz Hillmon,Under,19.5,-137
PrizePicks,player_points_rebounds_assists,Jordin Canada,Over,19.5,-137
PrizePicks,player_points_rebounds_assists,Jordin Canada,Under,19.5,-137
PrizePicks,player_points_rebounds_assists,Rhyne Howard,Over,25.5,-137
PrizePicks,player_points_rebounds_assists,Rhyne Howard,Under,25.5,-137
PrizePicks,player_points_rebounds_assists,Allisha Gray,Over,24.5,-137
PrizePicks,player_points_rebounds_assists,Allisha Gray,Under,24.5,-137
PrizePicks,player_points_rebounds_assists,Brionna Jones,Over,22.5,-137
PrizePicks,player_points_rebounds_assists,Brionna Jones,Under,22.5,-137
PrizePicks,player_points_rebounds_assists,Kelsey Mitchell,Over,24.5,-137
