BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
PrizePicks,player_rebounds_assists,A'ja Wilson,Over,14.0,-137
PrizePicks,player_rebounds_assists,A'ja Wilson,Under,14.0,-137
PrizePicks,player_rebounds_assists,Chelsea Gray,Over,10.0,-137
PrizePicks,player_rebounds_assists,Chelsea Gray,Under,10.0,-137
PrizePicks,player_rebounds_assists,Jackie Young,Over,10.0,-137
PrizePicks,player_rebounds_assists,Jackie Young,Under,10.0,-137
PrizePicks,player_rebounds_assists,Nneka Ogwumike,Over,10.0,-137
PrizePicks,player_rebounds_assists,Nneka Ogwumike,Under,10.0,-137
Underdog,player_rebounds_assists,Skylar Diggins-Smith,Over,7.5,-137
Underdog,player_rebounds_assists,Skylar Diggins-Smith,Under,7.5,-137
PrizePicks,player_turnovers,Kayla McBride,Over,1.5,-137
PrizePicks,player_turnovers,Kayla McBride,Under,1.5,-137
PrizePicks,player_blocks_steals,Napheesa Collier,Over,3.0,-137
PrizePicks,player_blocks_steals,Napheesa Collier,Under,3.0,-137
PrizePicks,player_blocks_steals,Veronica Burton,Over,1.5,-137
PrizePicks,player_blocks_steals,Veronica Burton,Under,1.5,-137
PrizePicks,player_blocks_steals,Natasha Howard,Over,1.5,-137
PrizePicks,player_blocks_steals,Natasha Howard,Under,1.5,-137
