market,bookmaker,player,side,line,price,home_team,away_team,game_id,commence_time
player_rebounds,PrizePicks,Jakob Poeltl,Under,8.0,-137,Toronto Raptors,Cleveland Cavaliers,520febbdcfd2e1f8c002f0e5969ddd49,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Evan Mobley,Over,9.0,-137,Toronto Raptors,Cleveland Cavaliers,520febbdcfd2e1f8c002f0e5969ddd49,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Evan Mobley,Under,9.0,-137,Toronto Raptors,Cleveland Cavaliers,520febbdcfd2e1f8c002f0e5969ddd49,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Scottie Barnes,Over,7.5,-137,Toronto Raptors,Cleveland Cavaliers,520febbdcfd2e1f8c002f0e5969ddd49,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Scottie Barnes,Under,7.5,-137,Toronto Raptors,Cleveland Cavaliers,520febbdcfd2e1f8c002f0e5969ddd49,2024-10-23T23:30:00Z
player_assists,Underdog,Paolo Banchero,Over,6.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,Underdog,Paolo Banchero,Under,6.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,Underdog,Franz Wagner,Over,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,Underdog,Franz Wagner,Under,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,Underdog,Jalen Suggs,Over,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,Underdog,Jalen Suggs,Under,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Paolo Banchero,Over,22.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,Underdog,Paolo Banchero,Under,22.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
