NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Nikola Vučević,points,over,fanduel,22.5,102,14.0,100,2024-10-25
Giannis Antetokounmpo,points,over,espnbet,41.5,-105,34.5,100,2024-10-25
Nikola Vučević,points,under,fanduel,22.5,-136,14.0,100,2024-10-25
Giannis Antetokounmpo,rebounds,under,fanduel,7.5,-140,11.5,-102,2024-10-25
Nikola Vučević,rebounds,under,espnbet,9.5,-200,10.5,-104,2024-10-25
Nikola Vučević,rebounds,under,fanduel,10.5,-166,10.5,-104,2024-10-25
Zach LaVine,points,over,fanduel,24.5,-118,24.5,-102,2024-10-25
Nikola Vučević,rebounds,over,espnbet,9.5,140,10.5,104,2024-10-25
Nikola Vučević,rebounds,over,fanduel,10.5,124,10.5,104,2024-10-25
Giannis Antetokounmpo,rebounds,over,fanduel,7.5,106,11.5,102,2024-10-25
Zach LaVine,points,under,fanduel,24.5,-112,24.5,102,2024-10-25
Giannis Antetokounmpo,points,under,espnbet,41.5,-135,34.5,100,2024-10-25
Devin Booker,points,under,espnbet,20.5,-140,20.5,-117,2024-10-26
Anthony Davis,rebounds,under,espnbet,7.5,-185,7.5,-154,2024-10-26
Devin Booker,points,over,espnbet,20.5,100,20.5,117,2024-10-26
Anthony Davis,rebounds,over,espnbet,7.5,130,7.5,154,2024-10-26
Zion Williamson,points,over,espnbet,18.5,130,21.5,-101,2024-10-26
Jerami Grant,points,over,espnbet,36.5,105,24.5,100,2024-10-26
Deandre Ayton,rebounds,over,espnbet,15.5,150,10.5,100,2024-10-26
Jerami Grant,points,under,espnbet,36.5,-150,24.5,100,2024-10-26
Deandre Ayton,rebounds,under,espnbet,15.5,-225,10.5,100,2024-10-26
Zion Williamson,points,under,espnbet,18.5,-185,21.5,101,2024-10-26
LaMelo Ball,points,over,espnbet,26.5,-110,25.5,100,2024-10-26
Bam Adebayo,rebounds,over,espnbet,11.5,145,10.5,100,2024-10-26
Bam Adebayo,rebounds,under,espnbet,11.5,-215,10.5,100,2024-10-26
LaMelo Ball,points,under,espnbet,26.5,-130,25.5,100,2024-10-26
Chet Holmgren,rebounds,over,betrivers,9.5,-150,9.5,-127,2024-10-26
Luguentz Dort,rebounds,under,betrivers,3.5,123,3.5,139,2024-10-26
Zach LaVine,assists,under,betrivers,3.5,-141,3.5,-121,2024-10-26
Coby White,rebounds,under,betrivers,4.5,-159,4.5,-135,2024-10-26
Patrick Williams,assists,over,betrivers,4.5,-143,4.5,-122,2024-10-26
Luguentz Dort,points,under,betrivers,10.5,-120,10.5,-103,2024-10-26
Zach LaVine,assists,over,betrivers,3.5,106,3.5,121,2024-10-26
Zach LaVine,points,over,betrivers,19.5,-105,19.5,109,2024-10-26
Josh Giddey,assists,under,betrivers,5.5,-152,5.5,-129,2024-10-26
Chet Holmgren,points,over,betrivers,18.5,-130,18.5,-111,2024-10-26
Shai Gilgeous-Alexander,rebounds,under,betrivers,5.5,120,5.5,135,2024-10-26
Patrick Williams,assists,under,betrivers,4.5,108,4.5,122,2024-10-26
Coby White,assists,over,betrivers,4.5,-113,4.5,102,2024-10-26
Josh Giddey,points,under,betrivers,12.5,-105,13.0,100,2024-10-26
Luguentz Dort,points,over,betrivers,10.5,-112,10.5,103,2024-10-26
Coby White,assists,under,betrivers,4.5,-118,4.5,-102,2024-10-26
Shai Gilgeous-Alexander,rebounds,over,betrivers,5.5,-159,5.5,-135,2024-10-26
Coby White,points,over,betrivers,17.5,-109,17.5,105,2024-10-26
Zach LaVine,rebounds,over,betrivers,4.5,105,4.5,119,2024-10-26
Coby White,rebounds,over,betrivers,4.5,120,4.5,135,2024-10-26
Shai Gilgeous-Alexander,points,over,betrivers,29.5,-110,29.5,105,2024-10-26
Zach LaVine,rebounds,under,betrivers,4.5,-139,4.5,-119,2024-10-26
Shai Gilgeous-Alexander,points,under,betrivers,29.5,-121,29.5,-105,2024-10-26
Josh Giddey,points,over,betrivers,12.5,-127,13.0,100,2024-10-26
Shai Gilgeous-Alexander,assists,under,betrivers,6.5,100,6.5,114,2024-10-26
Patrick Williams,points,under,betrivers,10.5,-110,15.0,100,2024-10-26
Patrick Williams,rebounds,over,betrivers,4.5,-162,4.5,-136,2024-10-26
Josh Giddey,rebounds,under,betrivers,6.5,-121,6.5,-105,2024-10-26
Luguentz Dort,rebounds,over,betrivers,3.5,-165,3.5,-139,2024-10-26
Josh Giddey,assists,over,betrivers,5.5,114,5.5,129,2024-10-26
Shai Gilgeous-Alexander,assists,over,betrivers,6.5,-132,6.5,-114,2024-10-26
Josh Giddey,rebounds,over,betrivers,6.5,-110,6.5,105,2024-10-26
Chet Holmgren,rebounds,under,betrivers,9.5,112,9.5,127,2024-10-26
Patrick Williams,points,over,betrivers,10.5,-121,15.0,100,2024-10-26
Coby White,points,under,betrivers,17.5,-122,17.5,-105,2024-10-26
Patrick Williams,rebounds,under,betrivers,4.5,120,4.5,136,2024-10-26
Zach LaVine,points,under,betrivers,19.5,-127,19.5,-109,2024-10-26
Chet Holmgren,points,under,betrivers,18.5,-103,18.5,111,2024-10-26
Jesse Edwards,points,over,espnbet,21.5,-120,22.5,100,2024-10-26
Jesse Edwards,rebounds,over,fanduel,5.5,-146,5.5,-125,2024-10-26
Jesse Edwards,assists,over,fanduel,4.5,-118,4.5,-102,2024-10-26
Scottie Barnes,rebounds,over,fanduel,6.5,-114,6.5,100,2024-10-26
Scottie Barnes,points,under,fanduel,17.5,142,19.5,-220,2024-10-26
Scottie Barnes,points,over,fanduel,17.5,-192,19.5,220,2024-10-26
Jesse Edwards,assists,under,fanduel,4.5,-112,4.5,102,2024-10-26
Jesse Edwards,rebounds,under,fanduel,5.5,110,5.5,125,2024-10-26
Jesse Edwards,points,under,espnbet,21.5,-120,22.5,100,2024-10-26
Scottie Barnes,rebounds,under,fanduel,6.5,-114,6.5,100,2024-10-26
Rudy Gobert,rebounds,over,espnbet,11.5,150,11.5,162,2024-10-26
Rudy Gobert,rebounds,under,espnbet,11.5,-225,11.5,-162,2024-10-26
Paolo Banchero,points,under,espnbet,19.5,-140,19.0,100,2024-10-26
Franz Wagner,points,under,espnbet,23.5,-130,23.0,100,2024-10-26
Franz Wagner,assists,over,draftkings,3.5,165,3.5,-113,2024-10-26
Marcus Smart,rebounds,over,draftkings,0.5,105,0.5,115,2024-10-26
Marcus Smart,points,under,fanduel,6.5,-102,6.5,112,2024-10-26
Zach Edey,rebounds,over,draftkings,1.5,-115,1.5,-104,2024-10-26
Marcus Smart,points,over,fanduel,6.5,-130,6.5,-112,2024-10-26
Paolo Banchero,points,over,espnbet,19.5,100,19.0,100,2024-10-26
Wendell Carter Jr.,assists,over,draftkings,2.5,130,2.5,143,2024-10-26
Franz Wagner,points,over,espnbet,23.5,-110,23.0,100,2024-10-26
Luka Dončić,points,over,espnbet,42.5,105,35.0,100,2024-10-27
Luka Dončić,points,under,espnbet,42.5,-150,35.0,100,2024-10-27
Domantas Sabonis,rebounds,over,espnbet,12.5,165,12.5,189,2024-10-27
Domantas Sabonis,points,over,fanduel,23.5,-152,21.5,100,2024-10-27
Domantas Sabonis,rebounds,under,espnbet,12.5,-250,12.5,-189,2024-10-27
De'Aaron Fox,points,under,fanduel,26.5,-114,24.5,100,2024-10-27
LeBron James,points,under,espnbet,34.5,-125,34.5,-104,2024-10-27
LeBron James,points,over,espnbet,34.5,-115,34.5,104,2024-10-27
Domantas Sabonis,points,under,fanduel,23.5,114,21.5,100,2024-10-27
De'Aaron Fox,points,over,fanduel,26.5,-114,24.5,100,2024-10-27
Aaron Nesmith,points,under,betrivers,9.5,-121,9.5,-105,2024-10-27
Caleb Martin,rebounds,over,betrivers,5.5,117,5.5,132,2024-10-27
Tyrese Haliburton,points,over,betrivers,17.5,-107,17.5,107,2024-10-27
Tyrese Maxey,assists,under,betrivers,5.5,102,5.5,116,2024-10-27
Andrew Nembhard,assists,over,betrivers,4.5,108,4.5,122,2024-10-27
Tyrese Haliburton,assists,under,betrivers,8.5,-150,8.5,-127,2024-10-27
Myles Turner,points,over,betrivers,16.5,-103,16.5,111,2024-10-27
Pascal Siakam,rebounds,under,betrivers,7.5,-125,7.5,-107,2024-10-27
Andrew Nembhard,rebounds,under,betrivers,2.5,-106,2.5,109,2024-10-27
Tyrese Haliburton,assists,over,betrivers,8.5,112,8.5,127,2024-10-27
Pascal Siakam,assists,under,betrivers,3.5,-129,3.5,-110,2024-10-27
Andrew Nembhard,points,over,betrivers,9.5,-108,9.5,106,2024-10-27
Andrew Nembhard,assists,under,betrivers,4.5,-143,4.5,-122,2024-10-27
