,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,version https://git-lfs.github.com/spec/v1
12604,PrizePicks,player_points,C.J. McCollum,Over,15.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12605,PrizePicks,player_points,C.J. McCollum,Under,15.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12606,PrizePicks,player_points,Kyshawn George,Over,14.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12607,PrizePicks,player_points,Kyshawn George,Under,14.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12608,PrizePicks,player_points,Tre Johnson,Over,11.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12609,PrizePicks,player_points,Tre Johnson,Under,11.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12610,PrizePicks,player_points,Wendell Carter Jr,Over,11.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12611,PrizePicks,player_points,Wendell Carter Jr,Under,11.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12612,PrizePicks,player_points,Bilal Coulibaly,Over,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12613,PrizePicks,player_points,Bilal Coulibaly,Under,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12614,PrizePicks,player_points,Jalen Suggs,Over,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12615,PrizePicks,player_points,Jalen Suggs,Under,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12616,PrizePicks,player_points,Khris Middleton,Over,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12617,PrizePicks,player_points,Khris Middleton,Under,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12618,PrizePicks,player_points,Anthony Black,Over,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12619,PrizePicks,player_points,Anthony Black,Under,10.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12620,PrizePicks,player_points,Tristan da Silva,Over,8.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12621,PrizePicks,player_points,Tristan da Silva,Under,8.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12622,PrizePicks,player_points,Cam Whitmore,Over,8.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12623,PrizePicks,player_points,Cam Whitmore,Under,8.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12624,PrizePicks,player_points,Corey Kispert,Over,7.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12625,PrizePicks,player_points,Corey Kispert,Under,7.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12626,PrizePicks,player_points,Carlton Carrington,Over,6.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12627,PrizePicks,player_points,Carlton Carrington,Under,6.5,-137.0,2025-11-01,2025-11-01T18:19:18Z,
12628,PrizePicks,player_points,Amen Thompson,Over,16.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12629,PrizePicks,player_points,Amen Thompson,Under,16.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12630,PrizePicks,player_points,Sam Hauser,Over,9.0,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12631,PrizePicks,player_points,Sam Hauser,Under,9.0,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12632,PrizePicks,player_points,Kevin Durant,Over,25.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12633,PrizePicks,player_points,Kevin Durant,Under,25.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12634,PrizePicks,player_points,Jaylen Brown,Over,22.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12635,PrizePicks,player_points,Jaylen Brown,Under,22.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12636,PrizePicks,player_points,Alperen Sengun,Over,20.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12637,PrizePicks,player_points,Alperen Sengun,Under,20.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12638,PrizePicks,player_points,Derrick White,Over,18.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12639,PrizePicks,player_points,Derrick White,Under,18.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12640,PrizePicks,player_points,Payton Pritchard,Over,15.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12641,PrizePicks,player_points,Payton Pritchard,Under,15.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12642,PrizePicks,player_points,Anfernee Simons,Over,14.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12643,PrizePicks,player_points,Anfernee Simons,Under,14.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12644,PrizePicks,player_points,Jabari Smith Jr,Over,13.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12645,PrizePicks,player_points,Jabari Smith Jr,Under,13.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12646,PrizePicks,player_points,Tari Eason,Over,10.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12647,PrizePicks,player_points,Tari Eason,Under,10.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12648,PrizePicks,player_points,Josh Okogie,Over,8.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12649,PrizePicks,player_points,Josh Okogie,Under,8.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12650,PrizePicks,player_points,Josh Minott,Over,8.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12651,PrizePicks,player_points,Josh Minott,Under,8.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12652,PrizePicks,player_points,Reed Sheppard,Over,8.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12653,PrizePicks,player_points,Reed Sheppard,Under,8.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12654,PrizePicks,player_points,Neemias Queta,Over,7.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12655,PrizePicks,player_points,Neemias Queta,Under,7.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12656,PrizePicks,player_points,Steven Adams,Over,4.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12657,PrizePicks,player_points,Steven Adams,Under,4.5,-137.0,2025-11-02,2025-11-01T18:19:36Z,
12658,PrizePicks,player_points,Isaiah Stewart II,Over,7.0,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12659,PrizePicks,player_points,Isaiah Stewart II,Under,7.0,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12660,PrizePicks,player_points,Cade Cunningham,Over,25.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12661,PrizePicks,player_points,Cade Cunningham,Under,25.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12662,PrizePicks,player_points,Cooper Flagg,Over,16.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12663,PrizePicks,player_points,Cooper Flagg,Under,16.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12664,PrizePicks,player_points,P.J. Washington,Over,16.0,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12665,PrizePicks,player_points,P.J. Washington,Under,16.0,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12666,PrizePicks,player_points,Tobias Harris,Over,14.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12667,PrizePicks,player_points,Tobias Harris,Under,14.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12668,PrizePicks,player_points,D'Angelo Russell,Over,13.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12669,PrizePicks,player_points,D'Angelo Russell,Under,13.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12670,PrizePicks,player_points,Jalen Duren,Over,13.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12671,PrizePicks,player_points,Jalen Duren,Under,13.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12672,PrizePicks,player_points,Ausar Thompson,Over,12.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12673,PrizePicks,player_points,Ausar Thompson,Under,12.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12674,PrizePicks,player_points,Klay Thompson,Over,11.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12675,PrizePicks,player_points,Klay Thompson,Under,11.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
12676,PrizePicks,player_points,Max Christie,Over,11.5,-137.0,2025-11-02,2025-11-01T18:20:13Z,
